# time model 
59329.481866 1.034053 
59329.519476 0.910001 
59329.557086 0.785866 
59329.594696 0.661723 
59329.632306 0.537649 
59329.669917 0.413717 
59329.707527 0.290004 
59329.745137 0.166585 
59329.782747 0.043532 
59329.820357 -0.079078 
59329.857967 -0.201174 
59329.895578 -0.322682 
59329.933188 -0.443530 
59329.970798 -0.563645 
59330.008408 -0.682957 
59330.046018 -0.801395 
59330.083628 -0.918889 
59330.121238 -1.035371 
59330.158849 -1.150772 
59330.196459 -1.265025 
59330.234069 -1.378065 
59330.271679 -1.489825 
59330.309289 -1.600242 
59330.346899 -1.709252 
59330.384510 -1.816794 
59330.422120 -1.922806 
59330.459730 -2.027229 
59330.497340 -2.130004 
59330.534950 -2.231074 
59330.572560 -2.330383 
59330.610170 -2.427878 
59330.647781 -2.523504 
59330.685391 -2.617209 
59330.723001 -2.708945 
59330.760611 -2.798661 
59330.798221 -2.886310 
59330.835831 -2.971847 
59330.873442 -3.055228 
59330.911052 -3.136410 
59330.948662 -3.215353 
59330.986272 -3.292015 
59331.023882 -3.366362 
59331.061492 -3.438355 
59331.099102 -3.507962 
59331.136713 -3.575149 
59331.174323 -3.639887 
59331.211933 -3.702146 
59331.249543 -3.761899 
59331.287153 -3.819120 
59331.324763 -3.873788 
59331.362374 -3.925879 
59331.399984 -3.975374 
59331.437594 -4.022255 
59331.475204 -4.066507 
59331.512814 -4.108114 
59331.550424 -4.147066 
59331.588035 -4.183351 
59331.625645 -4.216961 
59331.663255 -4.247889 
59331.700865 -4.276131 
59331.738475 -4.301684 
59331.776085 -4.324548 
59331.813695 -4.344722 
59331.851306 -4.362211 
59331.888916 -4.377018 
59331.926526 -4.389151 
59331.964136 -4.398617 
59332.001746 -4.405428 
59332.039356 -4.409595 
59332.076967 -4.411133 
59332.114577 -4.410057 
59332.152187 -4.406385 
59332.189797 -4.400137 
59332.227407 -4.391332 
59332.265017 -4.379995 
59332.302627 -4.366150 
59332.340238 -4.349824 
59332.377848 -4.331044 
59332.415458 -4.309839 
59332.453068 -4.286242 
59332.490678 -4.260285 
59332.528288 -4.232002 
59332.565899 -4.201430 
59332.603509 -4.168606 
59332.641119 -4.133569 
59332.678729 -4.096360 
59332.716339 -4.057020 
59332.753949 -4.015592 
59332.791559 -3.972121 
59332.829170 -3.926654 
59332.866780 -3.879236 
59332.904390 -3.829917 
59332.942000 -3.778746 
59332.979610 -3.725775 
59333.017220 -3.671054 
59333.054831 -3.614637 
59333.092441 -3.556577 
59333.130051 -3.496931 
59333.167661 -3.435753 
59333.205271 -3.373101 
59333.242881 -3.309032 
59333.280492 -3.243606 
59333.318102 -3.176880 
59333.355712 -3.108916 
59333.393322 -3.039774 
59333.430932 -2.969515 
59333.468542 -2.898202 
59333.506152 -2.825896 
59333.543763 -2.752662 
59333.581373 -2.678562 
59333.618983 -2.603660 
59333.656593 -2.528021 
59333.694203 -2.451708 
59333.731813 -2.374787 
59333.769424 -2.297323 
59333.807034 -2.219381 
59333.844644 -2.141026 
59333.882254 -2.062323 
59333.919864 -1.983338 
59333.957474 -1.904135 
59333.995084 -1.824781 
59334.032695 -1.745340 
59334.070305 -1.665877 
59334.107915 -1.586456 
59334.145525 -1.507143 
59334.183135 -1.428000 
59334.220745 -1.349092 
59334.258356 -1.270482 
59334.295966 -1.192233 
59334.333576 -1.114407 
59334.371186 -1.037065 
59334.408796 -0.960269 
59334.446406 -0.884079 
59334.484016 -0.808555 
59334.521627 -0.733756 
59334.559237 -0.659741 
59334.596847 -0.586566 
59334.634457 -0.514288 
59334.672067 -0.442963 
59334.709677 -0.372646 
59334.747288 -0.303390 
59334.784898 -0.235249 
59334.822508 -0.168273 
59334.860118 -0.102514 
59334.897728 -0.038021 
59334.935338 0.025158 
59334.972949 0.086975 
59335.010559 0.147385 
59335.048169 0.206342 
59335.085779 0.263805 
59335.123389 0.319729 
59335.160999 0.374076 
59335.198609 0.426805 
59335.236220 0.477878 
59335.273830 0.527260 
59335.311440 0.574914 
59335.349050 0.620808 
59335.386660 0.664908 
59335.424270 0.707186 
59335.461881 0.747610 
59335.499491 0.786155 
59335.537101 0.822794 
59335.574711 0.857502 
59335.612321 0.890257 
59335.649931 0.921037 
59335.687541 0.949824 
59335.725152 0.976599 
59335.762762 1.001346 
59335.800372 1.024050 
59335.837982 1.044698 
59335.875592 1.063280 
59335.913202 1.079784 
59335.950813 1.094205 
59335.988423 1.106534 
59336.026033 1.116767 
59336.063643 1.124903 
59336.101253 1.130938 
59336.138863 1.134874 
59336.176473 1.136712 
59336.214084 1.136457 
59336.251694 1.134114 
59336.289304 1.129689 
59336.326914 1.123192 
59336.364524 1.114632 
59336.402134 1.104021 
59336.439745 1.091373 
59336.477355 1.076703 
59336.514965 1.060027 
59336.552575 1.041364 
59336.590185 1.020733 
59336.627795 0.998155 
59336.665406 0.973653 
59336.703016 0.947252 
59336.740626 0.918976 
59336.778236 0.888852 
59336.815846 0.856910 
59336.853456 0.823179 
59336.891066 0.787689 
59336.928677 0.750474 
59336.966287 0.711566 
59337.003897 0.671002 
59337.041507 0.628817 
59337.079117 0.585049 
59337.116727 0.539736 
59337.154338 0.492917 
59337.191948 0.444635 
59337.229558 0.394930 
59337.267168 0.343845 
59337.304778 0.291425 
59337.342388 0.237714 
59337.379998 0.182758 
59337.417609 0.126604 
59337.455219 0.069299 
59337.492829 0.010891 
59337.530439 -0.048570 
59337.568049 -0.109035 
59337.605659 -0.170454 
59337.643270 -0.232774 
59337.680880 -0.295945 
59337.718490 -0.359914 
59337.756100 -0.424629 
59337.793710 -0.490035 
59337.831320 -0.556080 
59337.868930 -0.622710 
59337.906541 -0.689869 
59337.944151 -0.757504 
59337.981761 -0.825558 
59338.019371 -0.893978 
59338.056981 -0.962708 
59338.094591 -1.031691 
59338.132202 -1.100874 
59338.169812 -1.170199 
59338.207422 -1.239612 
59338.245032 -1.309057 
59338.282642 -1.378478 
59338.320252 -1.447820 
59338.357863 -1.517028 
59338.395473 -1.586047 
59338.433083 -1.654823 
59338.470693 -1.723300 
59338.508303 -1.791426 
59338.545913 -1.859146 
59338.583523 -1.926407 
59338.621134 -1.993157 
59338.658744 -2.059343 
59338.696354 -2.124914 
59338.733964 -2.189819 
59338.771574 -2.254007 
59338.809184 -2.317429 
59338.846795 -2.380035 
59338.884405 -2.441778 
59338.922015 -2.502609 
59338.959625 -2.562483 
59338.997235 -2.621353 
59339.034845 -2.679175 
59339.072455 -2.735904 
59339.110066 -2.791497 
59339.147676 -2.845913 
59339.185286 -2.899110 
59339.222896 -2.951048 
59339.260506 -3.001688 
59339.298116 -3.050993 
59339.335727 -3.098926 
59339.373337 -3.145451 
59339.410947 -3.190534 
59339.448557 -3.234142 
59339.486167 -3.276242 
59339.523777 -3.316805 
59339.561387 -3.355801 
59339.598998 -3.393201 
59339.636608 -3.428979 
59339.674218 -3.463110 
59339.711828 -3.495569 
59339.749438 -3.526334 
59339.787048 -3.555384 
59339.824659 -3.582698 
59339.862269 -3.608257 
59339.899879 -3.632046 
59339.937489 -3.654047 
59339.975099 -3.674248 
59340.012709 -3.692635 
59340.050320 -3.709196 
59340.087930 -3.723922 
59340.125540 -3.736805 
59340.163150 -3.747837 
59340.200760 -3.757013 
59340.238370 -3.764328 
59340.275980 -3.769782 
59340.313591 -3.773372 
59340.351201 -3.775098 
59340.388811 -3.774963 
59340.426421 -3.772970 
59340.464031 -3.769124 
59340.501641 -3.763430 
59340.539252 -3.755897 
59340.576862 -3.746534 
59340.614472 -3.735350 
59340.652082 -3.722359 
59340.689692 -3.707573 
59340.727302 -3.691007 
59340.764912 -3.672677 
59340.802523 -3.652600 
