# time model 
59318.211098 -2.328058 
59318.265916 -2.389361 
59318.320735 -2.411766 
59318.375553 -2.394232 
59318.430372 -2.336671 
59318.485190 -2.239976 
59318.540009 -2.106014 
59318.594827 -1.937557 
59318.649645 -1.738176 
59318.704464 -1.512095 
59318.759282 -1.264025 
59318.814101 -0.998983 
59318.868919 -0.722116 
59318.923738 -0.438541 
59318.978556 -0.153201 
59319.033374 0.129248 
59319.088193 0.404521 
59319.143011 0.668757 
59319.197830 0.918553 
59319.252648 1.150972 
59319.307467 1.363530 
59319.362285 1.554179 
59319.417103 1.721275 
59319.471922 1.863540 
59319.526740 1.980033 
59319.581559 2.070107 
59319.636377 2.133378 
59319.691196 2.169698 
59319.746014 2.179127 
59319.800832 2.161913 
59319.855651 2.118479 
59319.910469 2.049408 
59319.965288 1.955446 
59320.020106 1.837494 
59320.074925 1.696618 
59320.129743 1.534054 
59320.184561 1.351223 
59320.239380 1.149743 
59320.294198 0.931451 
59320.349017 0.698415 
59320.403835 0.452960 
59320.458654 0.197678 
59320.513472 -0.064554 
59320.568290 -0.330573 
59320.623109 -0.596927 
59320.677927 -0.859898 
59320.732746 -1.115522 
59320.787564 -1.359648 
59320.842383 -1.588001 
59320.897201 -1.796276 
59320.952019 -1.980250 
59321.006838 -2.135914 
59321.061656 -2.259616 
59321.116475 -2.348220 
59321.171293 -2.399246 
59321.226112 -2.411004 
59321.280930 -2.382705 
59321.335748 -2.314520 
59321.390567 -2.207610 
59321.445385 -2.064090 
59321.500204 -1.886960 
59321.555022 -1.679981 
59321.609841 -1.447525 
59321.664659 -1.194402 
59321.719477 -0.925683 
59321.774296 -0.646520 
59321.829114 -0.361997 
59321.883933 -0.076989 
59321.938751 0.203939 
59321.993569 0.476612 
59322.048388 0.737291 
59322.103206 0.982696 
59322.158025 1.210014 
59322.212843 1.416881 
59322.267662 1.601359 
59322.322480 1.761907 
59322.377298 1.897341 
59322.432117 2.006801 
59322.486935 2.089714 
59322.541754 2.145763 
59322.596572 2.174858 
59322.651391 2.177111 
59322.706209 2.152817 
59322.761027 2.102444 
59322.815846 2.026619 
59322.870664 1.926128 
59322.925483 1.801917 
59322.980301 1.655097 
59323.035120 1.486951 
59323.089938 1.298951 
59323.144756 1.092773 
59323.199575 0.870313 
59323.254393 0.633708 
59323.309212 0.385352 
59323.364030 0.127912 
59323.418849 -0.135658 
59323.473667 -0.402117 
59323.528485 -0.667940 
59323.583304 -0.929338 
59323.638122 -1.182292 
59323.692941 -1.422611 
59323.747759 -1.646002 
59323.802578 -1.848168 
59323.857396 -2.024931 
59323.912214 -2.172363 
59323.967033 -2.286937 
59324.021851 -2.365676 
59324.076670 -2.406302 
59324.131488 -2.407357 
59324.186307 -2.368303 
59324.241125 -2.289579 
59324.295943 -2.172605 
59324.350762 -2.019744 
59324.405580 -1.834212 
59324.460399 -1.619951 
59324.515217 -1.381467 
59324.570036 -1.123658 
59324.624854 -0.851632 
59324.679672 -0.570540 
59324.734491 -0.285419 
59324.789309 -0.001072 
59324.844128 0.278034 
59324.898946 0.547839 
59324.953765 0.804724 
59325.008583 1.045536 
59325.063401 1.267583 
59325.118220 1.468619 
59325.173038 1.646816 
59325.227857 1.800731 
59325.282675 1.929271 
59325.337494 2.031658 
59325.392312 2.107388 
59325.447130 2.156209 
59325.501949 2.178087 
59325.556767 2.173185 
59325.611586 2.141845 
59325.666404 2.084578 
59325.721223 2.002054 
59325.776041 1.895104 
59325.830859 1.764714 
59325.885678 1.612041 
59325.940496 1.438418 
59325.995315 1.245370 
59326.050133 1.034630 
59326.104952 0.808157 
59326.159770 0.568155 
59326.214588 0.317089 
59326.269407 0.057704 
59326.324225 -0.206971 
59326.379044 -0.473617 
59326.433862 -0.738635 
59326.488681 -0.998171 
59326.543499 -1.248155 
59326.598317 -1.484357 
59326.653136 -1.702475 
59326.707954 -1.898231 
59326.762773 -2.067500 
59326.817591 -2.206447 
59326.872410 -2.311677 
59326.927228 -2.380387 
59326.982046 -2.410507 
59327.036865 -2.400819 
59327.091683 -2.351044 
59327.146502 -2.261883 
59327.201320 -2.135016 
59327.256139 -1.973045 
59327.310957 -1.779395 
59327.365775 -1.558177 
59327.420594 -1.314018 
59327.475412 -1.051890 
59327.530231 -0.776930 
59327.585049 -0.494271 
59327.639868 -0.208899 
59327.694686 0.074465 
59327.749504 0.351458 
59327.804323 0.618134 
59327.859141 0.870999 
59327.913960 1.107024 
59327.968778 1.323639 
59328.023597 1.518713 
59328.078415 1.690525 
59328.133233 1.837729 
59328.188052 1.959320 
59328.242870 2.054596 
59328.297689 2.123126 
59328.352507 2.164717 
59328.407326 2.179389 
59328.462144 2.167356 
59328.516962 2.129007 
59328.571781 2.064895 
59328.626599 1.975733 
59328.681418 1.862392 
59328.736236 1.725906 
59328.791054 1.567477 
59328.845873 1.388487 
59328.900691 1.190516 
59328.955510 0.975355 
59329.010328 0.745027 
59329.065147 0.501804 
59329.119965 0.248227 
59329.174783 -0.012886 
59329.229602 -0.278427 
59329.284420 -0.545001 
59329.339239 -0.808937 
59329.394057 -1.066319 
59329.448876 -1.313027 
59329.503694 -1.544802 
59329.558512 -1.757339 
59329.613331 -1.946388 
59329.668149 -2.107886 
59329.722968 -2.238103 
59329.777786 -2.333786 
59329.832605 -2.392317 
59329.887423 -2.411844 
59329.942241 -2.391393 
59329.997060 -2.330946 
59330.051878 -2.231469 
59330.106697 -2.094897 
59330.161515 -1.924064 
59330.216334 -1.722593 
59330.271152 -1.494751 
59330.325970 -1.245276 
59330.380789 -0.979200 
59330.435607 -0.701675 
59330.490426 -0.417809 
59330.545244 -0.132525 
59330.600063 0.149542 
59330.654881 0.424137 
59330.709699 0.687433 
59330.764518 0.936060 
59330.819336 1.167114 
59330.874155 1.378144 
59330.928973 1.567132 
59330.983792 1.732462 
59331.038610 1.872883 
59331.093428 1.987475 
59331.148247 2.075610 
59331.203065 2.136926 
59331.257884 2.171287 
59331.312702 2.178770 
59331.367521 2.159634 
59331.422339 2.114315 
59331.477157 2.043409 
59331.531976 1.947671 
59331.586794 1.828016 
59331.641613 1.685520 
59331.696431 1.521433 
59331.751250 1.337190 
59331.806068 1.134424 
59331.860886 0.914987 
59331.915705 0.680967 
59331.970523 0.434707 
59332.025342 0.178821 
59332.080160 -0.083797 
59332.134979 -0.349959 
59332.189797 -0.616197 
59332.244615 -0.878769 
59332.299434 -1.133700 
59332.354252 -1.376825 
59332.409071 -1.603864 
59332.463889 -1.810514 
59332.518708 -1.992562 
59332.573526 -2.146020 
59332.628344 -2.267272 
59332.683163 -2.353220 
59332.737981 -2.401438 
59332.792800 -2.410301 
59332.847618 -2.379086 
59332.902437 -2.308036 
59332.957255 -2.198383 
59333.012073 -2.052310 
59333.066892 -1.872876 
59333.121710 -1.663892 
59333.176529 -1.429768 
59333.231347 -1.175339 
59333.286166 -0.905687 
59333.340984 -0.625966 
59333.395802 -0.341246 
59333.450621 -0.056385 
59333.505439 0.224079 
59333.560258 0.496001 
59333.615076 0.755674 
59333.669895 0.999855 
59333.724713 1.225761 
59333.779531 1.431061 
59333.834350 1.613848 
59333.889168 1.772606 
59333.943987 1.906178 
59333.998805 2.013725 
59334.053624 2.094694 
59334.108442 2.148786 
59334.163260 2.175924 
59334.218079 2.176235 
59334.272897 2.150029 
59334.327716 2.097783 
59334.382534 2.020137 
59334.437353 1.917889 
59334.492171 1.791996 
59334.546989 1.643580 
59334.601808 1.473939 
59334.656626 1.284560 
59334.711445 1.077132 
59334.766263 0.853569 
59334.821082 0.616026 
59334.875900 0.366917 
59334.930718 0.108929 
59334.985537 -0.154964 
59335.040355 -0.421498 
59335.095174 -0.687130 
59335.149992 -0.948053 
59335.204811 -1.200232 
59335.259629 -1.439467 
59335.314447 -1.661459 
59335.369266 -1.861918 
59335.424084 -2.036678 
59335.478903 -2.181835 
59335.533721 -2.293898 
59335.588540 -2.369935 
59335.643358 -2.407724 
59335.698176 -2.405871 
59335.752995 -2.363908 
59335.807813 -2.282345 
59335.862632 -2.162673 
59335.917450 -2.007319 
59335.972268 -1.819559 
59336.027087 -1.603380 
59336.081905 -1.363323 
59336.136724 -1.104308 
59336.191542 -0.831450 
59336.246361 -0.549898 
59336.301179 -0.264675 
59336.355997 0.019437 
59336.410816 0.298000 
59336.465634 0.566981 
59336.520453 0.822799 
59336.575271 1.062333 
59336.630090 1.282924 
59336.684908 1.482357 
59336.739726 1.658834 
59336.794545 1.810938 
59336.849363 1.937600 
59336.904182 2.038063 
59336.959000 2.111844 
59337.013819 2.158706 
59337.068637 2.178630 
59337.123455 2.171793 
59337.178274 2.138550 
59337.233092 2.079423 
59337.287911 1.995095 
59337.342729 1.886405 
59337.397548 1.754355 
59337.452366 1.600113 
59337.507184 1.425025 
59337.562003 1.230630 
59337.616821 1.018678 
59337.671640 0.791145 
59337.726458 0.550252 
59337.781277 0.298486 
59337.836095 0.038611 
59337.890913 -0.226322 
59337.945732 -0.492974 
59338.000550 -0.757727 
59338.055369 -1.016709 
59338.110187 -1.265835 
59338.165006 -1.500868 
59338.219824 -1.717504 
59338.274642 -1.911472 
59338.329461 -2.078662 
59338.384279 -2.215267 
59338.439098 -2.317930 
59338.493916 -2.383896 
59338.548735 -2.411153 
59338.603553 -2.398550 
59338.658371 -2.345877 
59338.713190 -2.253908 
59338.768008 -2.124392 
