# time model 
59330.571122 3.024914 
59330.605774 3.042350 
59330.640426 3.059852 
59330.675078 3.077417 
59330.709730 3.095044 
59330.744382 3.112729 
59330.779034 3.130471 
59330.813686 3.148268 
59330.848338 3.166117 
59330.882990 3.184016 
59330.917642 3.201963 
59330.952294 3.219955 
59330.986946 3.237990 
59331.021598 3.256066 
59331.056250 3.274181 
59331.090902 3.292332 
59331.125554 3.310517 
59331.160206 3.328734 
59331.194858 3.346980 
59331.229510 3.365254 
59331.264162 3.383552 
59331.298814 3.401873 
59331.333466 3.420214 
59331.368118 3.438572 
59331.402770 3.456947 
59331.437422 3.475334 
59331.472074 3.493732 
59331.506726 3.512139 
59331.541378 3.530552 
59331.576030 3.548968 
59331.610682 3.567387 
59331.645334 3.585804 
59331.679986 3.604218 
59331.714638 3.622627 
59331.749290 3.641028 
59331.783942 3.659419 
59331.818594 3.677797 
59331.853246 3.696161 
59331.887898 3.714507 
59331.922550 3.732834 
59331.957202 3.751139 
59331.991854 3.769421 
59332.026506 3.787676 
59332.061158 3.805902 
59332.095810 3.824098 
59332.130462 3.842260 
59332.165114 3.860387 
59332.199766 3.878476 
59332.234418 3.896525 
59332.269070 3.914532 
59332.303722 3.932495 
59332.338374 3.950411 
59332.373026 3.968277 
59332.407678 3.986093 
59332.442330 4.003856 
59332.476982 4.021563 
59332.511634 4.039212 
59332.546286 4.056801 
59332.580938 4.074329 
59332.615590 4.091792 
59332.650242 4.109189 
59332.684894 4.126517 
59332.719546 4.143775 
59332.754198 4.160960 
59332.788850 4.178071 
59332.823502 4.195105 
59332.858154 4.212060 
59332.892806 4.228934 
59332.927458 4.245725 
59332.962110 4.262431 
59332.996762 4.279050 
59333.031414 4.295581 
59333.066066 4.312021 
59333.100718 4.328367 
59333.135370 4.344620 
59333.170022 4.360775 
59333.204674 4.376832 
59333.239326 4.392789 
59333.273978 4.408644 
59333.308630 4.424394 
59333.343282 4.440039 
59333.377934 4.455576 
59333.412586 4.471004 
59333.447238 4.486320 
59333.481890 4.501524 
59333.516542 4.516613 
59333.551194 4.531586 
59333.585846 4.546441 
59333.620498 4.561176 
59333.655150 4.575790 
59333.689802 4.590281 
59333.724454 4.604648 
59333.759106 4.618889 
59333.793758 4.633002 
59333.828410 4.646987 
59333.863062 4.660841 
59333.897714 4.674563 
59333.932366 4.688152 
59333.967018 4.701606 
59334.001670 4.714923 
59334.036322 4.728104 
59334.070974 4.741145 
59334.105626 4.754046 
59334.140278 4.766806 
59334.174930 4.779423 
59334.209582 4.791896 
59334.244234 4.804224 
59334.278886 4.816405 
59334.313538 4.828439 
59334.348190 4.840325 
59334.382842 4.852061 
59334.417494 4.863645 
59334.452146 4.875079 
59334.486798 4.886359 
59334.521450 4.897485 
59334.556102 4.908457 
59334.590754 4.919272 
59334.625406 4.929931 
59334.660058 4.940433 
59334.694710 4.950776 
59334.729362 4.960960 
59334.764014 4.970984 
59334.798666 4.980847 
59334.833318 4.990548 
59334.867970 5.000088 
59334.902622 5.009464 
59334.937274 5.018677 
59334.971926 5.027725 
59335.006578 5.036609 
59335.041230 5.045328 
59335.075882 5.053880 
59335.110534 5.062267 
59335.145186 5.070486 
59335.179838 5.078538 
59335.214490 5.086422 
59335.249142 5.094139 
59335.283794 5.101686 
59335.318446 5.109065 
59335.353098 5.116275 
59335.387750 5.123316 
59335.422402 5.130187 
59335.457054 5.136888 
59335.491706 5.143419 
59335.526358 5.149780 
59335.561010 5.155971 
59335.595662 5.161992 
59335.630314 5.167842 
59335.664966 5.173521 
59335.699618 5.179030 
59335.734270 5.184369 
59335.768922 5.189538 
59335.803574 5.194536 
59335.838226 5.199364 
59335.872878 5.204022 
59335.907530 5.208510 
59335.942182 5.212829 
59335.976834 5.216978 
59336.011486 5.220958 
59336.046138 5.224769 
59336.080790 5.228412 
59336.115442 5.231886 
59336.150094 5.235193 
59336.184746 5.238332 
59336.219398 5.241304 
59336.254050 5.244110 
59336.288702 5.246750 
59336.323354 5.249225 
59336.358006 5.251534 
59336.392658 5.253679 
59336.427310 5.255660 
59336.461962 5.257478 
59336.496614 5.259134 
59336.531266 5.260627 
59336.565918 5.261960 
59336.600570 5.263132 
59336.635222 5.264145 
59336.669874 5.264999 
59336.704526 5.265694 
59336.739178 5.266233 
59336.773830 5.266615 
59336.808482 5.266842 
59336.843134 5.266914 
59336.877786 5.266833 
59336.912438 5.266599 
59336.947090 5.266213 
59336.981742 5.265677 
59337.016394 5.264991 
59337.051046 5.264157 
59337.085698 5.263175 
59337.120350 5.262047 
59337.155002 5.260774 
59337.189654 5.259356 
59337.224306 5.257796 
59337.258958 5.256094 
59337.293610 5.254251 
59337.328262 5.252269 
59337.362914 5.250150 
59337.397566 5.247893 
59337.432218 5.245501 
59337.466870 5.242975 
59337.501522 5.240316 
59337.536174 5.237526 
59337.570826 5.234606 
59337.605478 5.231557 
59337.640130 5.228381 
59337.674782 5.225080 
59337.709434 5.221654 
59337.744086 5.218105 
59337.778738 5.214435 
59337.813390 5.210645 
59337.848042 5.206737 
59337.882694 5.202712 
59337.917346 5.198571 
59337.951998 5.194318 
59337.986650 5.189952 
59338.021302 5.185476 
59338.055954 5.180890 
59338.090606 5.176198 
59338.125258 5.171400 
59338.159910 5.166499 
59338.194562 5.161495 
59338.229214 5.156391 
59338.263866 5.151187 
59338.298518 5.145887 
59338.333170 5.140491 
59338.367822 5.135002 
59338.402474 5.129421 
59338.437126 5.123750 
59338.471778 5.117990 
59338.506430 5.112144 
59338.541082 5.106213 
59338.575734 5.100199 
59338.610386 5.094104 
59338.645038 5.087929 
59338.679690 5.081677 
59338.714342 5.075350 
59338.748994 5.068948 
59338.783646 5.062474 
59338.818298 5.055930 
59338.852950 5.049318 
59338.887602 5.042640 
59338.922254 5.035897 
59338.956906 5.029091 
59338.991558 5.022224 
59339.026210 5.015298 
59339.060862 5.008316 
59339.095514 5.001278 
59339.130166 4.994187 
59339.164818 4.987044 
59339.199470 4.979852 
59339.234122 4.972613 
59339.268774 4.965328 
59339.303426 4.957999 
59339.338078 4.950628 
59339.372730 4.943218 
59339.407382 4.935769 
59339.442034 4.928284 
59339.476686 4.920765 
59339.511338 4.913214 
59339.545990 4.905632 
59339.580642 4.898022 
59339.615294 4.890385 
59339.649946 4.882723 
59339.684598 4.875039 
59339.719250 4.867334 
59339.753902 4.859610 
59339.788554 4.851868 
59339.823206 4.844111 
59339.857858 4.836341 
59339.892510 4.828559 
59339.927162 4.820768 
59339.961814 4.812969 
59339.996466 4.805164 
59340.031118 4.797355 
59340.065770 4.789543 
59340.100422 4.781731 
59340.135074 4.773920 
59340.169726 4.766113 
59340.204378 4.758310 
59340.239030 4.750515 
59340.273682 4.742728 
59340.308334 4.734951 
59340.342986 4.727186 
59340.377638 4.719435 
59340.412290 4.711700 
59340.446942 4.703982 
59340.481594 4.696283 
59340.516246 4.688605 
59340.550898 4.680950 
59340.585550 4.673318 
59340.620202 4.665713 
59340.654854 4.658135 
59340.689506 4.650586 
59340.724158 4.643068 
59340.758810 4.635583 
59340.793462 4.628131 
59340.828114 4.620715 
59340.862766 4.613337 
59340.897418 4.605997 
59340.932070 4.598697 
59340.966722 4.591439 
59341.001374 4.584225 
59341.036026 4.577056 
59341.070678 4.569933 
59341.105330 4.562857 
59341.139982 4.555832 
59341.174634 4.548856 
59341.209286 4.541933 
59341.243938 4.535064 
59341.278590 4.528249 
59341.313242 4.521491 
59341.347894 4.514791 
59341.382546 4.508149 
59341.417198 4.501568 
59341.451850 4.495048 
59341.486502 4.488591 
59341.521154 4.482199 
59341.555806 4.475871 
59341.590458 4.469610 
59341.625110 4.463417 
59341.659762 4.457293 
59341.694414 4.451239 
59341.729066 4.445256 
59341.763718 4.439346 
59341.798370 4.433508 
59341.833022 4.427746 
59341.867674 4.422058 
59341.902326 4.416448 
59341.936978 4.410914 
59341.971630 4.405460 
59342.006282 4.400085 
59342.040934 4.394790 
59342.075586 4.389576 
59342.110238 4.384445 
59342.144890 4.379397 
59342.179542 4.374433 
59342.214194 4.369553 
59342.248846 4.364759 
59342.283498 4.360052 
59342.318150 4.355431 
59342.352802 4.350899 
59342.387454 4.346454 
59342.422106 4.342099 
59342.456758 4.337834 
59342.491410 4.333660 
59342.526062 4.329576 
59342.560714 4.325585 
59342.595366 4.321685 
59342.630018 4.317878 
59342.664670 4.314165 
59342.699322 4.310545 
59342.733974 4.307020 
59342.768626 4.303589 
59342.803278 4.300254 
59342.837930 4.297014 
59342.872582 4.293870 
59342.907234 4.290822 
59342.941886 4.287871 
59342.976538 4.285017 
59343.011190 4.282260 
59343.045842 4.279600 
59343.080494 4.277038 
59343.115146 4.274573 
59343.149798 4.272207 
59343.184450 4.269939 
59343.219102 4.267769 
59343.253754 4.265697 
59343.288406 4.263724 
59343.323058 4.261850 
59343.357710 4.260073 
59343.392362 4.258396 
59343.427014 4.256817 
59343.461666 4.255336 
59343.496318 4.253954 
59343.530970 4.252670 
59343.565622 4.251484 
59343.600274 4.250397 
59343.634926 4.249407 
59343.669578 4.248515 
59343.704230 4.247720 
59343.738882 4.247023 
59343.773534 4.246423 
59343.808186 4.245919 
59343.842838 4.245512 
59343.877490 4.245201 
59343.912142 4.244985 
59343.946794 4.244865 
59343.981446 4.244840 
59344.016098 4.244909 
59344.050750 4.245073 
59344.085402 4.245330 
59344.120054 4.245681 
59344.154706 4.246123 
59344.189358 4.246659 
59344.224010 4.247285 
59344.258662 4.248003 
59344.293314 4.248811 
59344.327966 4.249708 
59344.362618 4.250695 
59344.397270 4.251771 
59344.431922 4.252934 
59344.466574 4.254184 
59344.501226 4.255521 
59344.535878 4.256943 
59344.570530 4.258450 
59344.605182 4.260041 
59344.639834 4.261715 
59344.674486 4.263472 
59344.709138 4.265311 
59344.743790 4.267230 
59344.778442 4.269229 
59344.813094 4.271307 
59344.847746 4.273463 
59344.882398 4.275697 
59344.917050 4.278006 
59344.951702 4.280391 
59344.986354 4.282850 
59345.021006 4.285382 
59345.055658 4.287986 
59345.090310 4.290661 
59345.124962 4.293407 
59345.159614 4.296222 
59345.194266 4.299104 
59345.228918 4.302053 
59345.263570 4.305069 
59345.298222 4.308148 
59345.332874 4.311291 
59345.367526 4.314497 
59345.402178 4.317763 
59345.436830 4.321089 
59345.471482 4.324474 
59345.506134 4.327917 
59345.540786 4.331415 
59345.575438 4.334969 
59345.610090 4.338577 
59345.644742 4.342236 
59345.679394 4.345947 
59345.714046 4.349708 
59345.748698 4.353518 
59345.783350 4.357374 
59345.818002 4.361277 
59345.852654 4.365224 
59345.887306 4.369214 
59345.921958 4.373246 
59345.956610 4.377319 
59345.991262 4.381430 
59346.025914 4.385580 
59346.060566 4.389765 
59346.095218 4.393986 
59346.129870 4.398240 
59346.164522 4.402526 
59346.199174 4.406842 
59346.233826 4.411188 
59346.268478 4.415561 
59346.303130 4.419960 
59346.337782 4.424385 
59346.372434 4.428832 
59346.407086 4.433302 
59346.441738 4.437791 
59346.476390 4.442300 
59346.511042 4.446826 
59346.545694 4.451367 
59346.580346 4.455923 
59346.614998 4.460492 
59346.649650 4.465072 
59346.684302 4.469662 
59346.718954 4.474261 
59346.753606 4.478866 
59346.788258 4.483476 
59346.822910 4.488090 
59346.857562 4.492706 
59346.892214 4.497323 
59346.926866 4.501939 
59346.961518 4.506553 
59346.996170 4.511162 
59347.030822 4.515766 
59347.065474 4.520363 
59347.100126 4.524952 
59347.134778 4.529531 
59347.169430 4.534098 
59347.204082 4.538652 
59347.238734 4.543191 
59347.273386 4.547714 
59347.308038 4.552219 
59347.342690 4.556705 
59347.377342 4.561171 
59347.411994 4.565614 
59347.446646 4.570033 
59347.481298 4.574427 
59347.515950 4.578795 
59347.550602 4.583134 
59347.585254 4.587443 
59347.619906 4.591721 
59347.654558 4.595967 
59347.689210 4.600178 
59347.723862 4.604353 
59347.758514 4.608491 
59347.793166 4.612591 
59347.827818 4.616651 
59347.862470 4.620669 
59347.897122 4.624644 
59347.931774 4.628575 
59347.966426 4.632460 
59348.001078 4.636298 
59348.035730 4.640087 
59348.070382 4.643826 
59348.105034 4.647514 
59348.139686 4.651149 
59348.174338 4.654730 
59348.208990 4.658256 
59348.243642 4.661724 
59348.278294 4.665135 
59348.312946 4.668486 
59348.347598 4.671776 
59348.382250 4.675004 
59348.416902 4.678169 
59348.451554 4.681269 
59348.486206 4.684303 
59348.520858 4.687271 
59348.555510 4.690169 
59348.590162 4.692998 
59348.624814 4.695756 
59348.659466 4.698442 
59348.694118 4.701055 
59348.728770 4.703594 
59348.763422 4.706057 
59348.798074 4.708443 
59348.832726 4.710751 
59348.867378 4.712981 
59348.902030 4.715130 
59348.936682 4.717198 
59348.971334 4.719184 
59349.005986 4.721087 
59349.040638 4.722906 
59349.075290 4.724639 
59349.109942 4.726287 
59349.144594 4.727847 
59349.179246 4.729318 
59349.213898 4.730701 
59349.248550 4.731993 
59349.283202 4.733195 
59349.317854 4.734305 
59349.352506 4.735321 
59349.387158 4.736245 
59349.421810 4.737074 
59349.456462 4.737807 
59349.491114 4.738445 
59349.525766 4.738985 
59349.560418 4.739429 
59349.595070 4.739773 
59349.629722 4.740019 
59349.664374 4.740165 
59349.699026 4.740211 
59349.733678 4.740155 
59349.768330 4.739998 
59349.802982 4.739738 
59349.837634 4.739376 
59349.872286 4.738909 
59349.906938 4.738339 
59349.941590 4.737664 
59349.976242 4.736884 
59350.010894 4.735999 
59350.045546 4.735007 
59350.080198 4.733909 
59350.114850 4.732704 
59350.149502 4.731391 
59350.184154 4.729971 
59350.218806 4.728443 
59350.253458 4.726806 
59350.288110 4.725060 
59350.322762 4.723205 
59350.357414 4.721241 
59350.392066 4.719168 
59350.426718 4.716984 
59350.461370 4.714691 
59350.496022 4.712287 
59350.530674 4.709773 
59350.565326 4.707149 
59350.599978 4.704414 
59350.634630 4.701568 
59350.669282 4.698611 
59350.703934 4.695544 
59350.738586 4.692366 
59350.773238 4.689077 
59350.807890 4.685678 
59350.842542 4.682167 
59350.877194 4.678547 
59350.911846 4.674815 
59350.946498 4.670973 
59350.981150 4.667021 
59351.015802 4.662959 
59351.050454 4.658787 
59351.085106 4.654505 
59351.119758 4.650114 
59351.154410 4.645614 
59351.189062 4.641005 
59351.223714 4.636287 
59351.258366 4.631461 
59351.293018 4.626527 
59351.327670 4.621486 
59351.362322 4.616337 
59351.396974 4.611082 
59351.431626 4.605721 
59351.466278 4.600254 
59351.500930 4.594682 
59351.535582 4.589006 
59351.570234 4.583225 
59351.604886 4.577340 
59351.639538 4.571353 
59351.674190 4.565263 
59351.708842 4.559072 
59351.743494 4.552780 
59351.778146 4.546387 
59351.812798 4.539895 
59351.847450 4.533303 
59351.882102 4.526614 
59351.916754 4.519827 
59351.951406 4.512944 
59351.986058 4.505965 
59352.020710 4.498891 
59352.055362 4.491723 
59352.090014 4.484462 
59352.124666 4.477108 
59352.159318 4.469664 
59352.193970 4.462129 
59352.228622 4.454504 
59352.263274 4.446792 
59352.297926 4.438992 
59352.332578 4.431105 
59352.367230 4.423134 
59352.401882 4.415078 
59352.436534 4.406939 
59352.471186 4.398718 
59352.505838 4.390417 
59352.540490 4.382036 
59352.575142 4.373576 
59352.609794 4.365040 
59352.644446 4.356427 
59352.679098 4.347739 
59352.713750 4.338978 
59352.748402 4.330145 
59352.783054 4.321241 
59352.817706 4.312267 
59352.852358 4.303225 
59352.887010 4.294116 
59352.921662 4.284942 
59352.956314 4.275703 
59352.990966 4.266402 
59353.025618 4.257039 
59353.060270 4.247617 
59353.094922 4.238136 
59353.129574 4.228598 
59353.164226 4.219005 
59353.198878 4.209358 
59353.233530 4.199658 
59353.268182 4.189908 
59353.302834 4.180108 
59353.337486 4.170261 
59353.372138 4.160368 
59353.406790 4.150430 
59353.441442 4.140449 
59353.476094 4.130427 
59353.510746 4.120365 
59353.545398 4.110265 
59353.580050 4.100129 
59353.614702 4.089959 
59353.649354 4.079755 
59353.684006 4.069521 
59353.718658 4.059256 
59353.753310 4.048965 
59353.787962 4.038647 
59353.822614 4.028305 
59353.857266 4.017940 
59353.891918 4.007555 
59353.926570 3.997151 
59353.961222 3.986730 
59353.995874 3.976294 
59354.030526 3.965844 
59354.065178 3.955382 
59354.099830 3.944911 
59354.134482 3.934432 
59354.169134 3.923947 
59354.203786 3.913458 
59354.238438 3.902966 
59354.273090 3.892474 
59354.307742 3.881983 
59354.342394 3.871496 
59354.377046 3.861014 
59354.411698 3.850539 
59354.446350 3.840073 
59354.481002 3.829618 
59354.515654 3.819176 
59354.550306 3.808749 
59354.584958 3.798339 
59354.619610 3.787947 
59354.654262 3.777576 
59354.688914 3.767227 
59354.723566 3.756903 
59354.758218 3.746606 
59354.792870 3.736337 
59354.827522 3.726098 
59354.862174 3.715892 
59354.896826 3.705720 
59354.931478 3.695584 
59354.966130 3.685487 
59355.000782 3.675430 
59355.035434 3.665414 
59355.070086 3.655443 
59355.104738 3.645518 
59355.139390 3.635641 
59355.174042 3.625814 
59355.208694 3.616039 
59355.243346 3.606317 
59355.277998 3.596652 
59355.312650 3.587044 
59355.347302 3.577496 
59355.381954 3.568009 
59355.416606 3.558586 
59355.451258 3.549229 
59355.485910 3.539939 
59355.520562 3.530718 
59355.555214 3.521568 
59355.589866 3.512492 
59355.624518 3.503491 
59355.659170 3.494566 
59355.693822 3.485721 
59355.728474 3.476956 
59355.763126 3.468274 
59355.797778 3.459676 
59355.832430 3.451164 
59355.867082 3.442741 
59355.901734 3.434408 
59355.936386 3.426166 
59355.971038 3.418018 
59356.005690 3.409966 
59356.040342 3.402011 
59356.074994 3.394155 
59356.109646 3.386399 
59356.144298 3.378746 
59356.178950 3.371198 
59356.213602 3.363756 
59356.248254 3.356421 
59356.282906 3.349196 
59356.317558 3.342082 
59356.352210 3.335081 
59356.386862 3.328195 
59356.421514 3.321425 
59356.456166 3.314773 
59356.490818 3.308240 
59356.525470 3.301828 
59356.560122 3.295540 
59356.594774 3.289375 
59356.629426 3.283337 
59356.664078 3.277425 
59356.698730 3.271643 
59356.733382 3.265992 
59356.768034 3.260472 
59356.802686 3.255086 
59356.837338 3.249835 
59356.871990 3.244720 
59356.906642 3.239743 
59356.941294 3.234905 
59356.975946 3.230208 
59357.010598 3.225653 
59357.045250 3.221241 
59357.079902 3.216974 
59357.114554 3.212853 
59357.149206 3.208879 
59357.183858 3.205054 
59357.218510 3.201379 
59357.253162 3.197854 
59357.287814 3.194482 
59357.322466 3.191263 
59357.357118 3.188199 
59357.391770 3.185291 
59357.426422 3.182539 
59357.461074 3.179946 
59357.495726 3.177511 
59357.530378 3.175237 
59357.565030 3.173123 
59357.599682 3.171172 
59357.634334 3.169383 
59357.668986 3.167759 
59357.703638 3.166299 
59357.738290 3.165006 
59357.772942 3.163879 
59357.807594 3.162920 
59357.842246 3.162129 
59357.876898 3.161507 
59357.911550 3.161055 
59357.946202 3.160774 
59357.980854 3.160664 
59358.015506 3.160727 
59358.050158 3.160962 
59358.084810 3.161371 
59358.119462 3.161954 
59358.154114 3.162711 
59358.188766 3.163644 
59358.223418 3.164753 
59358.258070 3.166037 
59358.292722 3.167499 
59358.327374 3.169138 
59358.362026 3.170954 
59358.396678 3.172948 
59358.431330 3.175121 
59358.465982 3.177473 
59358.500634 3.180004 
59358.535286 3.182714 
59358.569938 3.185603 
59358.604590 3.188673 
59358.639242 3.191922 
59358.673894 3.195352 
59358.708546 3.198962 
59358.743198 3.202752 
59358.777850 3.206724 
59358.812502 3.210875 
59358.847154 3.215208 
59358.881806 3.219721 
59358.916458 3.224414 
59358.951110 3.229288 
59358.985762 3.234343 
59359.020414 3.239578 
59359.055066 3.244993 
59359.089718 3.250588 
59359.124370 3.256364 
59359.159022 3.262318 
59359.193674 3.268452 
59359.228326 3.274765 
59359.262978 3.281257 
59359.297630 3.287927 
59359.332282 3.294775 
59359.366934 3.301801 
59359.401586 3.309003 
59359.436238 3.316383 
59359.470890 3.323938 
59359.505542 3.331670 
59359.540194 3.339576 
59359.574846 3.347657 
59359.609498 3.355912 
59359.644150 3.364340 
59359.678802 3.372940 
59359.713454 3.381713 
59359.748106 3.390656 
59359.782758 3.399770 
59359.817410 3.409054 
59359.852062 3.418506 
59359.886714 3.428127 
59359.921366 3.437915 
59359.956018 3.447868 
59359.990670 3.457987 
59360.025322 3.468271 
59360.059974 3.478718 
59360.094626 3.489327 
59360.129278 3.500097 
59360.163930 3.511028 
59360.198582 3.522118 
59360.233234 3.533366 
59360.267886 3.544771 
59360.302538 3.556331 
59360.337190 3.568047 
59360.371842 3.579915 
59360.406494 3.591936 
59360.441146 3.604108 
59360.475798 3.616429 
59360.510450 3.628898 
59360.545102 3.641514 
59360.579754 3.654276 
59360.614406 3.667182 
59360.649058 3.680231 
59360.683710 3.693420 
59360.718362 3.706750 
59360.753014 3.720218 
59360.787666 3.733823 
59360.822318 3.747563 
59360.856970 3.761436 
59360.891622 3.775442 
59360.926274 3.789579 
59360.960926 3.803844 
59360.995578 3.818236 
59361.030230 3.832754 
59361.064882 3.847396 
59361.099534 3.862160 
59361.134186 3.877045 
59361.168838 3.892048 
59361.203490 3.907168 
59361.238142 3.922403 
59361.272794 3.937752 
59361.307446 3.953212 
59361.342098 3.968782 
59361.376750 3.984459 
59361.411402 4.000242 
59361.446054 4.016129 
59361.480706 4.032119 
59361.515358 4.048208 
59361.550010 4.064395 
59361.584662 4.080679 
59361.619314 4.097057 
59361.653966 4.113527 
59361.688618 4.130087 
59361.723270 0.064800 
