# time model 
59329.481866 -2.655737 
59329.519476 -2.665493 
59329.557086 -2.674827 
59329.594696 -2.683729 
59329.632306 -2.692191 
59329.669917 -2.700204 
59329.707527 -2.707759 
59329.745137 -2.714849 
59329.782747 -2.721465 
59329.820357 -2.727601 
59329.857967 -2.733247 
59329.895578 -2.738397 
59329.933188 -2.743044 
59329.970798 -2.747180 
59330.008408 -2.750799 
59330.046018 -2.753895 
59330.083628 -2.756460 
59330.121238 -2.758490 
59330.158849 -2.759977 
59330.196459 -2.760917 
59330.234069 -2.761304 
59330.271679 -2.761134 
59330.309289 -2.760401 
59330.346899 -2.759101 
59330.384510 -2.757230 
59330.422120 -2.754784 
59330.459730 -2.751759 
59330.497340 -2.748151 
59330.534950 -2.743959 
59330.572560 -2.739178 
59330.610170 -2.733807 
59330.647781 -2.727843 
59330.685391 -2.721285 
59330.723001 -2.714131 
59330.760611 -2.706379 
59330.798221 -2.698029 
59330.835831 -2.689081 
59330.873442 -2.679533 
59330.911052 -2.669386 
59330.948662 -2.658641 
59330.986272 -2.647297 
59331.023882 -2.635357 
59331.061492 -2.622820 
59331.099102 -2.609690 
59331.136713 -2.595967 
59331.174323 -2.581655 
59331.211933 -2.566756 
59331.249543 -2.551272 
59331.287153 -2.535208 
59331.324763 -2.518566 
59331.362374 -2.501350 
59331.399984 -2.483566 
59331.437594 -2.465217 
59331.475204 -2.446308 
59331.512814 -2.426844 
59331.550424 -2.406832 
59331.588035 -2.386276 
59331.625645 -2.365183 
59331.663255 -2.343559 
59331.700865 -2.321412 
59331.738475 -2.298747 
59331.776085 -2.275572 
59331.813695 -2.251895 
59331.851306 -2.227724 
59331.888916 -2.203067 
59331.926526 -2.177932 
59331.964136 -2.152329 
59332.001746 -2.126265 
59332.039356 -2.099750 
59332.076967 -2.072794 
59332.114577 -2.045406 
59332.152187 -2.017596 
59332.189797 -1.989375 
59332.227407 -1.960753 
59332.265017 -1.931740 
59332.302627 -1.902348 
59332.340238 -1.872587 
59332.377848 -1.842469 
59332.415458 -1.812005 
59332.453068 -1.781208 
59332.490678 -1.750088 
59332.528288 -1.718657 
59332.565899 -1.686929 
59332.603509 -1.654915 
59332.641119 -1.622628 
59332.678729 -1.590080 
59332.716339 -1.557285 
59332.753949 -1.524255 
59332.791559 -1.491003 
59332.829170 -1.457542 
59332.866780 -1.423886 
59332.904390 -1.390048 
59332.942000 -1.356041 
59332.979610 -1.321880 
59333.017220 -1.287576 
59333.054831 -1.253145 
59333.092441 -1.218600 
59333.130051 -1.183954 
59333.167661 -1.149221 
59333.205271 -1.114416 
59333.242881 -1.079551 
59333.280492 -1.044641 
59333.318102 -1.009700 
59333.355712 -0.974742 
59333.393322 -0.939779 
59333.430932 -0.904827 
59333.468542 -0.869898 
59333.506152 -0.835007 
59333.543763 -0.800167 
59333.581373 -0.765392 
59333.618983 -0.730696 
59333.656593 -0.696091 
59333.694203 -0.661591 
59333.731813 -0.627210 
59333.769424 -0.592960 
59333.807034 -0.558855 
59333.844644 -0.524908 
59333.882254 -0.491132 
59333.919864 -0.457539 
59333.957474 -0.424141 
59333.995084 -0.390952 
59334.032695 -0.357984 
59334.070305 -0.325249 
59334.107915 -0.292758 
59334.145525 -0.260523 
59334.183135 -0.228557 
59334.220745 -0.196870 
59334.258356 -0.165474 
59334.295966 -0.134380 
59334.333576 -0.103599 
59334.371186 -0.073140 
59334.408796 -0.043015 
59334.446406 -0.013234 
59334.484016 0.016193 
59334.521627 0.045257 
59334.559237 0.073948 
59334.596847 0.102257 
59334.634457 0.130174 
59334.672067 0.157692 
59334.709677 0.184802 
59334.747288 0.211495 
59334.784898 0.237764 
59334.822508 0.263601 
59334.860118 0.288998 
59334.897728 0.313948 
59334.935338 0.338445 
59334.972949 0.362482 
59335.010559 0.386053 
59335.048169 0.409152 
59335.085779 0.431772 
59335.123389 0.453910 
59335.160999 0.475558 
59335.198609 0.496714 
59335.236220 0.517371 
59335.273830 0.537527 
59335.311440 0.557177 
59335.349050 0.576317 
59335.386660 0.594945 
59335.424270 0.613056 
59335.461881 0.630650 
59335.499491 0.647722 
59335.537101 0.664271 
59335.574711 0.680295 
59335.612321 0.695793 
59335.649931 0.710764 
59335.687541 0.725206 
59335.725152 0.739119 
59335.762762 0.752503 
59335.800372 0.765357 
59335.837982 0.777683 
59335.875592 0.789480 
59335.913202 0.800750 
59335.950813 0.811493 
59335.988423 0.821711 
59336.026033 0.831407 
59336.063643 0.840581 
59336.101253 0.849236 
59336.138863 0.857376 
59336.176473 0.865001 
59336.214084 0.872117 
59336.251694 0.878726 
59336.289304 0.884831 
59336.326914 0.890437 
59336.364524 0.895548 
59336.402134 0.900168 
59336.439745 0.904303 
59336.477355 0.907955 
59336.514965 0.911132 
59336.552575 0.913838 
59336.590185 0.916079 
59336.627795 0.917861 
