# time model 
59330.128322 2.507476 
59330.181414 2.556656 
59330.234506 2.604662 
59330.287598 2.651440 
59330.340691 2.696938 
59330.393783 2.741105 
59330.446875 2.783892 
59330.499967 2.825250 
59330.553059 2.865133 
59330.606151 2.903495 
59330.659244 2.940292 
59330.712336 2.975482 
59330.765428 3.009024 
59330.818520 3.040879 
59330.871612 3.071010 
59330.924704 3.099382 
59330.977797 3.125960 
59331.030889 3.150714 
59331.083981 3.173614 
59331.137073 3.194632 
59331.190165 3.213744 
59331.243257 3.230924 
59331.296349 3.246154 
59331.349442 3.259412 
59331.402534 3.270683 
59331.455626 3.279952 
59331.508718 3.287207 
59331.561810 3.292438 
59331.614902 3.295637 
59331.667995 3.296798 
59331.721087 3.295919 
59331.774179 3.293000 
59331.827271 3.288041 
59331.880363 3.281046 
59331.933455 3.272023 
59331.986547 3.260979 
59332.039640 3.247926 
59332.092732 3.232877 
59332.145824 3.215847 
59332.198916 3.196854 
59332.252008 3.175919 
59332.305100 3.153063 
59332.358193 3.128312 
59332.411285 3.101691 
59332.464377 3.073230 
59332.517469 3.042959 
59332.570561 3.010912 
59332.623653 2.977122 
59332.676746 2.941627 
59332.729838 2.904466 
59332.782930 2.865678 
59332.836022 2.825307 
59332.889114 2.783395 
59332.942206 2.739990 
59332.995298 2.695138 
59333.048391 2.648888 
59333.101483 2.601290 
59333.154575 2.552396 
59333.207667 2.502258 
59333.260759 2.450932 
59333.313851 2.398472 
59333.366944 2.344935 
59333.420036 2.290379 
59333.473128 2.234861 
59333.526220 2.178442 
59333.579312 2.121182 
59333.632404 2.063141 
59333.685497 2.004380 
59333.738589 1.944963 
59333.791681 1.884951 
59333.844773 1.824407 
59333.897865 1.763395 
59333.950957 1.701978 
59334.004049 1.640220 
59334.057142 1.578183 
59334.110234 1.515933 
59334.163326 1.453531 
59334.216418 1.391042 
59334.269510 1.328529 
59334.322602 1.266053 
59334.375695 1.203679 
59334.428787 1.141466 
59334.481879 1.079477 
59334.534971 1.017772 
59334.588063 0.956410 
59334.641155 0.895452 
59334.694247 0.834954 
59334.747340 0.774975 
59334.800432 0.715570 
59334.853524 0.656794 
59334.906616 0.598702 
59334.959708 0.541347 
59335.012800 0.484780 
59335.065893 0.429051 
59335.118985 0.374209 
59335.172077 0.320303 
59335.225169 0.267377 
59335.278261 0.215477 
59335.331353 0.164646 
59335.384446 0.114925 
59335.437538 0.066354 
59335.490630 0.018971 
59335.543722 -0.027187 
59335.596814 -0.072085 
59335.649906 -0.115692 
59335.702998 -0.157974 
59335.756091 -0.198904 
59335.809183 -0.238453 
59335.862275 -0.276597 
59335.915367 -0.313310 
59335.968459 -0.348571 
59336.021551 -0.382360 
59336.074644 -0.414659 
59336.127736 -0.445451 
59336.180828 -0.474723 
59336.233920 -0.502462 
59336.287012 -0.528657 
59336.340104 -0.553300 
59336.393197 -0.576383 
59336.446289 -0.597903 
59336.499381 -0.617856 
59336.552473 -0.636242 
59336.605565 -0.653060 
59336.658657 -0.668314 
59336.711749 -0.682007 
59336.764842 -0.694147 
59336.817934 -0.704741 
59336.871026 -0.713799 
59336.924118 -0.721331 
59336.977210 -0.727352 
59337.030302 -0.731876 
59337.083395 -0.734919 
59337.136487 -0.736499 
59337.189579 -0.736635 
59337.242671 -0.735349 
59337.295763 -0.732663 
59337.348855 -0.728600 
59337.401947 -0.723185 
59337.455040 -0.716446 
59337.508132 -0.708410 
59337.561224 -0.699105 
59337.614316 -0.688562 
59337.667408 -0.676813 
59337.720500 -0.663889 
59337.773593 -0.649825 
59337.826685 -0.634654 
59337.879777 -0.618412 
59337.932869 -0.601135 
59337.985961 -0.582860 
59338.039053 -0.563626 
59338.092146 -0.543470 
59338.145238 -0.522432 
59338.198330 -0.500552 
59338.251422 -0.477870 
59338.304514 -0.454428 
59338.357606 -0.430267 
59338.410698 -0.405428 
59338.463791 -0.379954 
59338.516883 -0.353887 
59338.569975 -0.327271 
59338.623067 -0.300148 
59338.676159 -0.272562 
59338.729251 -0.244555 
59338.782344 -0.216171 
59338.835436 -0.187453 
59338.888528 -0.158445 
59338.941620 -0.129190 
59338.994712 -0.099730 
59339.047804 -0.070108 
59339.100897 -0.040368 
59339.153989 -0.010551 
59339.207081 0.019301 
59339.260173 0.049146 
59339.313265 0.078942 
59339.366357 0.108650 
59339.419449 0.138229 
59339.472542 0.167639 
59339.525634 0.196842 
59339.578726 0.225798 
59339.631818 0.254471 
59339.684910 0.282822 
59339.738002 0.310816 
59339.791095 0.338417 
59339.844187 0.365589 
59339.897279 0.392300 
59339.950371 0.418516 
59340.003463 0.444204 
59340.056555 0.469334 
59340.109647 0.493874 
59340.162740 0.517796 
59340.215832 0.541070 
59340.268924 0.563670 
59340.322016 0.585569 
59340.375108 0.606742 
59340.428200 0.627163 
59340.481293 0.646811 
59340.534385 0.665662 
59340.587477 0.683697 
59340.640569 0.700894 
59340.693661 0.717235 
59340.746753 0.732703 
59340.799846 0.747282 
59340.852938 0.760955 
59340.906030 0.773709 
59340.959122 0.785530 
59341.012214 0.796409 
59341.065306 0.806333 
59341.118398 0.815293 
59341.171491 0.823282 
59341.224583 0.830292 
59341.277675 0.836318 
59341.330767 0.841355 
59341.383859 0.845401 
59341.436951 0.848452 
59341.490044 0.850509 
59341.543136 0.851570 
59341.596228 0.851639 
59341.649320 0.850716 
59341.702412 0.848807 
59341.755504 0.845916 
59341.808597 0.842049 
59341.861689 0.837213 
59341.914781 0.831416 
59341.967873 0.824668 
59342.020965 0.816979 
59342.074057 0.808361 
59342.127149 0.798826 
59342.180242 0.788388 
59342.233334 0.777061 
59342.286426 0.764860 
59342.339518 0.751803 
59342.392610 0.737906 
59342.445702 0.723188 
59342.498795 0.707668 
59342.551887 0.691365 
59342.604979 0.674302 
59342.658071 0.656498 
59342.711163 0.637978 
59342.764255 0.618764 
59342.817347 0.598879 
59342.870440 0.578349 
59342.923532 0.557199 
59342.976624 0.535454 
59343.029716 0.513141 
59343.082808 0.490287 
59343.135900 0.466920 
59343.188993 0.443066 
59343.242085 0.418756 
59343.295177 0.394017 
59343.348269 0.368880 
59343.401361 0.343373 
59343.454453 0.317526 
59343.507546 0.291369 
59343.560638 0.264934 
59343.613730 0.238250 
59343.666822 0.211348 
59343.719914 0.184259 
59343.773006 0.157013 
59343.826098 0.129643 
59343.879191 0.102178 
59343.932283 0.074650 
59343.985375 0.047090 
59344.038467 0.019527 
59344.091559 -0.008007 
59344.144651 -0.035482 
59344.197744 -0.062868 
59344.250836 -0.090135 
59344.303928 -0.117254 
59344.357020 -0.144196 
59344.410112 -0.170931 
59344.463204 -0.197432 
59344.516297 -0.223671 
59344.569389 -0.249620 
59344.622481 -0.275253 
59344.675573 -0.300543 
59344.728665 -0.325465 
59344.781757 -0.349994 
59344.834849 -0.374106 
59344.887942 -0.397777 
59344.941034 -0.420984 
59344.994126 -0.443706 
59345.047218 -0.465920 
59345.100310 -0.487608 
59345.153402 -0.508748 
59345.206495 -0.529324 
59345.259587 -0.549316 
59345.312679 -0.568709 
59345.365771 -0.587487 
59345.418863 -0.605634 
59345.471955 -0.623137 
59345.525047 -0.639983 
59345.578140 -0.656160 
59345.631232 -0.671659 
59345.684324 -0.686469 
59345.737416 -0.700581 
59345.790508 -0.713989 
59345.843600 -0.726686 
59345.896693 -0.738667 
59345.949785 -0.749928 
59346.002877 -0.760466 
59346.055969 -0.770279 
59346.109061 -0.779367 
59346.162153 -0.787730 
59346.215246 -0.795369 
59346.268338 -0.802288 
59346.321430 -0.808491 
59346.374522 -0.813981 
59346.427614 -0.818766 
59346.480706 -0.822853 
59346.533798 -0.826249 
59346.586891 -0.828964 
59346.639983 -0.831009 
59346.693075 -0.832395 
59346.746167 -0.833134 
59346.799259 -0.833239 
59346.852351 -0.832725 
59346.905444 -0.831608 
59346.958536 -0.829902 
59347.011628 -0.827626 
59347.064720 -0.824797 
59347.117812 -0.821433 
59347.170904 -0.817555 
59347.223997 -0.813181 
59347.277089 -0.808334 
59347.330181 -0.803035 
59347.383273 -0.797306 
59347.436365 -0.791169 
59347.489457 -0.784648 
59347.542549 -0.777766 
59347.595642 -0.770549 
59347.648734 -0.763019 
59347.701826 -0.755203 
59347.754918 -0.747126 
59347.808010 -0.738812 
59347.861102 -0.730289 
59347.914195 -0.721581 
59347.967287 -0.712715 
59348.020379 -0.703716 
59348.073471 -0.694611 
59348.126563 -0.685426 
59348.179655 -0.676186 
59348.232747 -0.666918 
59348.285840 -0.657646 
59348.338932 -0.648397 
59348.392024 -0.639194 
59348.445116 -0.630063 
59348.498208 -0.621028 
59348.551300 -0.612112 
59348.604393 -0.603338 
59348.657485 -0.594730 
59348.710577 -0.586309 
59348.763669 -0.578097 
59348.816761 -0.570113 
59348.869853 -0.562379 
59348.922946 -0.554913 
59348.976038 -0.547733 
59349.029130 -0.540856 
59349.082222 -0.534299 
59349.135314 -0.528078 
59349.188406 -0.522207 
59349.241498 -0.516699 
59349.294591 -0.511566 
59349.347683 -0.506820 
59349.400775 -0.502470 
59349.453867 -0.498526 
59349.506959 -0.494995 
59349.560051 -0.491884 
59349.613144 -0.489198 
59349.666236 -0.486940 
59349.719328 -0.485113 
59349.772420 -0.483720 
59349.825512 -0.482759 
59349.878604 -0.482229 
59349.931697 -0.482128 
59349.984789 -0.482453 
59350.037881 -0.483197 
59350.090973 -0.484354 
59350.144065 -0.485916 
59350.197157 -0.487873 
59350.250249 -0.490216 
59350.303342 -0.492933 
59350.356434 -0.496010 
59350.409526 -0.499432 
59350.462618 -0.503184 
59350.515710 -0.507250 
59350.568802 -0.511610 
59350.621895 -0.516246 
59350.674987 -0.521136 
59350.728079 -0.526261 
59350.781171 -0.531595 
59350.834263 -0.537117 
59350.887355 -0.542800 
59350.940447 -0.548620 
59350.993540 -0.554550 
59351.046632 -0.560561 
59351.099724 -0.566626 
59351.152816 -0.572715 
59351.205908 -0.578799 
59351.259000 -0.584846 
59351.312093 -0.590826 
59351.365185 -0.596706 
59351.418277 -0.602455 
59351.471369 -0.608039 
59351.524461 -0.613426 
59351.577553 -0.618582 
59351.630646 -0.623473 
59351.683738 -0.628066 
59351.736830 -0.632326 
59351.789922 -0.636219 
59351.843014 -0.639712 
59351.896106 -0.642770 
59351.949198 -0.645359 
59352.002291 -0.647446 
59352.055383 -0.648998 
59352.108475 -0.649981 
59352.161567 -0.650364 
59352.214659 -0.650113 
59352.267751 -0.649199 
59352.320844 -0.647589 
59352.373936 -0.645254 
59352.427028 -0.642166 
59352.480120 -0.638294 
59352.533212 -0.633613 
59352.586304 -0.628095 
59352.639397 -0.621715 
59352.692489 -0.614449 
59352.745581 -0.606273 
59352.798673 -0.597166 
59352.851765 -0.587108 
59352.904857 -0.576078 
59352.957949 -0.564059 
59353.011042 -0.551035 
59353.064134 -0.536991 
59353.117226 -0.521913 
59353.170318 -0.505790 
