# time model 
59330.128322 3.443916 
59330.181414 3.460695 
59330.234506 3.476018 
59330.287598 3.489862 
59330.340691 3.502202 
59330.393783 3.513015 
59330.446875 3.522280 
59330.499967 3.529977 
59330.553059 3.536090 
59330.606151 3.540600 
59330.659244 3.543493 
59330.712336 3.544757 
59330.765428 3.544378 
59330.818520 3.542349 
59330.871612 3.538659 
59330.924704 3.533302 
59330.977797 3.526274 
59331.030889 3.517572 
59331.083981 3.507192 
59331.137073 3.495137 
59331.190165 3.481407 
59331.243257 3.466005 
59331.296349 3.448938 
59331.349442 3.430212 
59331.402534 3.409835 
59331.455626 3.387817 
59331.508718 3.364171 
59331.561810 3.338910 
59331.614902 3.312048 
59331.667995 3.283604 
59331.721087 3.253594 
59331.774179 3.222038 
59331.827271 3.188959 
59331.880363 3.154378 
59331.933455 3.118321 
59331.986547 3.080813 
59332.039640 3.041881 
59332.092732 3.001554 
59332.145824 2.959862 
59332.198916 2.916836 
59332.252008 2.872509 
59332.305100 2.826914 
59332.358193 2.780088 
59332.411285 2.732066 
59332.464377 2.682885 
59332.517469 2.632584 
59332.570561 2.581203 
59332.623653 2.528782 
59332.676746 2.475363 
59332.729838 2.420987 
59332.782930 2.365699 
59332.836022 2.309542 
59332.889114 2.252561 
59332.942206 2.194802 
59332.995298 2.136311 
59333.048391 2.077135 
59333.101483 2.017321 
59333.154575 1.956916 
59333.207667 1.895971 
59333.260759 1.834532 
59333.313851 1.772649 
59333.366944 1.710372 
59333.420036 1.647751 
59333.473128 1.584834 
59333.526220 1.521672 
59333.579312 1.458316 
59333.632404 1.394814 
59333.685497 1.331218 
59333.738589 1.267576 
59333.791681 1.203939 
59333.844773 1.140357 
59333.897865 1.076879 
59333.950957 1.013554 
59334.004049 0.950431 
59334.057142 0.887558 
59334.110234 0.824983 
59334.163326 0.762754 
59334.216418 0.700918 
59334.269510 0.639521 
59334.322602 0.578609 
59334.375695 0.518226 
59334.428787 0.458419 
59334.481879 0.399229 
59334.534971 0.340700 
59334.588063 0.282874 
59334.641155 0.225793 
59334.694247 0.169495 
59334.747340 0.114022 
59334.800432 0.059410 
59334.853524 0.005698 
59334.906616 -0.047079 
59334.959708 -0.098885 
59335.012800 -0.149687 
59335.065893 -0.199451 
59335.118985 -0.248145 
59335.172077 -0.295739 
59335.225169 -0.342204 
59335.278261 -0.387512 
59335.331353 -0.431636 
59335.384446 -0.474550 
59335.437538 -0.516230 
59335.490630 -0.556653 
59335.543722 -0.595797 
59335.596814 -0.633643 
59335.649906 -0.670172 
59335.702998 -0.705366 
59335.756091 -0.739208 
59335.809183 -0.771685 
59335.862275 -0.802783 
59335.915367 -0.832490 
59335.968459 -0.860796 
59336.021551 -0.887691 
59336.074644 -0.913168 
59336.127736 -0.937221 
59336.180828 -0.959844 
59336.233920 -0.981035 
59336.287012 -1.000791 
59336.340104 -1.019112 
59336.393197 -1.035999 
59336.446289 -1.051453 
59336.499381 -1.065478 
59336.552473 -1.078080 
59336.605565 -1.089263 
59336.658657 -1.099037 
59336.711749 -1.107408 
59336.764842 -1.114389 
59336.817934 -1.119989 
59336.871026 -1.124223 
59336.924118 -1.127103 
59336.977210 -1.128644 
59337.030302 -1.128864 
59337.083395 -1.127780 
59337.136487 -1.125409 
59337.189579 -1.121773 
59337.242671 -1.116891 
59337.295763 -1.110786 
59337.348855 -1.103480 
59337.401947 -1.094998 
59337.455040 -1.085364 
59337.508132 -1.074604 
59337.561224 -1.062745 
59337.614316 -1.049815 
59337.667408 -1.035842 
59337.720500 -1.020855 
59337.773593 -1.004885 
59337.826685 -0.987962 
59337.879777 -0.970117 
59337.932869 -0.951384 
59337.985961 -0.931794 
59338.039053 -0.911382 
59338.092146 -0.890181 
59338.145238 -0.868225 
59338.198330 -0.845551 
59338.251422 -0.822192 
59338.304514 -0.798185 
59338.357606 -0.773567 
59338.410698 -0.748373 
59338.463791 -0.722641 
59338.516883 -0.696408 
59338.569975 -0.669710 
59338.623067 -0.642586 
59338.676159 -0.615074 
59338.729251 -0.587210 
59338.782344 -0.559033 
59338.835436 -0.530581 
59338.888528 -0.501891 
59338.941620 -0.473001 
59338.994712 -0.443949 
59339.047804 -0.414772 
59339.100897 -0.385507 
59339.153989 -0.356193 
59339.207081 -0.326865 
59339.260173 -0.297560 
59339.313265 -0.268315 
59339.366357 -0.239165 
59339.419449 -0.210147 
59339.472542 -0.181295 
59339.525634 -0.152644 
59339.578726 -0.124228 
59339.631818 -0.096081 
59339.684910 -0.068237 
59339.738002 -0.040727 
59339.791095 -0.013583 
59339.844187 0.013162 
59339.897279 0.039478 
59339.950371 0.065336 
59340.003463 0.090707 
59340.056555 0.115560 
59340.109647 0.139870 
59340.162740 0.163609 
59340.215832 0.186751 
59340.268924 0.209270 
59340.322016 0.231143 
59340.375108 0.252346 
59340.428200 0.272857 
59340.481293 0.292653 
59340.534385 0.311714 
59340.587477 0.330021 
59340.640569 0.347554 
59340.693661 0.364296 
59340.746753 0.380231 
59340.799846 0.395342 
59340.852938 0.409615 
59340.906030 0.423037 
59340.959122 0.435594 
59341.012214 0.447276 
59341.065306 0.458072 
59341.118398 0.467972 
59341.171491 0.476969 
59341.224583 0.485055 
59341.277675 0.492224 
59341.330767 0.498472 
59341.383859 0.503793 
59341.436951 0.508186 
59341.490044 0.511649 
59341.543136 0.514182 
59341.596228 0.515784 
59341.649320 0.516457 
59341.702412 0.516204 
59341.755504 0.515028 
59341.808597 0.512935 
