# time model 
59330.128322 4.058392 
59330.181414 4.054369 
59330.234506 4.049047 
59330.287598 4.042414 
59330.340691 4.034461 
59330.393783 4.025180 
59330.446875 4.014564 
59330.499967 4.002608 
59330.553059 3.989306 
59330.606151 3.974656 
59330.659244 3.958656 
59330.712336 3.941304 
59330.765428 3.922602 
59330.818520 3.902552 
59330.871612 3.881155 
59330.924704 3.858417 
59330.977797 3.834344 
59331.030889 3.808941 
59331.083981 3.782217 
59331.137073 3.754182 
59331.190165 3.724847 
59331.243257 3.694222 
59331.296349 3.662321 
59331.349442 3.629158 
59331.402534 3.594750 
59331.455626 3.559111 
59331.508718 3.522262 
59331.561810 3.484220 
59331.614902 3.445005 
59331.667995 3.404640 
59331.721087 3.363146 
59331.774179 3.320547 
59331.827271 3.276868 
59331.880363 3.232134 
59331.933455 3.186371 
59331.986547 3.139608 
59332.039640 3.091873 
59332.092732 3.043196 
59332.145824 2.993607 
59332.198916 2.943137 
59332.252008 2.891819 
59332.305100 2.839685 
59332.358193 2.786770 
59332.411285 2.733107 
59332.464377 2.678732 
59332.517469 2.623681 
59332.570561 2.567990 
59332.623653 2.511697 
59332.676746 2.454839 
59332.729838 2.397455 
59332.782930 2.339583 
59332.836022 2.281262 
59332.889114 2.222533 
59332.942206 2.163434 
59332.995298 2.104007 
59333.048391 2.044291 
59333.101483 1.984329 
59333.154575 1.924160 
59333.207667 1.863826 
59333.260759 1.803369 
59333.313851 1.742829 
59333.366944 1.682249 
59333.420036 1.621670 
59333.473128 1.561133 
59333.526220 1.500680 
59333.579312 1.440351 
59333.632404 1.380189 
59333.685497 1.320234 
59333.738589 1.260527 
59333.791681 1.201107 
59333.844773 1.142016 
59333.897865 1.083292 
59333.950957 1.024976 
59334.004049 0.967105 
59334.057142 0.909718 
59334.110234 0.852854 
59334.163326 0.796549 
59334.216418 0.740841 
59334.269510 0.685764 
59334.322602 0.631355 
59334.375695 0.577649 
59334.428787 0.524679 
59334.481879 0.472479 
59334.534971 0.421080 
59334.588063 0.370516 
59334.641155 0.320816 
59334.694247 0.272010 
59334.747340 0.224128 
59334.800432 0.177197 
59334.853524 0.131245 
59334.906616 0.086298 
59334.959708 0.042380 
59335.012800 -0.000484 
59335.065893 -0.042271 
59335.118985 -0.082959 
59335.172077 -0.122527 
59335.225169 -0.160956 
59335.278261 -0.198227 
59335.331353 -0.234322 
59335.384446 -0.269226 
59335.437538 -0.302922 
59335.490630 -0.335397 
59335.543722 -0.366639 
59335.596814 -0.396635 
59335.649906 -0.425376 
59335.702998 -0.452851 
59335.756091 -0.479054 
59335.809183 -0.503977 
59335.862275 -0.527615 
59335.915367 -0.549964 
59335.968459 -0.571020 
59336.021551 -0.590782 
59336.074644 -0.609249 
59336.127736 -0.626421 
59336.180828 -0.642302 
59336.233920 -0.656893 
