# time model 
59318.211098 -1.548917 
59318.265916 -1.652164 
59318.320735 -1.700159 
59318.375553 -1.691580 
59318.430372 -1.627578 
59318.485190 -1.511664 
59318.540009 -1.349357 
59318.594827 -1.147661 
59318.649645 -0.914446 
59318.704464 -0.657864 
59318.759282 -0.385836 
59318.814101 -0.105675 
59318.868919 0.176148 
59318.923738 0.454122 
59318.978556 0.723706 
59319.033374 0.981276 
59319.088193 1.224024 
59319.143011 1.449847 
59319.197830 1.657220 
59319.252648 1.845087 
59319.307467 2.012752 
59319.362285 2.159796 
59319.417103 2.286000 
59319.471922 2.391284 
59319.526740 2.475660 
59319.581559 2.539193 
59319.636377 2.581974 
59319.691196 2.604096 
59319.746014 2.605644 
59319.800832 2.586682 
59319.855651 2.547250 
59319.910469 2.487368 
59319.965288 2.407037 
59320.020106 2.306252 
59320.074925 2.185019 
59320.129743 2.043376 
59320.184561 1.881423 
59320.239380 1.699362 
59320.294198 1.497545 
59320.349017 1.276535 
59320.403835 1.037177 
59320.458654 0.780687 
59320.513472 0.508753 
59320.568290 0.223638 
59320.623109 -0.071699 
59320.677927 -0.373502 
59320.732746 -0.677131 
59320.787564 -0.977017 
59320.842383 -1.266693 
59320.897201 -1.538917 
59320.952019 -1.785925 
59321.006838 -1.999811 
59321.061656 -2.173034 
59321.116475 -2.299004 
59321.171293 -2.372680 
59321.226112 -2.391075 
59321.280930 -2.353588 
59321.335748 -2.262079 
59321.390567 -2.120692 
59321.445385 -1.935436 
59321.500204 -1.713632 
59321.555022 -1.463289 
59321.609841 -1.192536 
59321.664659 -0.909146 
59321.719477 -0.620202 
59321.774296 -0.331897 
59321.829114 -0.049450 
59321.883933 0.222881 
59321.938751 0.481732 
59321.993569 0.724523 
59322.048388 0.949347 
59322.103206 1.154840 
59322.158025 1.340078 
59322.212843 1.504473 
59322.267662 1.647689 
59322.322480 1.769575 
59322.377298 1.870104 
59322.432117 1.949329 
59322.486935 2.007350 
59322.541754 2.044287 
59322.596572 2.060258 
59322.651391 2.055369 
59322.706209 2.029707 
59322.761027 1.983335 
59322.815846 1.916296 
59322.870664 1.828619 
59322.925483 1.720332 
59322.980301 1.591480 
59323.035120 1.442148 
59323.089938 1.272494 
59323.144756 1.082793 
59323.199575 0.873484 
59323.254393 0.645239 
59323.309212 0.399034 
59323.364030 0.136248 
59323.418849 -0.141242 
59323.473667 -0.430948 
59323.528485 -0.729657 
59323.583304 -1.033328 
59323.638122 -1.337018 
59323.692941 -1.634859 
59323.747759 -1.920105 
59323.802578 -2.185300 
59323.857396 -2.422559 
59323.912214 -2.623990 
59323.967033 -2.782235 
59324.021851 -2.891060 
59324.076670 -2.945943 
59324.131488 -2.944534 
59324.186307 -2.886916 
59324.241125 -2.775614 
59324.295943 -2.615335 
59324.350762 -2.412503 
59324.405580 -2.174674 
59324.460399 -1.909924 
59324.515217 -1.626298 
59324.570036 -1.331376 
59324.624854 -1.031977 
59324.679672 -0.733996 
59324.734491 -0.442350 
59324.789309 -0.161015 
59324.844128 0.106902 
59324.898946 0.359040 
59324.953765 0.593675 
59325.008583 0.809591 
59325.063401 1.005981 
59325.118220 1.182345 
59325.173038 1.338414 
59325.227857 1.474080 
59325.282675 1.589347 
59325.337494 1.684285 
59325.392312 1.759002 
59325.447130 1.813615 
59325.501949 1.848235 
59325.556767 1.862957 
59325.611586 1.857852 
59325.666404 1.832967 
59325.721223 1.788328 
59325.776041 1.723948 
59325.830859 1.639843 
59325.885678 1.536048 
59325.940496 1.412648 
59325.995315 1.269807 
59326.050133 1.107820 
59326.104952 0.927161 
59326.159770 0.728556 
59326.214588 0.513061 
59326.269407 0.282155 
59326.324225 0.037851 
59326.379044 -0.217196 
59326.433862 -0.479580 
59326.488681 -0.745039 
59326.543499 -1.008401 
59326.598317 -1.263572 
59326.653136 -1.503619 
59326.707954 -1.720968 
59326.762773 -1.907727 
59326.817591 -2.056142 
59326.872410 -2.159165 
59326.927228 -2.211048 
59326.982046 -2.207905 
59327.036865 -2.148122 
59327.091683 -2.032552 
59327.146502 -1.864437 
59327.201320 -1.649090 
59327.256139 -1.393377 
59327.310957 -1.105120 
59327.365775 -0.792490 
59327.420594 -0.463492 
59327.475412 -0.125563 
