# time model 
2455007.429878 -0.000122 
2455009.114520 0.000552 
2455010.799162 -0.005836 
2455012.483804 -0.017585 
2455014.168446 -0.032408 
2455015.853088 -0.048085 
2455017.537730 -0.062920 
2455019.222372 -0.075892 
2455020.907013 -0.086526 
2455022.591655 -0.094632 
2455024.276297 -0.100063 
2455025.960939 -0.102637 
2455027.645581 -0.102229 
2455029.330223 -0.098971 
2455031.014865 -0.093396 
2455032.699507 -0.086438 
2455034.384149 -0.079227 
2455036.068791 -0.072749 
2455037.753433 -0.067520 
2455039.438075 -0.063426 
2455041.122717 -0.059826 
2455042.807359 -0.055897 
2455044.492001 -0.051103 
2455046.176643 -0.045567 
2455047.861285 -0.040201 
2455049.545927 -0.036471 
2455051.230569 -0.035883 
2455052.915211 -0.039360 
2455054.599853 -0.046746 
2455056.284495 -0.056647 
2455057.969137 -0.066705 
2455059.653779 -0.074230 
2455061.338421 -0.076986 
2455063.023063 -0.073873 
2455064.707705 -0.065267 
2455066.392346 -0.052912 
2455068.076988 -0.039414 
2455069.761630 -0.027521 
2455071.446272 -0.019438 
2455073.130914 -0.016399 
2455074.815556 -0.018601 
2455076.500198 -0.025462 
2455078.184840 -0.036046 
2455079.869482 -0.049451 
2455081.554124 -0.064992 
2455083.238766 -0.082111 
2455084.923408 -0.100109 
2455086.608050 -0.117838 
2455088.292692 -0.133581 
2455089.977334 -0.145221 
2455091.661976 -0.150710 
2455093.346618 -0.148699 
2455095.031260 -0.139093 
2455096.715902 -0.123293 
2455098.400544 -0.103997 
2455100.085186 -0.084573 
2455101.769828 -0.068187 
2455103.454470 -0.057001 
2455105.139112 -0.051700 
2455106.823754 -0.051547 
2455108.508396 -0.054921 
2455110.193038 -0.060139 
2455111.877679 -0.066217 
2455113.562321 -0.073238 
2455115.246963 -0.082167 
2455116.931605 -0.094139 
2455118.616247 -0.109514 
2455120.300889 -0.127110 
2455121.985531 -0.143970 
2455123.670173 -0.155888 
2455125.354815 -0.158568 
2455127.039457 -0.149076 
2455128.724099 -0.127053 
2455130.408741 -0.095223 
2455132.093383 -0.058975 
2455133.778025 -0.025106 
2455135.462667 -0.000152 
2455137.147309 0.011118 
2455138.831951 0.006540 
2455140.516593 -0.013500 
2455142.201235 -0.046875 
2455143.885877 -0.090814 
2455145.570519 -0.142730 
2455147.255161 -0.200348 
2455148.939803 -0.261085 
2455150.624445 -0.321042 
2455152.309087 -0.374252 
2455153.993729 -0.412820 
2455155.678370 -0.428305 
2455157.363012 -0.414100 
2455159.047654 -0.368100 
2455160.732296 -0.294594 
2455162.416938 -0.204489 
2455164.101580 -0.113442 
2455165.786222 -0.038278 
2455167.470864 0.007252 
2455169.155506 0.015947 
2455170.840148 -0.011334 
2455172.524790 -0.066711 
2455174.209432 -0.138437 
2455175.894074 -0.214956 
2455177.578716 -0.288274 
2455179.263358 -0.355303 
2455180.948000 -0.416720 
2455182.632642 -0.473914 
2455184.317284 -0.525496 
2455186.001926 -0.565106 
2455187.686568 -0.581813 
2455189.371210 -0.563296 
2455191.055852 -0.500817 
2455192.740494 -0.394061 
2455194.425136 -0.253797 
2455196.109778 -0.101012 
2455197.794420 0.037504 
2455199.479062 0.135741 
2455201.163703 0.174974 
2455202.848345 0.147879 
2455204.532987 0.058953 
2455206.217629 -0.078634 
2455207.902271 -0.248167 
2455209.586913 -0.434162 
2455211.271555 -0.624748 
2455212.956197 -0.810827 
2455214.640839 -0.982825 
2455216.325481 -1.127154 
2455218.010123 -1.224892 
2455219.694765 -1.254326 
2455221.379407 -1.197285 
2455223.064049 -1.047229 
2455224.748691 -0.815814 
2455226.433333 -0.534709 
2455228.117975 -0.250944 
2455229.802617 -0.016480 
2455231.487259 0.124906 
2455233.171901 0.148995 
2455234.856543 0.056694 
2455236.541185 -0.128252 
2455238.225827 -0.368489 
2455239.910469 -0.625604 
2455241.595111 -0.871078 
2455243.279753 -1.091405 
2455244.964394 -1.285607 
2455246.649036 -1.456687 
2455248.333678 -1.601298 
2455250.018320 -1.702848 
2455251.702962 -1.732013 
2455253.387604 -1.655489 
2455255.072246 -1.450139 
2455256.756888 -1.116993 
2455258.441530 -0.689036 
2455260.126172 -0.228750 
2455261.810814 0.184796 
2455263.495456 0.475408 
2455265.180098 0.589151 
2455266.864740 0.506934 
2455268.549382 0.246138 
2455270.234024 -0.148602 
2455271.918666 -0.621154 
2455273.603308 -1.119526 
2455275.287950 -1.605237 
2455276.972592 -2.053433 
2455278.657234 -2.445203 
2455280.341876 -2.757366 
2455282.026518 -2.956330 
2455283.711160 -3.000927 
2455285.395802 -2.854874 
2455287.080444 -2.504616 
2455288.765086 -1.974926 
2455290.449727 -1.334421 
2455292.134369 -0.686475 
2455293.819011 -0.146642 
2455295.503653 0.186600 
2455297.188295 0.257697 
2455298.872937 0.067030 
2455300.557579 -0.333726 
2455302.242221 -0.861999 
2455303.926863 -1.432332 
2455305.611505 -1.980902 
2455307.296147 -2.476968 
2455308.980789 -2.917351 
2455310.665431 -3.307406 
2455312.350073 -3.638117 
2455314.034715 -3.871006 
2455315.719357 -3.939585 
2455317.403999 -3.769103 
2455319.088641 -3.308112 
2455320.773283 -2.559495 
2455322.457925 -1.597528 
2455324.142567 -0.562131 
2455325.827209 0.370079 
2455327.511851 1.029248 
2455329.196493 1.295690 
2455330.881135 1.128333 
2455332.565777 0.568949 
2455334.250419 -0.277940 
2455335.935060 -1.280398 
2455337.619702 -2.315378 
2455339.304344 -3.292426 
2455340.988986 -4.157591 
2455342.673628 -4.879590 
2455344.358270 -5.428281 
2455346.042912 -5.758806 
2455347.727554 -5.811841 
2455349.412196 -5.532434 
2455351.096838 -4.900389 
2455352.781480 -3.958427 
2455354.466122 -2.823530 
2455356.150764 -1.672683 
2455357.835406 -0.704519 
2455359.520048 -0.088752 
2455361.204690 0.078672 
2455362.889332 -0.202026 
2455364.573974 -0.842983 
2455366.258616 -1.704551 
2455367.943258 -2.643928 
2455369.627900 -3.556924 
2455371.312542 -4.396284 
2455372.997184 -5.160216 
2455374.681826 -5.857884 
2455376.366468 -6.469194 
2455378.051110 -6.919439 
2455379.735751 -7.083744 
2455381.420393 -6.823635 
2455383.105035 -6.043775 
2455384.789677 -4.746781 
2455386.474319 -3.062715 
2455388.158961 -1.238104 
2455389.843603 0.415668 
2455391.528245 1.599146 
2455393.212887 2.101248 
2455394.897529 1.849574 
2455396.582171 0.918503 
2455398.266813 -0.505239 
2455399.951455 -2.184284 
2455401.636097 -3.895390 
2455403.320739 -5.474013 
2455405.005381 -6.825801 
2455406.690023 -7.907149 
2455408.374665 -8.690209 
2455410.059307 -9.133585 
2455411.743949 -9.175808 
2455413.428591 -8.756784 
2455415.113233 -7.857860 
2455416.797875 -6.540827 
2455418.482517 -4.964591 
2455420.167159 -3.366690 
2455421.851801 -2.011565 
2455423.536443 -1.122410 
2455425.221084 -0.821721 
2455426.905726 -1.103552 
2455428.590368 -1.848359 
2455430.275010 -2.874202 
2455431.959652 -4.003073 
2455433.644294 -5.114894 
2455435.328936 -6.167076 
2455437.013578 -7.172615 
2455438.698220 -8.148166 
2455440.382862 -9.057530 
2455442.067504 -9.779343 
2455443.752146 -10.118527 
2455445.436788 -9.862804 
2455447.121430 -8.865645 
2455448.806072 -7.123843 
2455450.490714 -4.817249 
2455452.175356 -2.290778 
2455453.859998 0.019998 
2455455.544640 1.697064 
2455457.229282 2.446256 
2455458.913924 2.166488 
2455460.598566 0.960542 
2455462.283208 -0.912340 
2455463.967850 -3.121201 
2455465.652492 -5.352939 
2455467.337134 -7.375774 
2455469.021775 -9.059324 
2455470.706417 -10.353328 
2455472.391059 -11.243926 
2455474.075701 -11.713660 
2455475.760343 -11.726512 
2455477.444985 -11.244946 
2455479.129627 -10.268884 
2455480.814269 -8.874670 
2455482.498911 -7.230785 
2455484.183553 -5.576921 
2455485.868195 -4.169728 
2455487.552837 -3.214436 
2455489.237479 -2.809400 
2455490.922121 -2.926627 
2455492.606763 -3.436842 
2455494.291405 -4.168849 
2455495.976047 -4.977995 
2455497.660689 -5.794197 
2455499.345331 -6.628487 
2455501.029973 -7.535096 
2455502.714615 -8.546142 
2455504.399257 -9.609344 
2455506.083899 -10.559836 
2455507.768541 -11.144282 
2455509.453183 -11.094103 
2455511.137825 -10.223354 
2455512.822467 -8.514578 
2455514.507108 -6.158083 
2455516.191750 -3.526071 
2455517.876392 -1.086738 
2455519.561034 0.714404 
2455521.245676 1.566906 
2455522.930318 1.365293 
2455524.614960 0.216551 
2455526.299602 -1.611916 
2455527.984244 -3.780575 
2455529.668886 -5.968912 
2455531.353528 -7.939320 
2455533.038170 -9.558167 
2455534.722812 -10.777285 
2455536.407454 -11.594356 
2455538.092096 -12.016044 
2455539.776738 -12.042031 
2455541.461380 -11.674628 
2455543.146022 -10.944274 
2455544.830664 -9.932587 
2455546.515306 -8.775744 
2455548.199948 -7.640927 
2455549.884590 -6.682606 
2455551.569232 -5.996701 
2455553.253874 -5.593625 
2455554.938516 -5.404199 
2455556.623158 -5.318264 
2455558.307800 -5.240764 
2455559.992441 -5.141029 
2455561.677083 -5.072347 
2455563.361725 -5.150589 
2455565.046367 -5.498014 
2455566.731009 -6.174141 
2455568.415651 -7.122857 
2455570.100293 -8.160335 
2455571.784935 -9.013286 
2455573.469577 -9.397487 
2455575.154219 -9.110175 
2455576.838861 -8.103429 
2455578.523503 -6.511776 
2455580.208145 -4.623421 
2455581.892787 -2.804609 
2455583.577429 -1.402693 
2455585.262071 -0.659745 
2455586.946713 -0.662943 
2455588.631355 -1.343395 
2455590.315997 -2.517513 
2455592.000639 -3.951505 
2455593.685281 -5.424625 
2455595.369923 -6.771607 
2455597.054565 -7.896100 
2455598.739207 -8.759542 
2455600.423849 -9.358450 
2455602.108491 -9.704456 
2455603.793132 -9.816002 
2455605.477774 -9.721786 
2455607.162416 -9.468454 
2455608.847058 -9.122395 
2455610.531700 -8.758929 
2455612.216342 -8.439825 
2455613.900984 -8.187958 
2455615.585626 -7.971895 
2455617.270268 -7.711003 
2455618.954910 -7.303716 
