# time model 
2453115.032645 1.249697 
2453116.717287 0.786483 
2453118.401929 0.118707 
2453120.086571 -0.826928 
2453121.771213 -2.101720 
2453123.455855 -2.033185 
2453125.140497 0.628383 
2453126.825139 1.448688 
2453128.509781 1.398254 
2453130.194423 1.035620 
2453131.879065 0.471038 
2453133.563707 -0.325726 
2453135.248349 -1.456440 
2453136.932991 -2.548135 
2453138.617632 -0.515624 
2453140.302274 1.232266 
2453141.986916 1.478506 
2453143.671558 1.238942 
2453145.356200 0.769944 
2453147.040842 0.095452 
2453148.725484 -0.860133 
2453150.410126 -2.138815 
2453152.094768 -1.962259 
2453153.779410 0.677789 
2453155.464052 1.454798 
2453157.148694 1.390972 
2453158.833336 1.021829 
2453160.517978 0.451325 
2453162.202620 -0.353627 
2453163.887262 -1.495079 
2453165.571904 -2.551124 
2453167.256546 -0.429646 
2453168.941188 1.252945 
2453170.625830 1.476112 
2453172.310472 1.228003 
2453173.995114 0.753234 
2453175.679756 0.071958 
2453177.364398 -0.893677 
2453179.049040 -2.175229 
2453180.733682 -1.887672 
2453182.418323 0.725093 
2453184.102965 1.460278 
2453185.787607 1.383451 
2453187.472249 1.007873 
2453189.156891 0.431415 
2453190.841533 -0.381825 
2453192.526175 -1.533931 
2453194.210817 -2.550373 
2453195.895459 -0.345449 
2453197.580101 1.272463 
2453199.264743 1.473359 
2453200.949385 1.216880 
2453202.634027 0.736352 
2453204.318669 0.048223 
2453206.003311 -0.927561 
2453207.687953 -2.210855 
2453209.372595 -1.809678 
2453211.057237 0.770352 
2453212.741879 1.465149 
2453214.426521 1.375694 
2453216.111163 0.993751 
2453217.795805 0.411308 
2453219.480447 -0.410323 
2453221.165089 -1.572976 
2453222.849731 -2.545679 
2453224.534373 -0.263179 
2453226.219015 1.290863 
2453227.903656 1.470256 
2453229.588298 1.205576 
2453231.272940 0.719297 
2453232.957582 0.024244 
2453234.642224 -0.961785 
2453236.326866 -2.245576 
2453238.011508 -1.728611 
2453239.696150 0.813619 
2453241.380792 1.469432 
2453243.065434 1.367707 
2453244.750076 0.979465 
2453246.434718 0.391000 
2453248.119360 -0.439126 
2453249.804002 -1.612189 
2453251.488644 -2.536850 
2453253.173286 -0.182955 
2453254.857928 1.308187 
2453256.542570 1.466814 
2453258.227212 1.194093 
2453259.911854 0.702069 
2453261.596496 0.000018 
2453263.281138 -0.996348 
2453264.965780 -2.279267 
2453266.650422 -1.644826 
2453268.335064 0.854952 
2453270.019706 1.473147 
2453271.704348 1.359494 
2453273.388989 0.965014 
2453275.073631 0.370490 
2453276.758273 -0.468236 
2453278.442915 -1.651542 
2453280.127557 -2.523708 
2453281.812199 -0.104876 
2453283.496841 1.324476 
2453285.181483 1.463042 
2453286.866125 1.182432 
2453288.550767 0.684666 
2453290.235409 -0.024459 
2453291.920051 -1.031249 
2453293.604693 -2.311793 
2453295.289335 -1.558692 
2453296.973977 0.894410 
2453298.658619 1.476314 
2453300.343261 1.351059 
2453302.027903 0.950397 
2453303.712545 0.349775 
2453305.397187 -0.497657 
2453307.081829 -1.691004 
2453308.766471 -2.506094 
2453310.451113 -0.029021 
2453312.135755 1.339766 
2453313.820397 1.458948 
2453315.505039 1.170596 
2453317.189680 0.667088 
2453318.874322 -0.049189 
2453320.558964 -1.066486 
2453322.243606 -2.343011 
2453323.928248 -1.470590 
2453325.612890 0.932049 
2453327.297532 1.478950 
2453328.982174 1.342406 
2453330.666816 0.935616 
2453332.351458 0.328852 
2453334.036100 -0.527392 
2453335.720742 -1.730541 
2453337.405384 -2.483870 
2453339.090026 0.044552 
2453340.774668 1.354096 
2453342.459310 1.454540 
2453344.143952 1.158584 
2453345.828594 0.649332 
2453347.513236 -0.074176 
2453349.197878 -1.102056 
2453350.882520 -2.372766 
2453352.567162 -1.380903 
2453354.251804 0.967929 
2453355.936446 1.481074 
2453357.621088 1.333538 
2453359.305730 0.920670 
2453360.990372 0.307721 
2453362.675013 -0.557445 
2453364.359655 -1.770116 
2453366.044297 -2.456923 
2453367.728939 0.115802 
2453369.413581 1.367500 
2453371.098223 1.449827 
2453372.782865 1.146399 
2453374.467507 0.631397 
2453376.152149 -0.099424 
2453377.836791 -1.137956 
2453379.521433 -2.400897 
2453381.206075 -1.290014 
2453382.890717 1.002108 
2453384.575359 1.482700 
2453386.260001 1.324460 
2453387.944643 0.905558 
2453389.629285 0.286378 
2453391.313927 -0.587818 
2453392.998569 -1.809686 
2453394.683211 -2.425169 
2453396.367853 0.184701 
2453398.052495 1.380012 
2453399.737137 1.444816 
2453401.421779 1.134041 
2453403.106421 0.613282 
2453404.791063 -0.124935 
2453406.475704 -1.174180 
2453408.160346 -2.427232 
2453409.844988 -1.198299 
2453411.529630 1.034642 
2453413.214272 1.483846 
2453414.898914 1.315174 
2453416.583556 0.890268 
2453418.268198 0.264820 
2453419.952840 -0.618514 
2453421.637482 -1.849205 
2453423.322124 -2.388559 
2453425.006766 0.251239 
2453426.691408 1.391666 
2453428.376050 1.439515 
2453430.060692 1.121513 
2453431.745334 0.594986 
2453433.429976 -0.150713 
2453435.114618 -1.210725 
2453436.799260 -2.451589 
2453438.483902 -1.106121 
2453440.168544 1.065588 
2453441.853186 1.484527 
2453443.537828 1.305684 
2453445.222470 0.874824 
2453446.907112 0.243046 
2453448.591754 -0.649536 
2453450.276396 -1.888622 
2453451.961037 -2.347077 
2453453.645679 0.315415 
2453455.330321 1.402492 
