# time model 
2453115.032645 0.641489 
2453116.717287 1.056440 
2453118.401929 1.349511 
2453120.086571 1.537595 
2453121.771213 1.632640 
2453123.455855 1.641150 
2453125.140497 1.564340 
2453126.825139 1.398234 
2453128.509781 1.133619 
2453130.194423 0.756299 
2453131.879065 0.249159 
2453133.563707 -0.399793 
2453135.248349 -1.173774 
2453136.932991 -1.975492 
2453138.617632 -2.571286 
2453140.302274 -2.670645 
2453141.986916 -2.208741 
2453143.671558 -1.430194 
2453145.356200 -0.616789 
2453147.040842 0.086239 
2453148.725484 0.641489 
2453150.410126 1.056440 
2453152.094768 1.349511 
2453153.779410 1.537595 
2453155.464052 1.632640 
2453157.148694 1.641150 
2453158.833336 1.564340 
2453160.517978 1.398234 
2453162.202620 1.133619 
2453163.887262 0.756299 
2453165.571904 0.249159 
2453167.256546 -0.399793 
2453168.941188 -1.173774 
2453170.625830 -1.975492 
2453172.310472 -2.571286 
2453173.995114 -2.670645 
2453175.679756 -2.208741 
2453177.364398 -1.430194 
2453179.049040 -0.616789 
2453180.733682 0.086239 
2453182.418323 0.641489 
2453184.102965 1.056440 
2453185.787607 1.349511 
2453187.472249 1.537595 
2453189.156891 1.632640 
2453190.841533 1.641150 
2453192.526175 1.564340 
2453194.210817 1.398234 
2453195.895459 1.133619 
2453197.580101 0.756299 
2453199.264743 0.249159 
2453200.949385 -0.399793 
2453202.634027 -1.173774 
2453204.318669 -1.975492 
2453206.003311 -2.571286 
2453207.687953 -2.670645 
2453209.372595 -2.208741 
2453211.057237 -1.430194 
2453212.741879 -0.616789 
2453214.426521 0.086239 
2453216.111163 0.641489 
2453217.795805 1.056440 
2453219.480447 1.349511 
2453221.165089 1.537595 
2453222.849731 1.632640 
2453224.534373 1.641150 
2453226.219015 1.564340 
2453227.903656 1.398234 
2453229.588298 1.133619 
2453231.272940 0.756299 
2453232.957582 0.249159 
2453234.642224 -0.399793 
2453236.326866 -1.173774 
2453238.011508 -1.975492 
2453239.696150 -2.571286 
2453241.380792 -2.670645 
2453243.065434 -2.208741 
2453244.750076 -1.430194 
2453246.434718 -0.616789 
2453248.119360 0.086239 
2453249.804002 0.641489 
2453251.488644 1.056440 
2453253.173286 1.349511 
2453254.857928 1.537595 
2453256.542570 1.632640 
2453258.227212 1.641150 
2453259.911854 1.564340 
2453261.596496 1.398234 
2453263.281138 1.133619 
2453264.965780 0.756299 
2453266.650422 0.249159 
2453268.335064 -0.399793 
2453270.019706 -1.173774 
2453271.704348 -1.975492 
2453273.388989 -2.571286 
2453275.073631 -2.670645 
2453276.758273 -2.208741 
2453278.442915 -1.430194 
2453280.127557 -0.616789 
2453281.812199 0.086239 
2453283.496841 0.641489 
2453285.181483 1.056440 
2453286.866125 1.349511 
2453288.550767 1.537595 
2453290.235409 1.632640 
2453291.920051 1.641150 
