# time model 
2453115.032645 1.880126 
2453116.717287 1.788909 
2453118.401929 1.376460 
2453120.086571 0.627592 
2453121.771213 -0.374694 
2453123.455855 -0.174228 
2453125.140497 2.123532 
2453126.825139 2.849280 
2453128.509781 2.536274 
2453130.194423 1.759652 
2453131.879065 0.644501 
2453133.563707 -0.823225 
2453135.248349 -2.655396 
2453136.932991 -4.263721 
2453138.617632 -3.108359 
2453140.302274 -1.466025 
2453141.986916 -0.719031 
2453143.671558 -0.203315 
2453145.356200 0.097998 
2453147.040842 0.089429 
2453148.725484 -0.299553 
2453150.410126 -0.978275 
2453152.094768 -0.408469 
2453153.779410 2.147226 
2453155.464052 3.090825 
2453157.148694 3.035861 
2453158.833336 2.552745 
2453160.517978 1.772919 
2453162.202620 0.682727 
2453163.887262 -0.758446 
2453165.571904 -2.035841 
2453167.256546 -0.860166 
2453168.941188 0.053736 
2453170.625830 -0.488217 
2453172.310472 -1.356364 
2453173.995114 -1.973705 
2453175.679756 -2.229510 
2453177.364398 -2.402471 
2453179.049040 -2.678027 
2453180.733682 -1.611476 
2453182.418323 1.299734 
2453184.102965 2.521069 
2453185.787607 2.736012 
2453187.472249 2.510886 
2453189.156891 1.986491 
2453190.841533 1.162580 
2453192.526175 0.016505 
2453194.210817 -0.880698 
2453195.895459 0.749067 
2453197.580101 2.005495 
2453199.264743 1.733596 
2453200.949385 0.802979 
2453202.634027 -0.494843 
2453204.318669 -2.020418 
2453206.003311 -3.574988 
2453207.687953 -4.757461 
2453209.372595 -3.843492 
2453211.057237 -0.725140 
2453212.741879 0.853608 
2453214.426521 1.464273 
2453216.111163 1.599498 
2453217.795805 1.389281 
2453219.480447 0.843042 
2453221.165089 -0.043273 
2453222.849731 -0.637272 
2453224.534373 1.331386 
2453226.219015 2.834055 
2453227.903656 2.879441 
2453229.588298 2.324049 
2453231.272940 1.417056 
2453232.957582 0.179875 
2453234.642224 -1.435105 
2453236.326866 -3.285136 
2453238.011508 -3.544734 
2453239.696150 -1.821208 
2453241.380792 -1.195132 
2453243.065434 -0.839430 
2453244.750076 -0.487631 
2453246.434718 -0.305137 
2453248.119360 -0.448347 
2453249.804002 -0.972323 
2453251.488644 -1.201395 
2453253.173286 1.113363 
2453254.857928 2.826699 
2453256.542570 3.110236 
2453258.227212 2.819048 
2453259.911854 2.206759 
2453261.596496 1.304389 
2453263.281138 0.066519 
2453264.965780 -1.378486 
2453266.650422 -1.252280 
2453268.335064 0.393554 
2453270.019706 0.306223 
2453271.704348 -0.615151 
2453273.388989 -1.644336 
2453275.073631 -2.380362 
2453276.758273 -2.771665 
2453278.442915 -3.076832 
2453280.127557 -2.859395 
2453281.812199 -0.077587 
2453283.496841 1.948888 
2453285.181483 2.530054 
2453286.866125 2.514689 
2453288.550767 2.161510 
2453290.235409 1.514030 
2453291.920051 0.542090 
2453293.604693 -0.592646 
2453295.289335 -0.033292 
2453296.973977 1.968511 
2453298.658619 2.240170 
2453300.343261 1.600285 
2453302.027903 0.511380 
2453303.712545 -0.905040 
2453305.397187 -2.566974 
2453307.081829 -4.250599 
2453308.766471 -4.894782 
2453310.451113 -2.301653 
2453312.135755 -0.105558 
2453313.820397 0.852481 
2453315.505039 1.238514 
2453317.189680 1.246735 
2453318.874322 0.912860 
2453320.558964 0.218327 
2453322.243606 -0.640270 
2453323.928248 0.272915 
2453325.612890 2.515892 
2453327.297532 3.051491 
2453328.982174 2.739907 
2453330.666816 2.028852 
2453332.351458 1.003302 
2453334.036100 -0.371100 
2453335.720742 -2.111592 
2453337.405384 -3.376128 
2453339.090026 -1.998990 
2453340.774668 -1.230439 
2453342.459310 -1.206070 
2453344.143952 -1.069554 
2453345.828594 -0.843782 
2453347.513236 -0.785547 
2453349.197878 -1.077223 
2453350.882520 -1.555827 
2453352.567162 -0.229828 
2453354.251804 2.262445 
2453355.936446 3.027452 
2453357.621088 2.964626 
2453359.305730 2.520278 
2453360.990372 1.789429 
2453362.675013 0.748978 
2453364.359655 -0.610440 
2453366.044297 -1.420897 
2453367.728939 0.293489 
2453369.413581 0.956273 
2453371.098223 0.285765 
2453372.782865 -0.849574 
2453374.467507 -2.003876 
2453376.152149 -2.864788 
2453377.836791 -3.404629 
2453379.521433 -3.645421 
2453381.206075 -1.828181 
2453382.890717 1.035744 
2453384.575359 2.133497 
2453386.260001 2.378508 
2453387.944643 2.212370 
2453389.629285 1.740584 
2453391.313927 0.954169 
2453392.998569 -0.134899 
2453394.683211 -0.584277 
2453396.367853 1.508736 
2453398.052495 2.503945 
2453399.737137 2.210468 
2453401.421779 1.361629 
2453403.106421 0.148447 
2453404.791063 -1.393511 
2453406.475704 -3.203941 
2453408.160346 -4.802773 
2453409.844988 -3.805982 
2453411.529630 -1.224251 
2453413.214272 0.063427 
2453414.898914 0.695135 
2453416.583556 0.932668 
2453418.268198 0.822193 
2453419.952840 0.348536 
2453421.637482 -0.458215 
2453423.322124 -0.578995 
2453425.006766 1.807601 
2453426.691408 3.024807 
2453428.376050 3.012814 
2453430.060692 2.497078 
2453431.745334 1.662522 
2453433.429976 0.510757 
2453435.114618 -1.011975 
2453436.799260 -2.645770 
2453438.483902 -2.232117 
2453440.168544 -0.957561 
2453441.853186 -1.076576 
2453443.537828 -1.369086 
2453445.222470 -1.378907 
2453446.907112 -1.271962 
2453448.591754 -1.354343 
2453450.276396 -1.752801 
2453451.961037 -1.439612 
2453453.645679 1.294099 
2453455.330321 2.745601 
2453457.014963 2.980056 
2453458.699605 2.717681 
2453460.384247 2.150547 
2453462.068889 1.292781 
2453463.753531 0.104302 
2453465.438173 -1.124957 
2453467.122815 -0.224350 
2453468.807457 1.299023 
2453470.492099 1.095500 
