# time model 
2453115.032645 2.011866 
2453116.717287 1.847875 
2453118.401929 1.431816 
2453120.086571 0.758869 
2453121.771213 -0.173055 
2453123.455855 -0.627119 
2453125.140497 1.867378 
2453126.825139 2.913897 
2453128.509781 2.508917 
2453130.194423 1.653642 
2453131.879065 0.530328 
2453133.563707 -0.860478 
2453135.248349 -2.538079 
2453136.932991 -4.252427 
2453138.617632 -3.690460 
2453140.302274 -1.300254 
2453141.986916 -0.481572 
2453143.671558 -0.028884 
2453145.356200 0.232330 
2453147.040842 0.235255 
2453148.725484 -0.073381 
2453150.410126 -0.691099 
2453152.094768 -0.806126 
2453153.779410 1.993839 
2453155.464052 3.221071 
2453157.148694 3.059787 
2453158.833336 2.485422 
2453160.517978 1.681527 
2453162.202620 0.647228 
2453163.887262 -0.669093 
2453165.571904 -2.112217 
2453167.256546 -1.530550 
2453168.941188 0.083935 
2453170.625830 -0.413390 
2453172.310472 -1.321175 
2453173.995114 -1.918597 
2453175.679756 -2.091622 
2453177.364398 -2.128184 
2453179.049040 -2.318692 
2453180.733682 -1.945986 
2453182.418323 1.264741 
2453184.102965 2.739685 
2453185.787607 2.839538 
2453187.472249 2.516686 
2453189.156891 1.960729 
2453190.841533 1.183586 
2453192.526175 0.148380 
2453194.210817 -0.956447 
2453195.895459 0.099846 
2453197.580101 2.013289 
2453199.264743 1.738552 
2453200.949385 0.728140 
2453202.634027 -0.584593 
2453204.318669 -2.040453 
2453206.003311 -3.433800 
2453207.687953 -4.480828 
2453209.372595 -4.211364 
2453211.057237 -0.689746 
2453212.741879 1.147464 
2453214.426521 1.653712 
2453216.111163 1.695172 
2453217.795805 1.452257 
2453219.480447 0.948920 
2453221.165089 0.165377 
2453222.849731 -0.670675 
2453224.534373 0.760201 
2453226.219015 2.889245 
2453227.903656 2.903805 
2453229.588298 2.245913 
2453231.272940 1.295911 
2453232.957582 0.094078 
2453234.642224 -1.398209 
2453236.326866 -3.157334 
2453238.011508 -4.093227 
2453239.696150 -1.897142 
2453241.380792 -0.980070 
2453243.065434 -0.662258 
2453244.750076 -0.348884 
2453246.434718 -0.166261 
2453248.119360 -0.251304 
2453249.804002 -0.670421 
2453251.488644 -1.170480 
2453253.173286 0.650370 
2453254.857928 2.962917 
2453256.542570 3.196824 
2453258.227212 2.792450 
2453259.911854 2.124941 
2453261.596496 1.242135 
2453263.281138 0.105466 
2453264.965780 -1.287503 
2453266.650422 -1.887663 
2453268.335064 0.233444 
2453270.019706 0.377060 
2453271.704348 -0.598827 
2453273.388989 -1.642209 
2453275.073631 -2.318836 
2453276.758273 -2.581463 
2453278.442915 -2.728749 
2453280.127557 -2.778124 
2453281.812199 -0.424668 
2453283.496841 2.181991 
2453285.181483 2.701832 
2453286.866125 2.567987 
2453288.550767 2.153535 
2453290.235409 1.518296 
2453291.920051 0.637929 
2453293.604693 -0.468581 
2453295.289335 -0.663848 
2453296.973977 1.828930 
2453298.658619 2.278639 
2453300.343261 1.546413 
2453302.027903 0.404969 
2453303.712545 -0.985721 
2453305.397187 -2.531434 
2453307.081829 -4.035554 
2453308.766471 -4.916932 
2453310.451113 -2.629492 
2453312.135755 0.176818 
2453313.820397 1.096371 
2453315.505039 1.377862 
2453317.189680 1.329232 
2453318.874322 1.006702 
2453320.558964 0.399372 
2453322.243606 -0.449460 
2453323.928248 -0.307076 
2453325.612890 2.450445 
2453327.297532 3.128077 
2453328.982174 2.704903 
2453330.666816 1.919586 
2453332.351458 0.891914 
2453334.036100 -0.400277 
2453335.720742 -2.002176 
2453337.405384 -3.567169 
2453339.090026 -2.453783 
2453340.774668 -1.077721 
2453342.459310 -1.042521 
2453344.143952 -0.941896 
2453345.828594 -0.717697 
2453347.513236 -0.615172 
2453349.197878 -0.804937 
2453350.882520 -1.282606 
2453352.567162 -0.733322 
2453354.251804 2.298177 
