# time model 
2453115.032645 1.159725 
2453116.717127 0.697594 
2453118.401609 0.043853 
2453120.086091 -0.852277 
2453121.770573 -1.963598 
2453123.455055 -1.738296 
2453125.139537 0.602893 
2453126.824019 1.369507 
2453128.508501 1.310475 
2453130.192983 0.945749 
2453131.877465 0.387745 
2453133.561947 -0.381260 
2453135.246429 -1.419410 
2453136.930911 -2.263092 
2453138.615393 -0.423165 
2453140.299875 1.164509 
2453141.984357 1.393843 
2453143.668839 1.149801 
2453145.353321 0.682589 
2453147.037803 0.023231 
2453148.722285 -0.880387 
2453150.406767 -1.990409 
2453152.091249 -1.680735 
2453153.775731 0.644597 
2453155.460213 1.374731 
2453157.144695 1.303676 
2453158.829177 0.933141 
2453160.513659 0.370049 
2453162.198141 -0.405531 
2453163.882623 -1.450480 
2453165.567105 -2.259750 
2453167.251587 -0.354033 
2453168.936069 1.182503 
2453170.620551 1.391467 
2453172.305033 1.139726 
2453173.989515 0.667449 
2453175.673996 0.002431 
2453177.358478 -0.908706 
2453179.042960 -2.016508 
2453180.727442 -1.620729 
2453182.411924 0.684764 
2453184.096406 1.379442 
2453185.780888 1.296679 
2453187.465370 0.920399 
2453189.149852 0.352204 
2453190.834334 -0.430009 
2453192.518816 -1.481592 
2453194.203298 -2.253717 
2453195.887780 -0.286023 
2453197.572262 1.199578 
2453199.256744 1.388794 
2453200.941226 1.129500 
2453202.625708 0.652174 
2453204.310190 -0.018546 
2453205.994672 -0.937229 
2453207.679154 -2.041819 
2453209.363636 -1.558526 
2453211.048118 0.723421 
2453212.732600 1.383653 
2453214.417082 1.289488 
2453216.101564 0.907525 
2453217.786046 0.334206 
2453219.470528 -0.454695 
2453221.155010 -1.512724 
2453222.839492 -2.244889 
2453224.523974 -0.219236 
2453226.208456 1.215766 
2453227.892938 1.385830 
2453229.577420 1.119126 
2453231.261902 0.636764 
2453232.946384 -0.039703 
2453234.630866 -0.965956 
2453236.315348 -2.066263 
2453237.999830 -1.494282 
2453239.684312 0.760598 
2453241.368794 1.387381 
2453243.053276 1.282105 
2453244.737758 0.894518 
2453246.422240 0.316055 
2453248.106722 -0.479591 
2453249.791204 -1.543855 
2453251.475686 -2.233172 
2453253.160168 -0.153759 
2453254.844650 1.231093 
2453256.529132 1.382584 
2453258.213614 1.108606 
2453259.898096 0.621217 
2453261.582578 -0.061042 
2453263.267060 -0.994882 
2453264.951542 -2.089759 
2453266.636024 -1.428195 
2453268.320506 0.796327 
2453270.004988 1.390639 
2453271.689470 1.274535 
2453273.373952 0.881378 
2453275.058434 0.297750 
2453276.742916 -0.504698 
2453278.427398 -1.574962 
2453280.111880 -2.218479 
2453281.796362 -0.089670 
2453283.480844 1.245587 
2453285.165326 1.379061 
2453286.849808 1.097940 
2453288.534290 0.605533 
2453290.218772 -0.082563 
2453291.903254 -1.024004 
2453293.587736 -2.112218 
2453295.272217 -1.360475 
2453296.956699 0.830639 
2453298.641181 1.393443 
2453300.325663 1.266780 
2453302.010145 0.868107 
2453303.694627 0.279290 
2453305.379109 -0.530016 
2453307.063591 -1.606018 
2453308.748073 -2.200733 
2453310.432555 -0.027034 
2453312.117037 1.259274 
2453313.801519 1.375270 
2453315.486001 1.087129 
2453317.170483 0.589712 
2453318.854965 -0.104269 
2453320.539447 -1.053317 
2453322.223929 -2.133550 
2453323.908411 -1.291334 
2453325.592893 0.863569 
2453327.277375 1.395805 
2453328.961857 1.258843 
2453330.646339 0.854703 
2453332.330821 0.260673 
2453334.015303 -0.555547 
2453335.699785 -1.636995 
2453337.384267 -2.179871 
2453339.068749 0.034096 
2453340.753231 1.272180 
2453342.437713 1.371215 
2453344.122195 1.076176 
2453345.806677 0.573752 
2453347.491159 -0.126162 
2453349.175641 -1.082818 
2453350.860123 -2.153658 
2453352.544605 -1.220991 
2453354.229087 0.895151 
2453355.913569 1.397738 
2453357.598051 1.250729 
2453359.282533 0.841167 
2453360.967015 0.241897 
2453362.651497 -0.581291 
2453364.335979 -1.667862 
2453366.020461 -2.155839 
2453367.704943 0.093674 
2453369.389425 1.284330 
2453371.073907 1.366905 
2453372.758389 1.065080 
2453374.442871 0.557653 
2453376.127353 -0.148243 
2453377.811835 -1.112499 
2453379.496317 -2.172442 
2453381.180799 -1.149665 
2453382.865281 0.925418 
2453384.549763 1.399255 
2453386.234245 1.242438 
2453387.918727 0.827499 
2453389.603209 0.222962 
2453391.287691 -0.607250 
2453392.972173 -1.698588 
2453394.656655 -2.128603 
2453396.341137 0.151666 
2453398.025619 1.295748 
2453399.710101 1.362343 
2453401.394583 1.053844 
2453403.079065 0.541415 
2453404.763547 -0.170514 
2453406.448029 -1.142355 
2453408.132511 -2.189798 
2453409.816993 -1.077574 
2453411.501475 0.954405 
2453413.185956 1.400369 
2453414.870438 1.233975 
2453416.554920 0.813699 
2453418.239402 0.203866 
2453419.923884 -0.633423 
2453421.608366 -1.729137 
2453423.292848 -2.098140 
2453424.977330 0.208047 
2453426.661812 1.306457 
2453428.346294 1.357537 
2453430.030776 1.042469 
2453431.715258 0.525036 
2453433.399740 -0.192976 
2453435.084222 -1.172379 
2453436.768704 -2.205620 
2453438.453186 -1.004933 
2453440.137668 0.982148 
2453441.822150 1.401089 
2453443.506632 1.225342 
2453445.191114 0.799758 
2453446.875596 0.184608 
2453448.560078 -0.659811 
2453450.244560 -1.759470 
2453451.929042 -2.064448 
2453453.613524 0.262796 
2453455.298006 1.316480 
2453456.982488 1.352491 
2453458.666970 1.030954 
2453460.351452 0.508516 
2453462.035934 -0.215631 
2453463.720416 -1.202563 
2453465.404898 -2.219796 
2453467.089380 -0.931952 
2453468.773862 1.008681 
2453470.458344 1.401429 
2453472.142826 1.216540 
2453473.827308 0.785694 
2453475.511790 0.165185 
2453477.196272 -0.686415 
2453478.880754 -1.789547 
2453480.565236 -2.027540 
2453482.249718 0.315905 
2453483.934200 1.325839 
2453485.618682 1.347211 
2453487.303164 1.019301 
2453488.987646 0.491853 
2453490.672128 -0.238481 
2453492.356610 -1.232899 
2453494.041092 -2.232214 
2453495.725574 -0.858834 
2453497.410056 1.034038 
2453499.094538 1.401398 
2453500.779020 1.207574 
2453502.463502 0.771497 
2453504.147984 0.145598 
2453505.832466 -0.713234 
2453507.516948 -1.819323 
2453509.201430 -1.987450 
2453510.885912 0.367369 
2453512.570394 1.334554 
2453514.254876 1.341703 
2453515.939358 1.007511 
2453517.623840 0.475048 
2453519.308322 -0.261527 
2453520.992804 -1.263376 
2453522.677286 -2.242756 
2453524.361768 -0.785776 
2453526.046250 1.058253 
2453527.730732 1.401006 
2453529.415214 1.198444 
2453531.099696 0.757168 
2453532.784177 0.125843 
2453534.468659 -0.740268 
2453536.153141 -1.848751 
2453537.837623 -1.944230 
2453539.522105 0.417190 
2453541.206587 1.342646 
2453542.891069 1.335970 
2453544.575551 0.995584 
2453546.260033 0.458098 
2453547.944515 -0.284772 
2453549.628997 -1.293985 
2453551.313479 -2.251306 
2453552.997961 -0.712962 
2453554.682443 1.081361 
2453556.366925 1.400265 
2453558.051407 1.189153 
2453559.735889 0.742706 
2453561.420371 0.105921 
2453563.104853 -0.767516 
2453564.789335 -1.877780 
2453566.473817 -1.897952 
2453568.158299 0.465375 
2453569.842781 1.350135 
2453571.527263 1.330018 
2453573.211745 0.983522 
2453574.896227 0.441003 
2453576.580709 -0.308216 
2453578.265191 -1.324714 
2453579.949673 -2.257745 
2453581.634155 -0.640568 
2453583.318637 1.103393 
2453585.003119 1.399182 
2453586.687601 1.179704 
2453588.372083 0.728111 
2453590.056565 0.085828 
2453591.741047 -0.794979 
2453593.425529 -1.906356 
2453595.110011 -1.848708 
2453596.794493 0.511936 
2453598.478975 1.357039 
2453600.163457 1.323851 
2453601.847939 0.971325 
2453603.532421 0.423762 
2453605.216903 -0.331862 
2453606.901385 -1.355550 
2453608.585867 -2.261954 
2453610.270349 -0.568759 
2453611.954831 1.124383 
2453613.639313 1.397768 
2453615.323795 1.170097 
2453617.008277 0.713382 
2453618.692759 0.065564 
2453620.377241 -0.822654 
2453622.061723 -1.934421 
2453623.746205 -1.796608 
2453625.430687 0.556890 
2453627.115169 1.363376 
2453628.799651 1.317474 
2453630.484133 0.958992 
2453632.168615 0.406373 
2453633.853097 -0.355710 
2453635.537579 -1.386479 
2453637.222061 -2.263815 
2453638.906543 -0.497685 
2453640.591025 1.144363 
2453642.275507 1.396031 
2453643.959989 1.160336 
2453645.644471 0.698520 
2453647.328953 0.045126 
2453649.013435 -0.850541 
2453650.697917 -1.961914 
2453652.382398 -1.741782 
2453654.066880 0.600255 
2453655.751362 1.369165 
2453657.435844 1.310890 
2453659.120326 0.946526 
2453660.804808 0.388837 
2453662.489290 -0.379762 
2453664.173772 -1.417485 
2453665.858254 -2.263213 
2453667.542736 -0.427485 
2453669.227218 1.163363 
2453670.911700 1.393980 
2453672.596182 1.150421 
2453674.280664 0.683523 
2453675.965146 0.024514 
2453677.649628 -0.878638 
2453679.334110 -1.988767 
2453681.018592 -1.684376 
2453682.703074 0.642056 
2453684.387556 1.374423 
2453686.072038 1.304104 
2453687.756520 0.933926 
2453689.441002 0.371151 
2453691.125484 -0.404020 
2453692.809966 -1.448553 
2453694.494448 -2.260035 
2453696.178930 -0.358288 
2453697.863412 1.181414 
2453699.547894 1.391623 
2453701.232376 1.140355 
2453702.916858 0.668392 
2453704.601340 0.003726 
2453706.285822 -0.906944 
2453707.970304 -2.014912 
2453709.654786 -1.624514 
2453711.339268 0.682317 
2453713.023750 1.379164 
2453714.708232 1.297119 
2453716.392714 0.921193 
2453718.077196 0.353314 
2453719.761678 -0.428485 
2453721.446160 -1.479662 
2453723.130642 -2.254171 
2453724.815124 -0.290205 
2453726.499606 1.198546 
2453728.184088 1.388968 
2453729.868570 1.130139 
2453731.553052 0.653125 
2453733.237534 -0.017240 
2453734.922016 -0.935455 
2453736.606498 -2.040274 
2453738.290980 -1.562444 
2453739.975462 0.721067 
2453741.659944 1.383406 
2453743.344426 1.289939 
2453745.028908 0.908327 
2453746.713390 0.335326 
2453748.397872 -0.453159 
2453750.082354 -1.510794 
2453751.766836 -2.245519 
2453753.451318 -0.223340 
2453755.135800 1.214787 
2453756.820282 1.386022 
2453758.504764 1.119774 
2453760.189246 0.637723 
2453761.873728 -0.038386 
2453763.558210 -0.964169 
2453765.242692 -2.064774 
2453766.927174 -1.498321 
2453768.611656 0.758335 
2453770.296138 1.387163 
2453771.980619 1.282568 
2453773.665101 0.895328 
2453775.349583 0.317185 
2453777.034065 -0.478041 
2453778.718547 -1.541926 
2453780.403029 -2.233984 
2453782.087511 -0.157780 
2453783.771993 1.230167 
2453785.456475 1.382793 
2453787.140957 1.109262 
2453788.825439 0.622185 
2453790.509921 -0.059713 
2453792.194403 -0.993083 
2453793.878885 -2.088331 
2453795.563367 -1.432342 
2453797.247849 0.794153 
2453798.932331 1.390451 
2453800.616813 1.275009 
2453802.301295 0.882197 
2453803.985777 0.298890 
2453805.670259 -0.503135 
2453807.354741 -1.573034 
2453809.039223 -2.219478 
2453810.723705 -0.093603 
2453812.408187 1.244712 
2453814.092669 1.379288 
2453815.777151 1.098605 
2453817.461633 0.606509 
2453819.146115 -0.081223 
2453820.830597 -1.022193 
2453822.515079 -2.110858 
2453824.199561 -1.364717 
2453825.884043 0.828552 
2453827.568525 1.393282 
2453829.253007 1.267266 
2453830.937489 0.868933 
2453832.621971 0.280439 
2453834.306453 -0.528440 
2453835.990935 -1.604094 
2453837.675417 -2.201924 
2453839.359899 -0.030874 
2453841.044381 1.258448 
2453842.728863 1.375513 
2453844.413345 1.087804 
2453846.097827 0.590697 
2453847.782309 -0.102918 
2453849.466791 -1.051494 
2453851.151273 -2.132262 
2453852.835755 -1.295658 
2453854.520237 0.861567 
2453856.204719 1.395671 
2453857.889201 1.259341 
2453859.573683 0.855538 
2453861.258165 0.261832 
2453862.942647 -0.553958 
2453864.627129 -1.635077 
2453866.311611 -2.181256 
2453867.996093 0.030350 
2453869.680575 1.271402 
2453871.365057 1.371474 
2453873.049539 1.076859 
2453874.734021 0.574746 
2453876.418503 -0.124799 
2453878.102985 -1.080983 
2453879.787467 -2.152448 
2453881.471949 -1.225384 
2453883.156431 0.893231 
2453884.840913 1.397630 
2453886.525395 1.251237 
2453888.209877 0.842010 
2453889.894358 0.243066 
2453891.578840 -0.579689 
2453893.263322 -1.665952 
2453894.947804 -2.157422 
2453896.632286 0.090026 
2453898.316768 1.283598 
2453900.001250 1.367179 
2453901.685732 1.065773 
2453903.370214 0.558656 
2453905.054696 -0.146868 
2453906.739178 -1.110653 
2453908.423660 -2.171317 
2453910.108142 -1.154112 
2453911.792624 0.923579 
2453913.477106 1.399173 
2453915.161588 1.242957 
2453916.846070 0.828350 
2453918.530552 0.224141 
2453920.215034 -0.605634 
2453921.899516 -1.696688 
2453923.583998 -2.130386 
2453925.268480 0.148117 
2453926.952962 1.295061 
2453928.637444 1.362633 
2453930.321926 1.054545 
2453932.006408 0.542426 
2453933.690890 -0.169127 
2453935.375372 -1.140499 
2453937.059854 -2.188766 
2453938.744336 -1.082062 
2453940.428818 0.952645 
2453942.113300 1.400311 
2453943.797782 1.234505 
2453945.482264 0.814559 
2453947.166746 0.205055 
2453948.851228 -0.631794 
2453950.535710 -1.727249 
2453952.220192 -2.100123 
2453953.904674 0.204598 
2453955.589156 1.305813 
2453957.273638 1.357842 
2453958.958120 1.043178 
2453960.642602 0.526056 
2453962.327084 -0.191577 
2453964.011566 -1.170512 
2453965.696048 -2.204686 
2453967.380530 -1.009449 
2453969.065012 0.980464 
2453970.749494 1.401056 
2453972.433976 1.225882 
2453974.118458 0.800626 
2453975.802940 0.185807 
2453977.487422 -0.658169 
2453979.171904 -1.757597 
2453980.856386 -2.066631 
2453982.540868 0.259449 
2453984.225350 1.315878 
2453985.909832 1.352811 
2453987.594314 1.031672 
2453989.278796 0.509544 
2453990.963278 -0.214221 
2453992.647760 -1.200687 
2453994.332242 -2.218967 
2453996.016724 -0.936483 
2453997.701206 1.007070 
2453999.385688 1.401419 
2454001.070170 1.217091 
2454002.754652 0.786570 
2454004.439134 0.166395 
2454006.123616 -0.684759 
2454007.808098 -1.787690 
2454009.492579 -2.029922 
2454011.177061 0.312660 
2454012.861543 1.325277 
2454014.546025 1.347545 
2454016.230507 1.020027 
2454017.914989 0.492891 
2454019.599471 -0.237058 
2454021.283953 -1.231013 
2454022.968435 -2.231497 
2454024.652917 -0.863368 
2454026.337399 1.032499 
2454028.021881 1.401410 
2454029.706363 1.208135 
2454031.390845 0.772381 
2454033.075327 0.146817 
2454034.759809 -0.711565 
2454036.444291 -1.817486 
2454038.128773 -1.990027 
2454039.813255 0.364226 
2454041.497737 1.334032 
2454043.182219 1.342051 
2454044.866701 1.008246 
2454046.551183 0.476094 
2454048.235665 -0.260093 
2454049.920147 -1.261482 
2454051.604629 -2.242159 
2454053.289111 -0.790300 
2454054.973593 1.056784 
2454056.658075 1.401041 
2454058.342557 1.199015 
2454060.027039 0.758060 
2454061.711521 0.127073 
2454063.396003 -0.738585 
2454065.080485 -1.846937 
2454066.764967 -1.946999 
2454068.449449 0.414149 
2454070.133931 1.342162 
2454071.818413 1.336332 
2454073.502895 0.996328 
2454075.187377 0.459153 
2454076.871859 -0.283325 
2454078.556341 -1.292084 
