# time model 
2453115.032645 1.100216 
2453116.717127 0.663106 
2453118.401609 0.040521 
2453120.086091 -0.852544 
2453121.770573 -2.074019 
2453123.455055 -1.657166 
2453125.139537 0.779522 
2453126.824019 1.352626 
2453128.508501 1.248625 
2453130.192983 0.896988 
2453131.877465 0.370123 
2453133.561947 -0.375599 
2453135.246429 -1.455453 
2453136.930911 -2.413289 
2453138.615393 -0.152508 
2453140.299875 1.217288 
2453141.984357 1.342394 
2453143.668839 1.090818 
2453145.353321 0.649166 
2453147.037803 0.020863 
2453148.722285 -0.881203 
2453150.406767 -2.105139 
2453152.091249 -1.582846 
2453153.775731 0.813380 
2453155.460213 1.355164 
2453157.144695 1.241785 
2453158.829177 0.885265 
2453160.513659 0.353536 
2453162.198141 -0.399383 
2453163.882623 -1.489127 
2453165.567105 -2.405691 
2453167.251587 -0.085024 
2453168.936069 1.230028 
2453170.620551 1.339034 
2453172.305033 1.081295 
2453173.989515 0.635099 
2453175.673996 0.001017 
2453177.358478 -0.910147 
2453179.042960 -2.135523 
2453180.727442 -1.506509 
2453182.411924 0.845764 
2453184.096406 1.357307 
2453185.780888 1.234790 
2453187.465370 0.873424 
2453189.149852 0.336799 
2453190.834334 -0.423409 
2453192.518816 -1.522971 
2453194.203298 -2.394454 
2453195.887780 -0.019466 
2453197.572262 1.242026 
2453199.256744 1.335445 
2453200.941226 1.071648 
2453202.625708 0.620904 
2453204.310190 -0.019020 
2453205.994672 -0.939376 
2453207.679154 -2.165071 
2453209.363636 -1.428463 
2453211.048118 0.876720 
2453212.732600 1.359067 
2453214.417082 1.227640 
2453216.101564 0.861464 
2453217.786046 0.319909 
2453219.470528 -0.447681 
2453221.155010 -1.556968 
2453222.839492 -2.379446 
2453224.523974 0.044133 
2453226.208456 1.253308 
2453227.892938 1.331634 
2453229.577420 1.061876 
2453231.261902 0.606582 
2453232.946384 -0.039251 
2453234.630866 -0.968891 
2453236.315348 -2.193674 
2453237.999830 -1.349024 
2453239.684312 0.906295 
2453241.368794 1.360456 
2453243.053276 1.220338 
2453244.737758 0.849387 
2453246.422240 0.302865 
2453248.106722 -0.472201 
2453249.791204 -1.591095 
2453251.475686 -2.360547 
2453253.160168 0.105752 
2453254.844650 1.263899 
2453256.529132 1.327605 
2453258.213614 1.051981 
2453259.898096 0.592129 
2453261.582578 -0.059678 
2453263.267060 -0.998692 
2453264.951542 -2.221218 
2453266.636024 -1.268504 
2453268.320506 0.934534 
2453270.004988 1.361484 
2453271.689470 1.212887 
2453273.373952 0.837191 
2453275.058434 0.285664 
2453276.742916 -0.496973 
2453278.427398 -1.625329 
2453280.111880 -2.337659 
2453281.796362 0.165380 
2453283.480844 1.273825 
2453285.165326 1.323364 
2453286.849808 1.041964 
2453288.534290 0.577546 
2453290.218772 -0.080304 
2453291.903254 -1.028778 
2453293.587736 -2.247581 
2453295.272217 -1.187211 
2453296.956699 0.961484 
2453298.641181 1.362164 
2453300.325663 1.205289 
2453302.010145 0.824860 
2453303.694627 0.268306 
2453305.379109 -0.522000 
2453307.063591 -1.659645 
2453308.748073 -2.310706 
2453310.432555 0.223016 
2453312.117037 1.283108 
2453313.801519 1.318915 
2453315.486001 1.031825 
2453317.170483 0.562832 
2453318.854965 -0.101132 
2453320.539447 -1.059147 
2453322.223929 -2.272633 
2453323.908411 -1.105446 
2453325.592893 0.987187 
2453327.277375 1.362505 
2453328.961857 1.197545 
2453330.646339 0.812427 
2453332.330821 0.250788 
2453334.015303 -0.547284 
2453335.699785 -1.694012 
2453337.384267 -2.279636 
2453339.068749 0.278670 
2453340.753231 1.291771 
2453342.437713 1.314263 
2453344.122195 1.021565 
2453345.806677 0.547985 
2453347.491159 -0.122163 
2453349.175641 -1.089799 
2453350.860123 -2.296238 
2453352.544605 -1.023496 
2453354.229087 1.011687 
2453355.913569 1.362518 
2453357.598051 1.189659 
2453359.282533 0.799874 
2453360.967015 0.233108 
2453362.651497 -0.572828 
2453364.335979 -1.728399 
2453366.020461 -2.244424 
2453367.704943 0.332356 
2453369.389425 1.299835 
2453371.073907 1.309412 
2453372.758389 1.011185 
2453374.442871 0.533004 
2453376.127353 -0.143402 
2453377.811835 -1.120731 
2453379.496317 -2.318251 
2453381.180799 -0.941636 
2453382.865281 1.035025 
2453384.549763 1.362211 
2453386.234245 1.181631 
2453387.918727 0.787201 
2453389.603209 0.215265 
2453391.287691 -0.598636 
2453392.972173 -1.762771 
2453394.656655 -2.205076 
2453396.341137 0.384096 
2453398.025619 1.307321 
2453399.710101 1.304367 
2453401.394583 1.000684 
2453403.079065 0.517889 
2453404.763547 -0.164851 
2453406.448029 -1.151940 
2453408.132511 -2.338520 
2453409.816993 -0.860125 
2453411.501475 1.057243 
2453413.185956 1.361595 
2453414.870438 1.173464 
2453416.554920 0.774409 
2453418.239402 0.197257 
2453419.923884 -0.624708 
2453421.608366 -1.797089 
2453423.292848 -2.161629 
2453424.977330 0.433919 
2453426.661812 1.314248 
2453428.346294 1.299132 
2453430.030776 0.990064 
2453431.715258 0.502637 
2453433.399740 -0.186512 
2453435.084222 -1.183422 
2453436.768704 -2.356888 
2453438.453186 -0.779202 
2453440.137668 1.078380 
2453441.822150 1.360678 
2453443.506632 1.165159 
2453445.191114 0.761496 
2453446.875596 0.179080 
2453448.560078 -0.651049 
2453450.244560 -1.831309 
2453451.929042 -2.114151 
2453453.613524 0.481857 
2453455.298006 1.320637 
2453456.982488 1.293711 
2453458.666970 0.979325 
2453460.351452 0.487249 
2453462.035934 -0.208388 
2453463.720416 -1.215172 
2453465.404898 -2.373192 
2453467.089380 -0.699088 
2453468.773862 1.098474 
2453470.458344 1.359468 
2453472.142826 1.156718 
2453473.827308 0.748462 
2453475.511790 0.160734 
2453477.196272 -0.677661 
2453478.880754 -1.865385 
2453480.565236 -2.062742 
2453482.249718 0.527946 
2453483.934200 1.326504 
2453485.618682 1.288108 
