# time model 
2453115.032645 1.535073 
2453116.717127 1.546704 
2453118.401609 1.251559 
2453120.086091 0.583739 
2453121.770573 -0.501214 
2453123.455055 -0.028960 
2453125.139537 2.384069 
2453126.824019 2.851027 
2453128.508501 2.549089 
2453130.192983 1.891835 
2453131.877465 0.928996 
2453133.561947 -0.409223 
2453135.246429 -2.251795 
2453136.930911 -4.094107 
2453138.615393 -2.634200 
2453140.299875 -1.609522 
2453141.984357 -1.163222 
2453143.668839 -0.653940 
2453145.353321 -0.249155 
2453147.037803 -0.134907 
2453148.722285 -0.445813 
2453150.406767 -1.221145 
2453152.091249 -0.371526 
2453153.775731 2.249848 
2453155.460213 2.928067 
2453157.144695 2.870008 
2453158.829177 2.489746 
2453160.513659 1.851783 
2453162.198141 0.900825 
2453163.882623 -0.494658 
2453165.567105 -1.847343 
2453167.251587 -0.119347 
2453168.936069 0.432819 
2453170.620551 -0.342706 
2453172.305033 -1.401055 
2453173.989515 -2.191720 
2453175.673996 -2.503974 
2453177.358478 -2.654027 
2453179.042960 -3.033008 
2453180.727442 -1.661590 
2453182.411924 1.281686 
2453184.096406 2.241698 
2453185.780888 2.446391 
2453187.465370 2.310076 
2453189.149852 1.909799 
2453190.834334 1.204830 
2453192.518816 0.081444 
2453194.203298 -0.896363 
2453195.887780 1.280485 
2453197.572262 2.236116 
2453199.256744 1.893267 
2453200.941226 1.036626 
2453202.625708 -0.177172 
2453204.310190 -1.701682 
2453205.994672 -3.422384 
2453207.679154 -4.991898 
2453209.363636 -3.932829 
2453211.048118 -0.866282 
2453212.732600 0.462418 
2453214.417082 1.073246 
2453216.101564 1.297919 
2453217.786046 1.204696 
2453219.470528 0.764203 
2453221.155010 -0.120131 
2453222.839492 -0.806347 
2453224.523974 1.672388 
2453226.208456 2.857657 
2453227.892938 2.829571 
2453229.577420 2.361571 
2453231.261902 1.600293 
2453232.946384 0.518044 
2453234.630866 -1.004613 
2453236.315348 -2.992618 
2453237.999830 -3.032609 
2453239.684312 -1.577370 
2453241.368794 -1.466380 
2453243.053276 -1.283402 
2453244.737758 -0.892737 
2453246.422240 -0.592948 
2453248.106722 -0.625906 
2453249.791204 -1.154108 
2453251.475686 -1.475364 
2453253.160168 1.317917 
2453254.844650 2.700921 
2453256.529132 2.900801 
2453258.213614 2.680253 
2453259.898096 2.196412 
2453261.582578 1.438104 
2453263.267060 0.300746 
2453264.951542 -1.227885 
2453266.636024 -0.711735 
2453268.320506 0.898113 
2453270.004988 0.561672 
2453271.689470 -0.471621 
2453273.373952 -1.647131 
2453275.058434 -2.541178 
2453276.742916 -3.000087 
2453278.427398 -3.366574 
2453280.111880 -3.232637 
2453281.796362 0.012363 
2453283.480844 1.711345 
