# time model 
2453115.032645 1.245070 
2453116.705158 0.908462 
2453118.377671 0.262001 
2453120.050184 -0.744672 
2453121.722697 -1.911813 
2453123.395210 -1.621140 
2453125.067724 0.101935 
2453126.740237 1.052614 
2453128.412750 1.294706 
2453130.085263 1.129847 
2453131.757776 0.656337 
2453133.430289 -0.147036 
2453135.102802 -1.302442 
2453136.775315 -2.099860 
2453138.447828 -0.821146 
2453140.120341 0.648300 
2453141.792855 1.226297 
2453143.465368 1.260895 
2453145.137881 0.952832 
2453146.810394 0.337180 
2453148.482907 -0.634517 
2453150.155420 -1.825055 
2453151.827933 -1.756026 
2453153.500446 -0.038143 
2453155.172959 1.000081 
2453156.845472 1.292179 
2453158.517986 1.158892 
2453160.190499 0.713924 
2453161.863012 -0.055757 
2453163.535525 -1.185185 
2453165.208038 -2.100160 
2453166.880551 -0.995913 
2453168.553064 0.552261 
2453170.225577 1.200128 
2453171.898090 1.273810 
2453173.570603 0.994554 
2453175.243116 0.409184 
2453176.915630 -0.527254 
2453178.588143 -1.727998 
2453180.260656 -1.871939 
2453181.933169 -0.187080 
2453183.605682 0.941054 
2453185.278195 1.286062 
2453186.950708 1.185275 
2453188.623221 0.768691 
2453190.295734 0.032104 
2453191.968247 -1.068003 
2453193.640761 -2.077698 
2453195.313274 -1.169366 
2453196.985787 0.447424 
2453198.658300 1.169096 
2453200.330813 1.283733 
2453202.003326 1.033646 
2453203.675839 0.478077 
2453205.348352 -0.423108 
2453207.020865 -1.623095 
2453208.693378 -1.966008 
2453210.365892 -0.344211 
2453212.038405 0.875137 
2453213.710918 1.276186 
2453215.383431 1.208963 
2453217.055944 0.820684 
2453218.728457 0.116578 
2453220.400970 -0.951795 
2453222.073483 -2.034656 
2453223.745996 -1.338095 
2453225.418509 0.333501 
2453227.091023 1.132907 
2453228.763536 1.290566 
2453230.436049 1.070115 
2453232.108562 0.543926 
2453233.781075 -0.322233 
2453235.453588 -1.512533 
2453237.126101 -2.036186 
2453238.798614 -0.508493 
2453240.471127 0.801918 
2453242.143640 1.262360 
2453243.816153 1.229916 
2453245.488667 0.869946 
2453247.161180 0.197707 
2453248.833693 -0.837269 
2453250.506206 -1.973608 
2453252.178719 -1.498356 
2453253.851232 0.210307 
2453255.523745 1.091245 
2453257.196258 1.294201 
2453258.868771 1.103962 
2453260.541284 0.606794 
2453262.213798 -0.224722 
2453263.886311 -1.398207 
2453265.558824 -2.081416 
2453267.231337 -0.678437 
2453268.903850 0.720982 
2453270.576363 1.244376 
2453272.248876 1.248081 
2453273.921389 0.916512 
2453275.593902 0.275548 
2453277.266415 -0.724968 
2453278.938929 -1.897317 
2453280.611442 -1.646259 
2453282.283955 0.077795 
2453283.956468 1.043768 
2453285.628981 1.294513 
2453287.301494 1.135183 
2453288.974007 0.666742 
2453290.646520 -0.130623 
2453292.319033 -1.281720 
2453293.991546 -2.101650 
2453295.664059 -0.852052 
2453297.336573 0.631920 
2453299.009086 1.222005 
2453300.681599 1.263396 
2453302.354112 0.960412 
2453304.026625 0.350160 
2453305.699138 -0.615305 
2453307.371651 -1.808546 
2453309.044164 -1.778025 
2453310.716677 -0.063885 
2453312.389190 0.990113 
2453314.061704 1.291362 
2453315.734217 1.163759 
2453317.406730 0.723826 
2453319.079243 -0.039951 
2453320.751756 -1.164402 
2453322.424269 -2.097785 
2453324.096782 -1.026815 
2453325.769295 0.534347 
2453327.441808 1.194995 
2453329.114321 1.275788 
2453330.786835 1.001668 
2453332.459348 0.421608 
2453334.131861 -0.508580 
2453335.804374 -1.709928 
2453337.476887 -1.890258 
2453339.149400 -0.214331 
2453340.821913 0.929896 
2453342.494426 1.284593 
2453344.166939 1.189667 
2453345.839452 0.778098 
2453347.511965 0.047308 
2453349.184479 -1.047332 
2453350.856992 -2.071506 
2453352.529505 -1.199691 
2453354.202018 0.427920 
2453355.874531 1.163072 
2453357.547044 1.285171 
2453359.219557 1.040294 
2453360.892070 0.489957 
2453362.564583 -0.405004 
2453364.237096 -1.603872 
2453365.909610 -1.980219 
2453367.582123 -0.372816 
2453369.254636 0.862716 
2453370.927149 1.274031 
2453372.599662 1.212874 
2453374.272175 0.829605 
2453375.944688 0.131186 
2453377.617201 -0.931375 
2453379.289714 -2.025080 
2453380.962227 -1.367201 
2453382.634741 0.312366 
2453384.307254 1.125938 
2453385.979767 1.291446 
2453387.652280 1.076299 
2453389.324793 0.555274 
2453390.997306 -0.304719 
2453392.669819 -1.492514 
2453394.342332 -2.046027 
2453396.014845 -0.538224 
2453397.687358 0.788160 
2453399.359872 1.259485 
2453401.032385 1.233337 
2453402.704898 0.878387 
2453404.377411 0.211729 
2453406.049924 -0.817208 
2453407.722437 -1.961130 
2453409.394950 -1.525557 
2453411.067463 0.187520 
2453412.739976 1.083272 
2453414.412489 1.294502 
2453416.085002 1.109682 
2453417.757516 0.617621 
2453419.430029 -0.207810 
2453421.102542 -1.377696 
2453422.775055 -2.086806 
2453424.447568 -0.708978 
2453426.120081 0.705815 
2453427.792594 1.240742 
2453429.465107 1.251002 
2453431.137620 0.924479 
2453432.810133 0.288993 
2453434.482647 -0.705348 
2453436.155160 -1.882429 
2453437.827673 -1.670871 
2453439.500186 0.053367 
2453441.172699 1.034728 
2453442.845212 1.294211 
2453444.517725 1.140436 
2453446.190238 0.677057 
2453447.862751 -0.114318 
2453449.535264 -1.260973 
2453451.207778 -2.102683 
2453452.880291 -0.882994 
2453454.552804 0.615273 
2453456.225317 1.217568 
2453457.897830 1.265805 
2453459.570343 0.967910 
2453461.242856 0.363040 
2453462.915369 -0.596186 
2453464.587882 -1.791728 
2453466.260395 -1.799410 
2453467.932908 -0.089903 
2453469.605422 0.979939 
2453471.277935 1.290432 
2453472.950448 1.168542 
2453474.622961 0.733640 
2453476.295474 -0.024252 
2453477.967987 -1.143626 
2453479.640500 -2.094706 
2453481.313013 -1.057658 
2453482.985526 0.516156 
2453484.658039 1.189709 
2453486.330553 1.277671 
2453488.003066 1.008699 
2453489.675579 0.433935 
2453491.348092 -0.490005 
2453493.020605 -1.691625 
2453494.693118 -1.907876 
2453496.365631 -0.241835 
2453498.038144 0.918519 
2453499.710657 1.283004 
2453501.383170 1.193974 
2453503.055684 0.787419 
2453504.728197 0.062406 
2453506.400710 -1.026697 
2453508.073223 -2.064682 
2453509.745736 -1.229849 
2453511.418249 0.408129 
2453513.090762 1.156885 
2453514.763275 1.286511 
2453516.435788 1.046861 
2453518.108301 0.501743 
2453519.780814 -0.387004 
2453521.453328 -1.584483 
2453523.125841 -1.993670 
2453524.798354 -0.401640 
2453526.470867 0.850063 
2453528.143380 1.271751 
2453529.815893 1.216699 
2453531.488406 0.838440 
2453533.160919 0.145689 
2453534.833432 -0.911012 
2453536.505945 -2.014954 
2453538.178459 -1.396020 
2453539.850972 0.290938 
2453541.523485 1.118796 
2453543.195998 1.292225 
2453544.868511 1.082402 
2453546.541024 0.566529 
2453548.213537 -0.287311 
2453549.886050 -1.472387 
2453551.558563 -2.055081 
2453553.231076 -0.568123 
2453554.903590 0.774158 
2453556.576103 1.256478 
2453558.248616 1.236670 
2453559.921129 0.886744 
2453561.593642 0.225648 
2453563.266155 -0.797219 
2453564.938668 -1.948189 
2453566.611181 -1.552349 
2453568.283694 0.164441 
2453569.956207 1.075114 
2453571.628720 1.294698 
2453573.301234 1.115320 
2453574.973747 0.628356 
2453576.646260 -0.191005 
2453578.318773 -1.357126 
2453579.991286 -2.091413 
2453581.663799 -0.739622 
2453583.336312 0.690391 
2453585.008825 1.236968 
2453586.681338 1.253834 
2453588.353851 0.932363 
2453590.026365 0.302338 
2453591.698878 -0.685812 
2453593.371391 -1.867166 
2453595.043904 -1.694956 
2453596.716417 0.028653 
2453598.388930 1.025492 
2453600.061443 1.293801 
2453601.733956 1.145606 
2453603.406469 0.687283 
2453605.078982 -0.098120 
2453606.751496 -1.240206 
2453608.424009 -2.102965 
2453610.096522 -0.913958 
2453611.769035 0.598357 
2453613.441548 1.212984 
2453615.114061 1.268123 
2453616.786574 0.975324 
2453618.459087 0.375821 
2453620.131600 -0.577160 
2453621.804113 -1.774617 
2453623.476627 -1.820164 
2453625.149140 -0.116193 
2453626.821653 0.969558 
2453628.494166 1.289387 
2453630.166679 1.173241 
2453631.839192 0.743365 
2453633.511705 -0.008659 
2453635.184218 -1.122864 
2453636.856731 -2.090935 
2453638.529244 -1.088426 
2453640.201757 0.497685 
2453641.874271 1.184267 
2453643.546784 1.279460 
2453645.219297 1.015648 
2453646.891810 0.446165 
2453648.564323 -0.471530 
2453650.236836 -1.673102 
2453651.909349 -1.924780 
2453653.581862 -0.269587 
2453655.254375 0.906921 
2453656.926888 1.281296 
2453658.599402 1.198197 
2453660.271915 0.796653 
2453661.944428 0.077398 
2453663.616941 -1.006101 
2453665.289454 -2.057239 
2453666.961967 -1.259819 
2453668.634480 0.388051 
2453670.306993 1.150533 
2453671.979506 1.287754 
2453673.652019 1.053345 
2453675.324533 0.513433 
2453676.997046 -0.369107 
2453678.669559 -1.564940 
2453680.342072 -2.006354 
2453682.014585 -0.430674 
2453683.687098 0.837177 
2453685.359611 1.269346 
2453687.032124 1.220437 
2453688.704637 0.847191 
2453690.377150 0.160089 
2453692.049663 -0.890709 
2453693.722177 -2.004294 
2453695.394690 -1.424530 
2453697.067203 0.269219 
2453698.739716 1.111478 
2453700.412229 1.292903 
2453702.084742 1.088422 
2453703.757255 0.577691 
2453705.429768 -0.270010 
2453707.102281 -1.452161 
2453708.774794 -2.063346 
2453710.447308 -0.598181 
2453712.119821 0.759910 
2453713.792334 1.253338 
2453715.464847 1.239916 
2453717.137360 0.895017 
2453718.809873 0.239464 
2453720.482386 -0.777306 
2453722.154899 -1.934801 
2453723.827412 -1.578710 
2453725.499925 0.141070 
2453727.172439 1.066771 
2453728.844952 1.294789 
2453730.517465 1.120876 
2453732.189978 0.639000 
2453733.862491 -0.174308 
2453735.535004 -1.336505 
2453737.207517 -2.095241 
2453738.880030 -0.770356 
2453740.552543 0.674707 
2453742.225056 1.233054 
2453743.897569 1.256576 
2453745.570083 0.940163 
2453747.242596 0.315581 
2453748.915109 -0.666363 
2453750.587622 -1.851542 
2453752.260135 -1.718494 
2453753.932648 0.003654 
2453755.605161 1.016058 
2453757.277674 1.293280 
2453758.950187 1.150693 
2453760.622700 0.697420 
2453762.295214 -0.082030 
2453763.967727 -1.219427 
2453765.640240 -2.102507 
2453767.312753 -0.944928 
2453768.985266 0.581170 
2453770.657779 1.208251 
2453772.330292 1.270348 
2453774.002805 0.982656 
2453775.675318 0.388504 
2453777.347831 -0.558229 
2453779.020345 -1.757224 
2453780.692858 -1.840270 
2453782.365371 -0.142752 
2453784.037884 0.958966 
2453785.710397 1.288227 
2453787.382910 1.177856 
2453789.055423 0.753004 
2453790.727936 0.006826 
2453792.400449 -1.102121 
2453794.072962 -2.086483 
2453795.745476 -1.119098 
