# time model 
2453115.032645 1.773226 
2453116.705158 0.824057 
2453118.377671 -0.320691 
2453120.050184 -1.709300 
2453121.722697 -3.151523 
2453123.395210 -3.039637 
2453125.067724 -1.406858 
2453126.740237 -0.461849 
2453128.412750 -0.140440 
2453130.085263 -0.136339 
2453131.757776 -0.342502 
2453133.430289 -0.768404 
2453135.102802 -1.425383 
2453136.775315 -1.604480 
2453138.447828 0.374343 
2453140.120341 2.510828 
2453141.792855 3.518170 
2453143.465368 3.555028 
2453145.137881 2.825441 
2453146.810394 1.554678 
2453148.482907 -0.106361 
2453150.155420 -1.909460 
2453151.827933 -2.338718 
2453153.500446 -1.002771 
2453155.172959 -0.239629 
2453156.845472 -0.126318 
2453158.517986 -0.349900 
2453160.190499 -0.800539 
2453161.863012 -1.490903 
2453163.535525 -2.451371 
2453165.208038 -3.098998 
2453166.880551 -1.617281 
2453168.553064 0.429320 
2453170.225577 1.695509 
2453171.898090 2.469300 
2453173.570603 2.857082 
2453175.243116 2.701057 
2453176.915630 1.766879 
2453178.588143 0.144611 
2453180.260656 -0.654442 
2453181.933169 0.341077 
2453183.605682 0.856649 
2453185.278195 0.703370 
2453186.950708 0.220647 
2453188.623221 -0.471019 
2453190.295734 -1.386393 
2453191.968247 -2.576796 
2453193.640761 -3.592162 
2453195.313274 -2.604511 
2453196.985787 -0.818762 
2453198.658300 0.170257 
2453200.330813 0.662364 
2453202.003326 0.910705 
2453203.675839 0.973458 
2453205.348352 0.772381 
2453207.020865 0.239432 
2453208.693378 0.325865 
2453210.365892 1.949923 
2453212.038405 2.747746 
2453213.710918 2.493683 
2453215.383431 1.737120 
2453217.055944 0.736279 
2453218.728457 -0.466115 
2453220.400970 -1.916423 
2453222.073483 -3.274365 
2453223.745996 -2.756592 
2453225.418509 -1.175291 
2453227.091023 -0.381556 
2453228.763536 -0.144579 
2453230.436049 -0.196071 
2453232.108562 -0.454912 
2453233.781075 -0.943601 
2453235.453588 -1.635474 
2453237.126101 -1.540806 
2453238.798614 0.686996 
2453240.471127 2.664445 
2453242.143640 3.554233 
2453243.816153 3.524049 
2453245.488667 2.742555 
2453247.161180 1.415205 
2453248.833693 -0.309112 
2453250.506206 -2.058013 
2453252.178719 -2.081048 
2453253.851232 -0.754321 
2453255.523745 -0.148464 
2453257.196258 -0.124296 
2453258.868771 -0.404830 
2453260.541284 -0.907669 
2453262.213798 -1.659867 
2453263.886311 -2.664393 
2453265.558824 -3.080255 
2453267.231337 -1.299806 
2453268.903850 0.598041 
2453270.576363 1.739757 
2453272.248876 2.443570 
2453273.921389 2.779040 
2453275.593902 2.567421 
2453277.266415 1.569165 
2453278.938929 -0.024708 
2453280.611442 -0.428762 
2453282.283955 0.605952 
2453283.956468 0.959363 
2453285.628981 0.711820 
2453287.301494 0.170555 
2453288.974007 -0.572967 
2453290.646520 -1.549120 
2453292.319033 -2.790513 
2453293.991546 -3.616114 
2453295.664059 -2.287197 
2453297.336573 -0.634265 
2453299.009086 0.223166 
2453300.681599 0.642027 
2453302.354112 0.837472 
2453304.026625 0.845540 
2453305.699138 0.580184 
2453307.371651 0.053982 
2453309.044164 0.513848 
2453310.716677 2.230248 
2453312.389190 2.862722 
2453314.061704 2.508859 
2453315.734217 1.691915 
2453317.406730 0.639421 
2453319.079243 -0.622643 
2453320.751756 -2.129030 
2453322.424269 -3.337495 
2453324.096782 -2.445312 
2453325.769295 -0.974445 
2453327.441808 -0.319468 
2453329.114321 -0.159358 
2453330.786835 -0.264518 
2453332.459348 -0.577231 
2453334.131861 -1.129948 
2453335.804374 -1.832868 
2453337.476887 -1.394877 
2453339.149400 0.981159 
2453340.821913 2.792423 
2453342.494426 3.576466 
2453344.166939 3.483800 
2453345.839452 2.650707 
2453347.511965 1.264806 
2453349.184479 -0.519176 
2453350.856992 -2.155911 
2453352.529505 -1.782384 
2453354.202018 -0.536708 
2453355.874531 -0.076637 
2453357.547044 -0.133326 
2453359.219557 -0.468498 
2453360.892070 -1.024506 
2453362.564583 -1.840150 
2453364.237096 -2.870057 
2453365.909610 -2.979057 
2453367.582123 -0.994185 
2453369.254636 0.739775 
2453370.927149 1.769412 
2453372.599662 2.408364 
2453374.272175 2.692132 
2453375.944688 2.423059 
2453377.617201 1.362758 
2453379.289714 -0.152471 
2453380.962227 -0.149703 
2453382.634741 0.840522 
2453384.307254 1.041533 
2453385.979767 0.708754 
2453387.652280 0.111671 
2453389.324793 -0.684435 
2453390.997306 -1.723216 
2453392.669819 -3.001306 
2453394.342332 -3.560491 
2453396.014845 -1.973369 
2453397.687358 -0.478025 
2453399.359872 0.260646 
2453401.032385 0.611968 
2453402.704898 0.755447 
2453404.377411 0.707110 
2453406.049924 0.378282 
2453407.722437 -0.098603 
2453409.394950 0.766316 
2453411.067463 2.481653 
2453412.739976 2.955881 
2453414.412489 2.512000 
2453416.085002 1.637839 
2453417.757516 0.533216 
2453419.430029 -0.790502 
2453421.102542 -2.342325 
2453422.775055 -3.326516 
2453424.447568 -2.127475 
2453426.120081 -0.802978 
2453427.792594 -0.273722 
2453429.465107 -0.184143 
2453431.137620 -0.341706 
2453432.810133 -0.709846 
2453434.482647 -1.326716 
2453436.155160 -2.005370 
2453437.827673 -1.175490 
2453439.500186 1.248857 
2453441.172699 2.897255 
2453442.845212 3.586084 
2453444.517725 3.434569 
2453446.190238 2.549666 
2453447.862751 1.103180 
2453449.535264 -0.732816 
2453451.207778 -2.187088 
2453452.880291 -1.465687 
2453454.552804 -0.349355 
2453456.225317 -0.022141 
2453457.897830 -0.152692 
2453459.570343 -0.540883 
2453461.242856 -1.151423 
2453462.915369 -2.031331 
2453464.587882 -3.057914 
2453466.260395 -2.798249 
2453467.932908 -0.711271 
2453469.605422 0.856999 
2453471.277935 1.785812 
2453472.950448 2.364031 
2453474.622961 2.596167 
2453476.295474 2.267621 
2453477.967987 1.150507 
2453479.640500 -0.222098 
2453481.313013 0.159839 
2453482.985526 1.044312 
2453484.658039 1.105304 
2453486.330553 0.694979 
2453488.003066 0.044071 
2453489.675579 -0.805775 
2453491.348092 -1.908502 
2453493.020605 -3.200417 
2453494.693118 -3.422339 
2453496.365631 -1.676981 
2453498.038144 -0.347667 
2453499.710657 0.284165 
2453501.383170 0.572606 
2453503.055684 0.664478 
2453504.728197 0.557786 
2453506.400710 0.168793 
2453508.073223 -0.202154 
2453509.745736 1.062024 
2453511.418249 2.702263 
2453513.090762 3.029494 
2453514.763275 2.504009 
2453516.435788 1.575017 
2453518.108301 0.417337 
2453519.780814 -0.969696 
2453521.453328 -2.549111 
2453523.125841 -3.233379 
2453524.798354 -1.820137 
2453526.470867 -0.658729 
2453528.143380 -0.242712 
2453529.815893 -0.218447 
2453531.488406 -0.427745 
2453533.160919 -0.853149 
2453534.833432 -1.532381 
2453536.505945 -2.137895 
2453538.178459 -0.900639 
2453539.850972 1.486428 
2453541.523485 2.981323 
2453543.195998 3.584098 
2453544.868511 3.376535 
2453546.541024 2.439138 
2453548.213537 0.930186 
2453549.886050 -0.944230 
2453551.558563 -2.139486 
2453553.231076 -1.150816 
2453554.903590 -0.190470 
2453556.576103 0.016769 
2453558.248616 -0.181827 
2453559.921129 -0.622048 
2453561.593642 -1.288816 
2453563.266155 -2.232365 
2453564.938668 -3.214375 
2453566.611181 -2.551187 
2453568.283694 -0.456928 
2453569.956207 0.952174 
2453571.628720 1.790079 
2453573.301234 2.310809 
2453574.973747 2.490883 
2453576.646260 2.100868 
2453578.318773 0.937007 
2453579.991286 -0.218804 
2453581.663799 0.477876 
2453583.336312 1.218547 
2453585.008825 1.152563 
2453586.681338 0.671141 
2453588.353851 -0.032265 
2453590.026365 -0.937372 
2453591.698878 -2.104309 
2453593.371391 -3.375958 
2453595.043904 -3.209419 
2453596.716417 -1.406492 
2453598.388930 -0.240693 
2453600.061443 0.294962 
2453601.733956 0.524238 
2453603.406469 0.564342 
2453605.078982 0.397261 
2453606.751496 -0.044717 
2453608.424009 -0.240438 
2453610.096522 1.377915 
2453611.769035 2.892490 
2453613.441548 3.085593 
2453615.114061 2.485620 
2453616.786574 1.503481 
2453618.459087 0.291416 
2453620.131600 -1.159853 
2453621.804113 -2.739245 
2453623.476627 -3.059873 
2453625.149140 -1.534690 
2453626.821653 -0.539234 
2453628.494166 -0.225076 
2453630.166679 -0.261905 
2453631.839192 -0.522820 
2453633.511705 -1.007498 
2453635.184218 -1.744233 
2453636.856731 -2.213876 
2453638.529244 -0.593045 
2453640.201757 1.693174 
2453641.874271 3.046794 
2453643.546784 3.571333 
2453645.219297 3.309781 
2453646.891810 2.318774 
2453648.564323 0.745967 
2453650.236836 -1.144946 
2453651.909349 -2.009186 
2453653.581862 -0.852280 
2453655.254375 -0.057707 
2453656.926888 0.041586 
2453658.599402 -0.220301 
2453660.271915 -0.712139 
2453661.944428 -1.437066 
2453663.616941 -2.441246 
2453665.289454 -3.323424 
2453666.961967 -2.258658 
2453668.634480 -0.233317 
2453670.306993 1.027593 
2453671.979506 1.783135 
2453673.652019 2.248835 
2453675.324533 2.375960 
2453676.997046 1.922766 
2453678.669559 0.729194 
2453680.342072 -0.133745 
2453682.014585 0.786823 
2453683.687098 1.365333 
2453685.359611 1.184941 
2453687.032124 0.637745 
2453688.704637 -0.117437 
2453690.377150 -1.079621 
2453692.049663 -2.309206 
2453693.722177 -3.513087 
2453695.394690 -2.938993 
2453697.067203 -1.165926 
2453698.739716 -0.154708 
2453700.412229 0.294064 
2453702.084742 0.467053 
2453703.757255 0.454750 
2453705.429768 0.225371 
2453707.102281 -0.256671 
2453708.774794 -0.200819 
2453710.447308 1.693692 
2453712.119821 3.054043 
2453713.792334 3.125947 
2453715.464847 2.457414 
2453717.137360 1.423173 
2453718.809873 0.155059 
2453720.482386 -1.359999 
2453722.154899 -2.899429 
2453723.827412 -2.818419 
2453725.499925 -1.277428 
2453727.172439 -0.442022 
2453728.844952 -0.219675 
2453730.517465 -0.314269 
2453732.189978 -0.627186 
2453733.862491 -1.173147 
2453735.535004 -1.957874 
2453737.207517 -2.218181 
2453738.880030 -0.274975 
2453740.552543 1.870197 
2453742.225056 3.095581 
2453743.897569 3.548449 
2453745.570083 3.234297 
2453747.242596 2.188190 
2453748.915109 0.551134 
2453750.587622 -1.323385 
2453752.260135 -1.802899 
2453753.932648 -0.579039 
2453755.605161 0.051430 
2453757.277674 0.053570 
2453758.950187 -0.267804 
2453760.622700 -0.811373 
2453762.295214 -1.596493 
2453763.967727 -2.654573 
2453765.640240 -3.368692 
2453767.312753 -1.943767 
2453768.985266 -0.040198 
2453770.657779 1.085311 
2453772.330292 1.765728 
2453774.002805 2.178146 
2453775.675318 2.251032 
2453777.347831 1.733644 
2453779.020345 0.536909 
2453780.692858 0.032339 
2453782.365371 1.074746 
2453784.037884 1.487123 
2453785.710397 1.203822 
2453787.382910 0.595163 
2453789.055423 -0.211625 
2453790.727936 -1.232883 
2453792.400449 -2.520618 
2453794.072962 -3.595275 
2453795.745476 -2.633561 
2453797.417989 -0.956213 
2453799.090502 -0.087518 
2453800.763015 0.282314 
2453802.435528 0.401145 
2453804.108041 0.335358 
2453805.780554 0.042225 
2453807.453067 -0.458882 
2453809.125580 -0.078436 
2453810.798093 1.994291 
2453812.470606 3.189234 
2453814.143120 3.152075 
2453815.815633 2.419831 
2453817.488146 1.333958 
2453819.160659 0.007879 
2453820.833172 -1.568240 
2453822.505685 -3.013819 
2453824.178198 -2.529289 
2453825.850711 -1.050812 
2453827.523224 -0.364778 
2453829.195737 -0.225565 
2453830.868251 -0.375398 
2453832.540764 -0.741157 
2453834.213277 -1.350153 
2453835.885790 -2.166621 
2453837.558303 -2.141205 
2453839.230816 0.035469 
2453840.903329 2.019544 
2453842.575842 3.129340 
2453844.248355 3.515962 
2453845.920868 3.149989 
2453847.593382 2.046993 
2453849.265895 0.347030 
2453850.938408 -1.464959 
2453852.610921 -1.537115 
2453854.283434 -0.335486 
2453855.955947 0.139355 
2453857.628460 0.053769 
2453859.300973 -0.324137 
2453860.973486 -0.920032 
2453862.645999 -1.767278 
2453864.318512 -2.866991 
2453865.991026 -3.337007 
2453867.663539 -1.627225 
