# time model 
2453115.032645 1.207290 
2453116.705158 0.834486 
2453118.377671 0.217779 
2453120.050184 -0.706187 
2453121.722697 -1.906009 
2453123.395210 -1.807832 
2453125.067724 0.254401 
2453126.740237 1.176874 
2453128.412750 1.302830 
2453130.085263 1.067805 
2453131.757776 0.587625 
2453133.430289 -0.156954 
2453135.102802 -1.240406 
2453136.775315 -2.234082 
2453138.447828 -0.835725 
2453140.120341 0.820338 
2453141.792855 1.295385 
2453143.465368 1.229824 
2453145.137881 0.879658 
2453146.810394 0.287581 
2453148.482907 -0.603631 
2453150.155420 -1.799334 
2453151.827933 -1.958392 
2453153.500446 0.097341 
2453155.172959 1.134915 
2453156.845472 1.309867 
2453158.517986 1.100942 
2453160.190499 0.643193 
2453161.863012 -0.073308 
2453163.535525 -1.124407 
2453165.208038 -2.202714 
2453166.880551 -1.052659 
2453168.553064 0.726287 
2453170.225577 1.280602 
2453171.898090 1.249962 
2453173.570603 0.922750 
2453175.243116 0.354754 
2453176.915630 -0.504383 
2453178.588143 -1.686805 
2453180.260656 -2.078636 
2453181.933169 -0.073913 
2453183.605682 1.085746 
2453185.278195 1.313726 
2453186.950708 1.131961 
2453188.623221 0.696521 
2453190.295734 0.007287 
2453191.968247 -1.010559 
2453193.640761 -2.148058 
2453195.313274 -1.267844 
2453196.985787 0.620488 
2453198.658300 1.261021 
2453200.330813 1.267611 
2453202.003326 0.963775 
2453203.675839 0.419379 
2453205.348352 -0.408461 
2453207.020865 -1.570717 
2453208.693378 -2.165807 
2453210.365892 -0.258819 
2453212.038405 1.028700 
2453213.710918 1.314200 
2453215.383431 1.160825 
2453217.055944 0.747656 
2453218.728457 0.084920 
2453220.400970 -0.899322 
2453222.073483 -2.074351 
2453223.745996 -1.475116 
2453225.418509 0.502106 
2453227.091023 1.236237 
2453228.763536 1.282662 
2453230.436049 1.002741 
2453232.108562 0.481530 
2453233.781075 -0.315846 
2453235.453588 -1.452909 
2453237.126101 -2.219116 
2453238.798614 -0.456112 
2453240.471127 0.963054 
2453242.143640 1.311059 
2453243.816153 1.187486 
2453245.488667 0.796637 
2453247.161180 0.159681 
2453248.833693 -0.791016 
2453250.506206 -1.985668 
2453252.178719 -1.667837 
2453253.851232 0.370395 
2453255.523745 1.205797 
2453257.196258 1.294990 
2453258.868771 1.039638 
2453260.541284 0.541277 
2453262.213798 -0.226490 
2453263.886311 -1.334819 
2453265.558824 -2.239641 
2453267.231337 -0.663613 
2453268.903850 0.888031 
2453270.576363 1.304041 
2453272.248876 1.211887 
2453273.921389 0.843496 
2453275.593902 0.231658 
2453277.266415 -0.685846 
2453278.938929 -1.885706 
2453280.611442 -1.839503 
2453282.283955 0.224770 
2453283.956468 1.169196 
2453285.628981 1.304450 
2453287.301494 1.074459 
2453288.974007 0.598685 
2453290.646520 -0.140330 
2453292.319033 -1.217549 
2453293.991546 -2.229971 
2453295.664059 -0.878078 
2453297.336573 0.802805 
2453299.009086 1.292850 
2453300.681599 1.233959 
2453302.354112 0.888260 
2453304.026625 0.300939 
2453305.699138 -0.583935 
2453307.371651 -1.777680 
2453309.044164 -1.984438 
2453310.716677 0.064915 
2453312.389190 1.125875 
2453314.061704 1.310879 
2453315.734217 1.107184 
2453317.406730 0.653811 
2453319.079243 -0.057288 
2453320.751756 -1.101927 
2453322.424269 -2.193712 
2453324.096782 -1.095117 
2453325.769295 0.706522 
2453327.441808 1.277157 
2453329.114321 1.253617 
2453330.786835 0.930946 
2453332.459348 0.367607 
2453334.131861 -0.485338 
2453335.804374 -1.664289 
2453337.476887 -2.098363 
2453339.149400 -0.109075 
2453340.821913 1.075217 
2453342.494426 1.314092 
2453344.166939 1.137784 
2453345.839452 0.706706 
2453347.511965 0.022720 
2453349.184479 -0.988559 
2453350.856992 -2.134993 
2453352.529505 -1.309260 
2453354.202018 0.598322 
2453355.874531 1.256591 
2453357.547044 1.270767 
2453359.219557 0.971567 
2453360.892070 0.431741 
2453362.564583 -0.390066 
2453364.237096 -1.547733 
2453365.909610 -2.178903 
2453367.582123 -0.296532 
2453369.254636 1.016546 
2453370.927149 1.313878 
2453372.599662 1.166220 
2453374.272175 0.757416 
2453375.944688 0.099783 
2453377.617201 -0.877875 
2453379.289714 -2.058042 
2453380.962227 -1.514210 
2453382.634741 0.477385 
2453384.307254 1.230737 
2453385.979767 1.285295 
2453387.652280 1.010129 
2453389.324793 0.493417 
2453390.997306 -0.298093 
2453392.669819 -1.429768 
2453394.342332 -2.225653 
2453396.014845 -0.496026 
2453397.687358 0.949127 
2453399.359872 1.309999 
2453401.032385 1.192444 
2453402.704898 0.805979 
2453404.377411 0.173992 
2453406.049924 -0.770170 
2453407.722437 -1.966873 
2453409.394950 -1.703305 
2453411.067463 0.342989 
2453412.739976 1.199131 
2453414.412489 1.297073 
2453416.085002 1.046621 
2453417.757516 0.552701 
2453419.430029 -0.209369 
2453421.102542 -1.311761 
2453422.775055 -2.240023 
2453424.447568 -0.705183 
2453426.120081 0.872172 
2453427.792594 1.302188 
2453429.465107 1.216395 
2453431.137620 0.852426 
2453432.810133 0.245434 
2453434.482647 -0.665631 
2453436.155160 -1.865095 
2453437.827673 -1.870145 
2453439.500186 0.194591 
2453441.172699 1.161260 
2453442.845212 1.305953 
2453444.517725 1.081033 
2453446.190238 0.609657 
2453447.862751 -0.123826 
2453449.535264 -1.194757 
2453451.207778 -2.224839 
2453452.880291 -0.920533 
2453454.552804 0.784849 
2453456.225317 1.290143 
2453457.897830 1.238001 
2453459.570343 0.896781 
2453461.242856 0.314197 
2453462.915369 -0.564366 
2453464.587882 -1.755823 
2453466.260395 -2.009290 
2453467.932908 0.031946 
2453469.605422 1.116553 
2453471.277935 1.311768 
2453472.950448 1.113345 
2453474.622961 0.664343 
2453476.295474 -0.041385 
2453477.967987 -1.079534 
2453479.640500 -2.183848 
2453481.313013 -1.137467 
2453482.985526 0.686299 
2453484.658039 1.273526 
2453486.330553 1.257176 
2453488.003066 0.939063 
2453489.675579 0.380363 
2453491.348092 -0.466421 
2453493.020605 -1.641653 
2453494.693118 -2.116803 
2453496.365631 -0.144755 
2453498.038144 1.064381 
2453499.710657 1.314327 
2453501.383170 1.143524 
2453503.055684 0.716807 
2453504.728197 0.038039 
2453506.400710 -0.966663 
2453508.073223 -2.121230 
2453509.745736 -1.350325 
2453511.418249 0.575668 
2453513.090762 1.251958 
2453514.763275 1.273822 
2453516.435788 0.979280 
2453518.108301 0.444010 
2453519.780814 -0.371798 
2453521.453328 -1.524697 
2453523.125841 -2.190697 
2453524.798354 -0.334709 
2453526.470867 1.004057 
2453528.143380 1.313415 
2453529.815893 1.171532 
2453531.488406 0.767094 
2453533.160919 0.114537 
2453534.833432 -0.856543 
2453536.505945 -2.041189 
2453538.178459 -1.552696 
2453539.850972 0.452148 
2453541.523485 1.225016 
2453543.195998 1.287822 
2453544.868511 1.017438 
2453546.541024 0.505212 
2453548.213537 -0.280465 
2453549.886050 -1.406627 
2453551.558563 -2.230945 
2453553.231076 -0.536315 
2453554.903590 0.934834 
2453556.576103 1.308788 
2453558.248616 1.197315 
2453559.921129 0.815240 
2453561.593642 0.188197 
2453563.266155 -0.749446 
2453564.938668 -1.947673 
2453566.611181 -1.737916 
2453568.283694 0.315045 
2453569.956207 1.192226 
2453571.628720 1.299045 
2453573.301234 1.053524 
2453574.973747 0.564036 
2453576.646260 -0.192370 
2453578.318773 -1.288743 
2453579.991286 -2.239269 
2453581.663799 -0.746993 
2453583.336312 0.855916 
2453585.008825 1.300172 
2453586.681338 1.220813 
2453588.353851 0.861276 
2453590.026365 0.259108 
2453591.698878 -0.645541 
2453593.371391 -1.844199 
2453595.043904 -1.899718 
2453596.716417 0.163865 
2453598.388930 1.153063 
2453600.061443 1.307338 
2453601.733956 1.087527 
2453603.406469 0.620543 
2453605.078982 -0.107441 
2453606.751496 -1.172033 
2453608.424009 -2.218716 
2453610.096522 -0.963053 
2453611.769035 0.766462 
2453613.441548 1.287260 
2453615.114061 1.241950 
2453616.786574 0.905224 
2453618.459087 0.327355 
2453620.131600 -0.544924 
2453621.804113 -1.733779 
2453623.476627 -2.032924 
2453625.149140 -0.001564 
2453626.821653 1.106945 
2453628.494166 1.312532 
2453630.166679 1.119423 
2453631.839192 0.674790 
2453633.511705 -0.025598 
2453635.184218 -1.057232 
2453636.856731 -2.173155 
2453638.529244 -1.179663 
2453640.201757 0.665613 
2453641.874271 1.269705 
2453643.546784 1.260639 
2453645.219297 0.947100 
2453646.891810 0.393022 
2453648.564323 -0.447631 
2453650.236836 -1.618912 
2453651.909349 -2.133948 
2453653.581862 -0.180946 
2453655.254375 1.053233 
2453656.926888 1.314429 
2453658.599402 1.149181 
2453660.271915 0.726824 
2453661.944428 0.053247 
2453663.616941 -0.944872 
2453665.289454 -2.106799 
2453666.961967 -1.390988 
2453668.634480 0.552519 
2453670.306993 1.247120 
2453671.979506 1.276775 
2453673.652019 0.986918 
2453675.324533 0.456185 
2453676.997046 -0.353655 
2453678.669559 -1.501618 
2453680.342072 -2.201196 
2453682.014585 -0.373336 
2453683.687098 0.991227 
2453685.359611 1.312809 
2453687.032124 1.176757 
2453688.704637 0.776689 
2453690.377150 0.129181 
2453692.049663 -0.835326 
2453693.722177 -2.023821 
2453695.394690 -1.590522 
2453697.067203 0.426389 
2453698.739716 1.219071 
2453700.412229 1.290243 
2453702.084742 1.024668 
2453703.757255 0.516916 
2453705.429768 -0.262962 
2453707.102281 -1.383493 
2453708.774794 -2.235009 
2453710.447308 -0.576955 
2453712.119821 0.920170 
2453713.792334 1.307424 
2453715.464847 1.202099 
2453717.137360 0.824420 
2453718.809873 0.202296 
2453720.482386 -0.728844 
2453722.154899 -1.928093 
2453723.827412 -1.771627 
2453725.499925 0.286560 
2453727.172439 1.185076 
2453728.844952 1.300904 
2453730.517465 1.060347 
2453732.189978 0.575281 
2453733.862491 -0.175492 
2453735.535004 -1.265770 
2453737.207517 -2.237405 
2453738.880030 -0.789014 
2453740.552543 0.839255 
2453742.225056 1.297993 
2453743.897569 1.225141 
2453745.570083 0.870045 
2453747.242596 0.272679 
2453748.915109 -0.625578 
2453750.587622 -1.823038 
2453752.260135 -1.928205 
2453753.932648 0.132591 
2453755.605161 1.144599 
2453757.277674 1.308605 
2453758.950187 1.093939 
2453760.622700 0.631342 
2453762.295214 -0.091174 
2453763.967727 -1.149383 
2453765.640240 -2.211634 
2453767.312753 -1.005596 
2453768.985266 0.747638 
2453770.657779 1.284200 
2453772.330292 1.245806 
2453774.002805 0.913587 
2453775.675318 0.340415 
2453777.347831 -0.525610 
2453779.020345 -1.711566 
2453780.692858 -2.055318 
2453782.365371 -0.035611 
2453784.037884 1.097047 
2453785.710397 1.313169 
2453787.382910 1.125420 
2453789.055423 0.685152 
2453790.727936 -0.009925 
2453792.400449 -1.035024 
2453794.072962 -2.161665 
2453795.745476 -1.221658 
2453797.417989 0.644457 
2453799.090502 1.265691 
2453800.763015 1.264003 
2453802.435528 0.955059 
2453804.108041 0.405585 
2453805.780554 -0.428968 
2453807.453067 -1.596079 
2453809.125580 -2.149792 
2453810.798093 -0.217638 
2453812.470606 1.041767 
2453814.143120 1.314396 
2453815.815633 1.154754 
2453817.488146 0.736758 
2453819.160659 0.068343 
