# time model 
2455007.429878 0.000000 
2455009.144006 0.000008 
2455010.858134 0.000013 
2455012.572262 0.000013 
2455014.286390 0.000010 
2455016.000517 0.000005 
2455017.714645 0.000002 
2455019.428773 0.000001 
2455021.142901 -0.000003 
2455022.857029 -0.000013 
2455024.571157 -0.000025 
2455026.285285 -0.000025 
2455027.999413 -0.000004 
2455029.713541 0.000024 
2455031.427669 0.000040 
2455033.141797 0.000043 
2455034.855925 0.000034 
2455036.570053 0.000021 
2455038.284181 0.000016 
2455039.998308 0.000008 
2455041.712436 -0.000020 
2455043.426564 -0.000068 
2455045.140692 -0.000105 
2455046.854820 -0.000084 
2455048.568948 -0.000015 
2455050.283076 0.000048 
2455051.997204 0.000081 
2455053.711332 0.000079 
2455055.425460 0.000050 
2455057.139588 0.000033 
2455058.853716 0.000026 
2455060.567844 -0.000015 
2455062.281972 -0.000112 
2455063.996099 -0.000228 
2455065.710227 -0.000269 
2455067.424355 -0.000177 
2455069.138483 -0.000033 
2455070.852611 0.000068 
2455072.566739 0.000104 
2455074.280867 0.000074 
2455075.994995 0.000027 
2455077.709123 0.000020 
2455079.423251 -0.000008 
2455081.137379 -0.000134 
2455082.851507 -0.000338 
2455084.565635 -0.000505 
2455086.279763 -0.000486 
2455087.993890 -0.000284 
2455089.708018 -0.000078 
2455091.422146 0.000029 
2455093.136274 0.000032 
2455094.850402 -0.000033 
2455096.564530 -0.000065 
2455098.278658 -0.000060 
2455099.992786 -0.000155 
2455101.706914 -0.000390 
2455103.421042 -0.000659 
2455105.135170 -0.000796 
2455106.849298 -0.000672 
2455108.563426 -0.000396 
2455110.277554 -0.000207 
2455111.991681 -0.000162 
2455113.705809 -0.000207 
2455115.419937 -0.000262 
2455117.134065 -0.000246 
2455118.848193 -0.000254 
2455120.562321 -0.000416 
2455122.276449 -0.000653 
2455123.990577 -0.000857 
2455125.704705 -0.000914 
2455127.418833 -0.000736 
2455129.132961 -0.000521 
2455130.847089 -0.000477 
2455132.561217 -0.000518 
2455134.275345 -0.000558 
2455135.989472 -0.000556 
2455137.703600 -0.000499 
2455139.417728 -0.000511 
2455141.131856 -0.000580 
2455142.845984 -0.000616 
2455144.560112 -0.000689 
2455146.274240 -0.000701 
2455147.988368 -0.000583 
2455149.702496 -0.000590 
2455151.416624 -0.000733 
2455153.130752 -0.000797 
2455154.844880 -0.000802 
2455156.559008 -0.000763 
2455158.273136 -0.000680 
2455159.987263 -0.000590 
2455161.701391 -0.000405 
2455163.415519 -0.000234 
2455165.129647 -0.000173 
2455166.843775 -0.000042 
2455168.557903 0.000015 
2455170.272031 -0.000201 
2455171.986159 -0.000428 
2455173.700287 -0.000552 
2455175.414415 -0.000627 
2455177.128543 -0.000609 
2455178.842671 -0.000576 
2455180.556799 -0.000570 
2455182.270927 -0.000551 
2455183.985054 -0.000329 
2455185.699182 0.000420 
2455187.413310 0.001312 
2455189.127438 0.001658 
2455190.841566 0.001499 
2455192.555694 0.001036 
2455194.269822 0.000504 
2455195.983950 0.000277 
2455197.698078 0.000038 
2455199.412206 -0.000823 
2455201.126334 -0.002391 
2455202.840462 -0.003565 
2455204.554590 -0.002346 
2455206.268718 0.000992 
2455207.982845 0.003861 
2455209.696973 0.005172 
2455211.411101 0.004882 
2455213.125229 0.003304 
2455214.839357 0.002199 
2455216.553485 0.001773 
2455218.267613 -0.000186 
2455219.981741 -0.004975 
2455221.695869 -0.011014 
2455223.409997 -0.012866 
2455225.124125 -0.007031 
2455226.838253 0.001709 
2455228.552381 0.007761 
2455230.266509 0.009934 
2455231.980636 0.007867 
2455233.694764 0.004524 
2455235.408892 0.003572 
2455237.123020 0.001635 
2455238.837148 -0.006392 
2455240.551276 -0.020104 
2455242.265404 -0.031566 
2455243.979532 -0.029237 
2455245.693660 -0.013773 
2455247.407788 0.001847 
2455249.121916 0.010462 
2455250.836044 0.010979 
2455252.550172 0.005376 
2455254.264300 0.001944 
2455255.978427 0.001503 
2455257.692555 -0.006464 
2455259.406683 -0.026432 
2455261.120811 -0.050681 
2455262.834939 -0.062138 
2455264.549067 -0.048646 
2455266.263195 -0.022256 
2455267.977323 -0.002923 
2455269.691451 0.003792 
2455271.405579 -0.000515 
2455273.119707 -0.007599 
2455274.833835 -0.007844 
2455276.547963 -0.010549 
2455278.262091 -0.029523 
2455279.976218 -0.060276 
2455281.690346 -0.086970 
2455283.404474 -0.090048 
2455285.118602 -0.064727 
2455286.832730 -0.035218 
2455288.546858 -0.021826 
2455290.260986 -0.022270 
2455291.975114 -0.029321 
2455293.689242 -0.032072 
2455295.403370 -0.028658 
2455297.117498 -0.036787 
2455298.831626 -0.060348 
2455300.545754 -0.085882 
2455302.259881 -0.103452 
2455303.974009 -0.098069 
2455305.688137 -0.072181 
2455307.402265 -0.056657 
2455309.116393 -0.058987 
2455310.830521 -0.064088 
2455312.544649 -0.067042 
2455314.258777 -0.062933 
2455315.972905 -0.057830 
2455317.687033 -0.062813 
2455319.401161 -0.066909 
2455321.115289 -0.070302 
2455322.829417 -0.078030 
2455324.543545 -0.071457 
2455326.257672 -0.061805 
2455327.971800 -0.074154 
2455329.685928 -0.088783 
2455331.400056 -0.091948 
2455333.114184 -0.091151 
2455334.828312 -0.083587 
2455336.542440 -0.073925 
2455338.256568 -0.058652 
2455339.970696 -0.033886 
2455341.684824 -0.019990 
2455343.398952 -0.008713 
2455345.113080 0.009772 
2455346.827208 0.002112 
2455348.541336 -0.027994 
2455350.255463 -0.048998 
2455351.969591 -0.062781 
2455353.683719 -0.067739 
2455355.397847 -0.064256 
2455357.111975 -0.065307 
2455358.826103 -0.070289 
2455360.540231 -0.067292 
2455362.254359 -0.012381 
2455363.968487 0.103804 
2455365.682615 0.193108 
2455367.396743 0.207968 
2455369.110871 0.172790 
2455370.824999 0.104838 
2455372.539127 0.053506 
2455374.253254 0.034704 
2455375.967382 -0.025634 
2455377.681510 -0.182706 
2455379.395638 -0.391456 
2455381.109766 -0.432788 
2455382.823894 -0.135616 
2455384.538022 0.285484 
2455386.252150 0.556248 
2455387.966278 0.635838 
2455389.680406 0.514510 
2455391.394534 0.321580 
2455393.108662 0.248039 
2455394.822790 0.146683 
2455396.536918 -0.247783 
2455398.251045 -0.957522 
2455399.965173 -1.564801 
2455401.679301 -1.369252 
2455403.393429 -0.399136 
2455405.107557 0.554311 
2455406.821685 1.082310 
2455408.535813 1.111019 
2455410.249941 0.719787 
2455411.964069 0.440425 
2455413.678197 0.369241 
2455415.392325 -0.147163 
2455417.106453 -1.471532 
2455418.820581 -3.163745 
2455420.534709 -3.926087 
2455422.248836 -2.814559 
2455423.962964 -0.787246 
2455425.677092 0.724202 
2455427.391220 1.320851 
2455429.105348 0.975013 
2455430.819476 0.313257 
2455432.533604 0.178070 
2455434.247732 -0.112321 
2455435.961860 -1.712460 
2455437.675988 -4.470259 
2455439.390116 -6.919458 
2455441.104244 -6.990006 
2455442.818372 -4.425973 
2455444.532500 -1.521877 
2455446.246627 0.055728 
2455447.960755 0.205599 
2455449.674883 -0.618208 
2455451.389011 -1.107869 
2455453.103139 -0.991253 
2455454.817267 -2.056729 
2455456.531395 -5.024626 
2455458.245523 -8.598715 
2455459.959651 -10.710600 
2455461.673779 -9.477633 
2455463.387907 -5.936399 
2455465.102035 -3.311774 
