# time model 
2453115.032645 1.609698 
2453116.746773 1.197848 
2453118.460901 0.336981 
2453120.175029 -0.843370 
2453121.889157 -1.936902 
2453123.603285 -1.829755 
2453125.317413 -0.224643 
2453127.031540 1.153817 
2453128.745668 1.621892 
2453130.459796 1.393245 
2453132.173924 0.671490 
2453133.888052 -0.422260 
2453135.602180 -1.631533 
2453137.316308 -2.076657 
2453139.030436 -0.831519 
2453140.744564 0.789939 
2453142.458692 1.555469 
2453144.172820 1.533179 
2453145.886948 0.962762 
2453147.601076 -0.019785 
2453149.315204 -1.245448 
2453151.029331 -2.099070 
2453152.743459 -1.403079 
2453154.457587 0.315879 
2453156.171715 1.399080 
2453157.885843 1.611626 
2453159.599971 1.206948 
2453161.314099 0.351589 
2453163.028227 -0.825850 
2453164.742355 -1.926636 
2453166.456483 -1.844292 
2453168.170611 -0.249258 
2453169.884739 1.141018 
2453171.598867 1.620779 
2453173.312995 1.400156 
2453175.027122 0.684398 
2453176.741250 -0.405168 
2453178.455378 -1.616817 
2453180.169506 -2.081975 
2453181.883634 -0.856457 
2453183.597762 0.772498 
2453185.311890 1.550876 
2453187.026018 1.537682 
2453188.740146 0.973800 
2453190.454274 -0.003774 
2453192.168402 -1.228518 
2453193.882530 -2.095464 
2453195.596658 -1.424505 
2453197.310786 0.294128 
2453199.024913 1.390516 
2453200.739041 1.613435 
2453202.453169 1.215961 
2453204.167297 0.366130 
2453205.881425 -0.808330 
2453207.595553 -1.916137 
2453209.309681 -1.858475 
2453211.023809 -0.273950 
2453212.737937 1.128030 
2453214.452065 1.619531 
2453216.166193 1.406972 
2453217.880321 0.697232 
2453219.594449 -0.388110 
2453221.308577 -1.601970 
2453223.022704 -2.086903 
2453224.736832 -0.881331 
2453226.450960 0.754867 
2453228.165088 1.546128 
2453229.879216 1.542079 
2453231.593344 0.984757 
2453233.307472 0.012182 
2453235.021600 -1.211537 
2453236.735728 -2.091526 
2453238.449856 -1.445700 
2453240.163984 0.272220 
2453241.878112 1.381776 
2453243.592240 1.615126 
2453245.306368 1.224888 
2453247.020495 0.380605 
2453248.734623 -0.790811 
2453250.448751 -1.905407 
2453252.162879 -1.872298 
2453253.877007 -0.298714 
2453255.591135 1.114852 
2453257.305263 1.618148 
2453259.019391 1.413692 
2453260.733519 0.709992 
2453262.447647 -0.371086 
2453264.161775 -1.586995 
2453265.875903 -2.091442 
2453267.590031 -0.906134 
2453269.304159 0.737047 
2453271.018286 1.541225 
2453272.732414 1.546371 
2453274.446542 0.995634 
2453276.160670 0.028084 
2453277.874798 -1.194506 
2453279.588926 -2.087259 
2453281.303054 -1.466655 
2453283.017182 0.250157 
2453284.731310 1.372862 
2453286.445438 1.616698 
2453288.159566 1.233727 
2453289.873694 0.395014 
2453291.587822 -0.773296 
2453293.301950 -1.894453 
2453295.016077 -1.885760 
2453296.730205 -0.323545 
2453298.444333 1.101483 
2453300.158461 1.616630 
2453301.872589 1.420317 
2453303.586717 0.722677 
2453305.300845 -0.354099 
2453307.014973 -1.571895 
2453308.729101 -2.095593 
2453310.443229 -0.930858 
2453312.157357 0.719038 
2453313.871485 1.536167 
2453315.585613 1.550557 
2453317.299741 1.006429 
2453319.013868 0.043930 
2453320.727996 -1.177428 
2453322.442124 -2.082668 
2453324.156252 -1.487366 
2453325.870380 0.227941 
2453327.584508 1.363771 
2453329.298636 1.618151 
2453331.012764 1.242479 
2453332.726892 0.409355 
2453334.441020 -0.755786 
2453336.155148 -1.883278 
2453337.869276 -1.898857 
2453339.583404 -0.348439 
2453341.297532 1.087923 
2453343.011659 1.614974 
2453344.725787 1.426847 
2453346.439915 0.735287 
2453348.154043 -0.337149 
2453349.868171 -1.556675 
2453351.582299 -2.099356 
2453353.296427 -0.955498 
2453355.010555 0.700841 
2453356.724683 1.530952 
2453358.438811 1.554636 
2453360.152939 1.017143 
2453361.867067 0.059719 
2453363.581195 -1.160306 
2453365.295323 -2.077755 
2453367.009450 -1.507826 
2453368.723578 0.205575 
2453370.437706 1.354504 
2453372.151834 1.619483 
2453373.865962 1.251142 
2453375.580090 0.423628 
2453377.294218 -0.738282 
2453379.008346 -1.871886 
2453380.722474 -1.911585 
2453382.436602 -0.373389 
2453384.150730 1.074173 
2453385.864858 1.613181 
2453387.578986 1.433280 
2453389.293114 0.747821 
2453391.007241 -0.320238 
2453392.721369 -1.541338 
2453394.435497 -2.102734 
2453396.149625 -0.980047 
2453397.863753 0.682456 
2453399.577881 1.525579 
2453401.292009 1.558609 
2453403.006137 1.027776 
2453404.720265 0.075452 
2453406.434393 -1.143142 
2453408.148521 -2.072525 
2453409.862649 -1.528028 
2453411.576777 0.183062 
2453413.290905 1.345059 
