# time model 
2453115.032645 1.685124 
2453116.746773 1.690126 
2453118.460901 1.691374 
2453120.175029 1.688452 
2453121.889157 1.680932 
2453123.603285 1.668378 
2453125.317413 1.650361 
2453127.031540 1.626469 
2453128.745668 1.596322 
2453130.459796 1.559593 
2453132.173924 1.516023 
2453133.888052 1.465445 
2453135.602180 1.407801 
2453137.316308 1.343159 
2453139.030436 1.271729 
2453140.744564 1.193867 
2453142.458692 1.110078 
2453144.172820 1.021004 
2453145.886948 0.927266 
2453147.601076 0.830005 
2453149.315204 0.730013 
2453151.029331 0.628260 
2453152.743459 0.525719 
2453154.457587 0.423332 
2453156.171715 0.321983 
2453157.885843 0.222472 
2453159.599971 0.125502 
2453161.314099 0.031666 
2453163.028227 -0.058556 
2453164.742355 -0.144792 
2453166.456483 -0.226775 
2453168.170611 -0.304333 
2453169.884739 -0.377376 
2453171.598867 -0.445885 
2453173.312995 -0.509903 
2453175.027122 -0.569517 
2453176.741250 -0.624854 
2453178.455378 -0.676067 
2453180.169506 -0.723331 
2453181.883634 -0.766830 
2453183.597762 -0.806760 
2453185.311890 -0.843316 
2453187.026018 -0.876695 
2453188.740146 -0.907088 
2453190.454274 -0.934682 
2453192.168402 -0.959656 
2453193.882530 -0.982183 
2453195.596658 -1.002424 
2453197.310786 -1.020535 
2453199.024913 -1.036660 
2453200.739041 -1.050934 
2453202.453169 -1.063486 
2453204.167297 -1.074433 
2453205.881425 -1.083887 
2453207.595553 -1.091950 
2453209.309681 -1.098719 
2453211.023809 -1.104281 
2453212.737937 -1.108719 
2453214.452065 -1.112109 
2453216.166193 -1.114523 
2453217.880321 -1.116026 
2453219.594449 -1.116678 
2453221.308577 -1.116536 
2453223.022704 -1.115652 
2453224.736832 -1.114074 
2453226.450960 -1.111847 
2453228.165088 -1.109012 
2453229.879216 -1.105608 
2453231.593344 -1.101670 
2453233.307472 -1.097232 
2453235.021600 -1.092324 
2453236.735728 -1.086974 
2453238.449856 -1.081208 
2453240.163984 -1.075052 
2453241.878112 -1.068528 
2453243.592240 -1.061657 
2453245.306368 -1.054459 
2453247.020495 -1.046951 
2453248.734623 -1.039151 
2453250.448751 -1.031075 
2453252.162879 -1.022737 
2453253.877007 -1.014151 
2453255.591135 -1.005329 
2453257.305263 -0.996284 
2453259.019391 -0.987026 
2453260.733519 -0.977566 
2453262.447647 -0.967912 
2453264.161775 -0.958075 
2453265.875903 -0.948062 
2453267.590031 -0.937880 
2453269.304159 -0.927538 
2453271.018286 -0.917041 
2453272.732414 -0.906395 
2453274.446542 -0.895608 
2453276.160670 -0.884682 
2453277.874798 -0.873625 
2453279.588926 -0.862440 
2453281.303054 -0.851131 
2453283.017182 -0.839703 
2453284.731310 -0.828159 
2453286.445438 -0.816503 
2453288.159566 -0.804736 
2453289.873694 -0.792864 
2453291.587822 -0.780887 
2453293.301950 -0.768808 
2453295.016077 -0.756630 
2453296.730205 -0.744355 
2453298.444333 -0.731984 
2453300.158461 -0.719519 
2453301.872589 -0.706961 
2453303.586717 -0.694312 
2453305.300845 -0.681573 
2453307.014973 -0.668745 
2453308.729101 -0.655828 
2453310.443229 -0.642825 
2453312.157357 -0.629734 
2453313.871485 -0.616557 
2453315.585613 -0.603294 
2453317.299741 -0.589945 
2453319.013868 -0.576511 
2453320.727996 -0.562991 
2453322.442124 -0.549386 
2453324.156252 -0.535695 
2453325.870380 -0.521918 
2453327.584508 -0.508056 
2453329.298636 -0.494107 
2453331.012764 -0.480071 
2453332.726892 -0.465948 
2453334.441020 -0.451736 
2453336.155148 -0.437436 
2453337.869276 -0.423046 
2453339.583404 -0.408566 
2453341.297532 -0.393995 
2453343.011659 -0.379332 
2453344.725787 -0.364548 
2453346.439915 -0.349697 
2453348.154043 -0.334749 
2453349.868171 -0.319704 
2453351.582299 -0.304561 
2453353.296427 -0.289318 
2453355.010555 -0.273974 
2453356.724683 -0.258527 
2453358.438811 -0.242976 
2453360.152939 -0.227318 
2453361.867067 -0.211553 
2453363.581195 -0.195678 
2453365.295323 -0.179692 
2453367.009450 -0.163592 
2453368.723578 -0.147378 
2453370.437706 -0.131045 
2453372.151834 -0.114594 
2453373.865962 -0.098021 
2453375.580090 -0.081324 
2453377.294218 -0.064501 
2453379.008346 -0.047549 
2453380.722474 -0.030466 
2453382.436602 -0.013250 
2453384.150730 0.004102 
2453385.864858 0.021592 
2453387.578986 0.039224 
2453389.293114 0.057001 
2453391.007241 0.074924 
2453392.721369 0.092997 
2453394.435497 0.111222 
2453396.149625 0.129604 
2453397.863753 0.148145 
2453399.577881 0.166847 
2453401.292009 0.185715 
2453403.006137 0.204752 
2453404.720265 0.223961 
2453406.434393 0.243345 
2453408.148521 0.262907 
2453409.862649 0.282653 
2453411.576777 0.302584 
2453413.290905 0.322704 
2453415.005032 0.343018 
2453416.719160 0.363529 
2453418.433288 0.384240 
2453420.147416 0.405155 
2453421.861544 0.426279 
2453423.575672 0.447614 
2453425.289800 0.469165 
2453427.003928 0.490934 
2453428.718056 0.512927 
2453430.432184 0.535146 
2453432.146312 0.557594 
2453433.860440 0.580276 
2453435.574568 0.603195 
2453437.288696 0.626353 
2453439.002823 0.649754 
2453440.716951 0.673400 
2453442.431079 0.697294 
2453444.145207 0.721438 
2453445.859335 0.745834 
2453447.573463 0.770482 
2453449.287591 0.795384 
2453451.001719 0.820540 
2453452.715847 0.845950 
2453454.429975 0.871611 
2453456.144103 0.897522 
2453457.858231 0.923680 
2453459.572359 0.950081 
2453461.286487 0.976717 
2453463.000614 1.003583 
2453464.714742 1.030669 
2453466.428870 1.057963 
2453468.142998 1.085454 
2453469.857126 1.113123 
2453471.571254 1.140953 
2453473.285382 1.168921 
2453474.999510 1.197001 
2453476.713638 1.225162 
2453478.427766 1.253369 
2453480.141894 1.281581 
2453481.856022 1.309750 
2453483.570150 1.337823 
2453485.284278 1.365737 
2453486.998405 1.393420 
2453488.712533 1.420792 
2453490.426661 1.447760 
2453492.140789 1.474218 
2453493.854917 1.500047 
2453495.569045 1.525113 
2453497.283173 1.549263 
2453498.997301 1.572327 
2453500.711429 1.594112 
2453502.425557 1.614406 
2453504.139685 1.632970 
2453505.853813 1.649541 
2453507.567941 1.663830 
2453509.282069 1.675520 
2453510.996196 1.684268 
2453512.710324 1.689705 
2453514.424452 1.691437 
2453516.138580 1.689051 
2453517.852708 1.682120 
2453519.566836 1.670209 
2453521.280964 1.652887 
2453522.995092 1.629739 
2453524.709220 1.600381 
2453526.423348 1.564478 
2453528.137476 1.521761 
2453529.851604 1.472051 
2453531.565732 1.415275 
2453533.279860 1.351486 
2453534.993987 1.280876 
2453536.708115 1.203781 
2453538.422243 1.120689 
2453540.136371 1.032226 
2453541.850499 0.939000 
2453543.564627 0.842142 
2453545.278755 0.742434 
2453546.992883 0.640845 
2453548.707011 0.538348 
2453550.421139 0.435893 
2453552.135267 0.334371 
2453553.849395 0.234595 
2453555.563523 0.137278 
2453557.277651 0.043027 
2453558.991778 -0.047661 
2453560.705906 -0.134404 
2453562.420034 -0.216922 
2453564.134162 -0.295031 
2453565.848290 -0.368631 
2453567.562418 -0.437698 
2453569.276546 -0.502264 
2453570.990674 -0.562414 
2453572.704802 -0.618270 
2453574.418930 -0.669981 
2453576.133058 -0.717721 
2453577.847186 -0.761674 
2453579.561314 -0.802032 
2453581.275442 -0.838993 
2453582.989569 -0.872752 
2453584.703697 -0.903502 
2453586.417825 -0.931431 
2453588.131953 -0.956718 
2453589.846081 -0.979537 
2453591.560209 -1.000051 
2453593.274337 -1.018416 
2453594.988465 -1.034778 
2453596.702593 -1.049273 
2453598.416721 -1.062030 
2453600.130849 -1.073169 
2453601.844977 -1.082801 
2453603.559105 -1.091030 
2453605.273233 -1.097952 
2453606.987360 -1.103658 
2453608.701488 -1.108230 
2453610.415616 -1.111746 
2453612.129744 -1.114276 
2453613.843872 -1.115888 
2453615.558000 -1.116642 
2453617.272128 -1.116594 
2453618.986256 -1.115799 
2453620.700384 -1.114304 
2453622.414512 -1.112154 
2453624.128640 -1.109392 
2453625.842768 -1.106056 
2453627.556896 -1.102183 
2453629.271024 -1.097804 
2453630.985151 -1.092952 
2453632.699279 -1.087655 
2453634.413407 -1.081939 
2453636.127535 -1.075830 
2453637.841663 -1.069350 
2453639.555791 -1.062521 
2453641.269919 -1.055361 
2453642.984047 -1.047891 
2453644.698175 -1.040126 
2453646.412303 -1.032083 
2453648.126431 -1.023777 
2453649.840559 -1.015220 
2453651.554687 -1.006427 
2453653.268815 -0.997409 
2453654.982942 -0.988176 
2453656.697070 -0.978741 
2453658.411198 -0.969110 
2453660.125326 -0.959295 
2453661.839454 -0.949303 
2453663.553582 -0.939142 
2453665.267710 -0.928819 
2453666.981838 -0.918341 
2453668.695966 -0.907713 
2453670.410094 -0.896943 
2453672.124222 -0.886034 
2453673.838350 -0.874993 
2453675.552478 -0.863823 
2453677.266606 -0.852530 
2453678.980733 -0.841116 
2453680.694861 -0.829586 
2453682.408989 -0.817943 
2453684.123117 -0.806190 
2453685.837245 -0.794330 
2453687.551373 -0.782366 
2453689.265501 -0.770300 
2453690.979629 -0.758134 
2453692.693757 -0.745871 
2453694.407885 -0.733512 
2453696.122013 -0.721058 
2453697.836141 -0.708512 
2453699.550269 -0.695874 
2453701.264397 -0.683146 
2453702.978524 -0.670328 
2453704.692652 -0.657423 
2453706.406780 -0.644430 
2453708.120908 -0.631350 
2453709.835036 -0.618183 
2453711.549164 -0.604931 
2453713.263292 -0.591592 
2453714.977420 -0.578168 
2453716.691548 -0.564659 
2453718.405676 -0.551065 
2453720.119804 -0.537384 
2453721.833932 -0.523618 
2453723.548060 -0.509767 
2453725.262188 -0.495828 
2453726.976315 -0.481803 
2453728.690443 -0.467690 
2453730.404571 -0.453490 
2453732.118699 -0.439201 
2453733.832827 -0.424822 
2453735.546955 -0.410353 
2453737.261083 -0.395793 
2453738.975211 -0.381141 
2453740.689339 -0.366370 
2453742.403467 -0.351530 
2453744.117595 -0.336594 
2453745.831723 -0.321561 
2453747.545851 -0.306430 
2453749.259979 -0.291200 
2453750.974106 -0.275868 
2453752.688234 -0.260434 
2453754.402362 -0.244895 
2453756.116490 -0.229251 
2453757.830618 -0.213499 
2453759.544746 -0.197638 
2453761.258874 -0.181665 
2453762.973002 -0.165580 
2453764.687130 -0.149379 
2453766.401258 -0.133062 
2453768.115386 -0.116625 
2453769.829514 -0.100067 
2453771.543642 -0.083385 
2453773.257770 -0.066578 
2453774.971897 -0.049642 
2453776.686025 -0.032576 
2453778.400153 -0.015376 
2453780.114281 0.001959 
2453781.828409 0.019432 
2453783.542537 0.037047 
2453785.256665 0.054805 
2453786.970793 0.072710 
2453788.684921 0.090764 
2453790.399049 0.108971 
2453792.113177 0.127333 
2453793.827305 0.145854 
2453795.541433 0.164537 
2453797.255561 0.183384 
2453798.969688 0.202400 
2453800.683816 0.221587 
2453802.397944 0.240950 
2453804.112072 0.260490 
2453805.826200 0.280213 
2453807.540328 0.300121 
2453809.254456 0.320218 
2453810.968584 0.340508 
2453812.682712 0.360994 
2453814.396840 0.381680 
2453816.110968 0.402570 
2453817.825096 0.423668 
2453819.539224 0.444977 
2453821.253352 0.466501 
2453822.967479 0.488243 
2453824.681607 0.510208 
2453826.395735 0.532399 
2453828.109863 0.554819 
2453829.823991 0.577472 
