# time model 
2453115.032645 -0.055692 
2453116.746773 0.466947 
2453118.460901 0.660905 
2453120.175029 0.300724 
2453121.889157 -0.708974 
2453123.603285 -0.695611 
2453125.317413 -0.003949 
2453127.031540 0.496036 
2453128.745668 0.657389 
2453130.459796 0.236032 
2453132.173924 -0.769041 
2453133.888052 -0.644085 
2453135.602180 0.046261 
2453137.316308 0.523039 
2453139.030436 0.650293 
2453140.744564 0.165593 
2453142.458692 -0.818218 
2453144.172820 -0.589944 
2453145.886948 0.094861 
2453147.601076 0.547900 
2453149.315204 0.639398 
2453151.029331 0.089703 
2453152.743459 -0.855674 
2453154.457587 -0.533967 
2453156.171715 0.141787 
2453157.885843 0.570556 
2453159.599971 0.624475 
2453161.314099 0.008857 
2453163.028227 -0.881036 
2453164.742355 -0.476825 
2453166.456483 0.186988 
2453168.170611 0.590933 
2453169.884739 0.605280 
2453171.598867 -0.076216 
2453173.312995 -0.894378 
2453175.027122 -0.419083 
2453176.741250 0.230421 
2453178.455378 0.608949 
2453180.169506 0.581558 
2453181.883634 -0.164525 
2453183.597762 -0.896170 
2453185.311890 -0.361217 
2453187.026018 0.272049 
2453188.740146 0.624511 
2453190.454274 0.553050 
2453192.168402 -0.254806 
2453193.882530 -0.887197 
2453195.596658 -0.303621 
2453197.310786 0.311839 
2453199.024913 0.637514 
2453200.739041 0.519495 
2453202.453169 -0.345533 
2453204.167297 -0.868476 
2453205.881425 -0.246618 
2453207.595553 0.349758 
2453209.309681 0.647841 
2453211.023809 0.480646 
2453212.737937 -0.434949 
2453214.452065 -0.841157 
2453216.166193 -0.190471 
2453217.880321 0.385774 
2453219.594449 0.655360 
2453221.308577 0.436273 
2453223.022704 -0.521137 
2453224.736832 -0.806451 
2453226.450960 -0.135394 
2453228.165088 0.419854 
2453229.879216 0.659927 
2453231.593344 0.386188 
2453233.307472 -0.602116 
2453235.021600 -0.765556 
2453236.735728 -0.081557 
2453238.449856 0.451960 
2453240.163984 0.661381 
2453241.878112 0.330258 
2453243.592240 -0.675959 
2453245.306368 -0.719618 
2453247.020495 -0.029098 
2453248.734623 0.482051 
2453250.448751 0.659545 
2453252.162879 0.268436 
2453253.877007 -0.740923 
2453255.591135 -0.669693 
2453257.305263 0.021874 
2453259.019391 0.510082 
2453260.733519 0.654228 
2453262.447647 0.200785 
2453264.161775 -0.795563 
2453265.875903 -0.616728 
2453267.590031 0.071271 
2453269.304159 0.535999 
2453271.018286 0.645221 
2453272.732414 0.127515 
2453274.446542 -0.838833 
2453276.160670 -0.561559 
2453277.874798 0.119024 
2453279.588926 0.559743 
2453281.303054 0.632300 
2453283.017182 0.049020 
2453284.731310 -0.870135 
2453286.445438 -0.504911 
2453288.159566 0.165075 
2453289.873694 0.581245 
2453291.587822 0.615228 
2453293.301950 -0.034091 
2453295.016077 -0.889326 
2453296.730205 -0.447397 
2453298.444333 0.209379 
2453300.158461 0.600428 
2453301.872589 0.593755 
2453303.586717 -0.120956 
2453305.300845 -0.896693 
2453307.014973 -0.389538 
2453308.729101 0.251895 
2453310.443229 0.617204 
2453312.157357 0.567623 
2453313.871485 -0.210446 
2453315.585613 -0.892876 
2453317.299741 -0.331766 
2453319.013868 0.292589 
2453320.727996 0.631474 
2453322.442124 0.536571 
2453324.156252 -0.301161 
2453325.870380 -0.878790 
2453327.584508 -0.274436 
2453329.298636 0.331428 
2453331.012764 0.643127 
2453332.726892 0.500344 
2453334.441020 -0.391451 
2453336.155148 -0.855532 
2453337.869276 -0.217840 
2453339.583404 0.368380 
2453341.297532 0.652038 
2453343.011659 0.458702 
2453344.725787 -0.479465 
2453346.439915 -0.824290 
2453348.154043 -0.162215 
2453349.868171 0.403412 
2453351.582299 0.658070 
2453353.296427 0.411434 
2453355.010555 -0.563242 
2453356.724683 -0.786278 
2453358.438811 -0.107752 
2453360.152939 0.436489 
2453361.867067 0.661069 
2453363.581195 0.358378 
2453365.295323 -0.640811 
2453367.009450 -0.742672 
2453368.723578 -0.054603 
2453370.437706 0.467572 
2453372.151834 0.660867 
2453373.865962 0.299441 
2453375.580090 -0.710324 
2453377.294218 -0.694573 
2453379.008346 -0.002891 
2453380.722474 0.496618 
2453382.436602 0.657279 
2453384.150730 0.234627 
2453385.864858 -0.770176 
2453387.578986 -0.642985 
2453389.293114 0.047287 
2453391.007241 0.523577 
2453392.721369 0.650106 
2453394.435497 0.164071 
2453396.149625 -0.819117 
2453397.863753 -0.588798 
2453399.577881 0.095852 
2453401.292009 0.548393 
2453403.006137 0.639130 
2453404.720265 0.088072 
2453406.434393 -0.856324 
2453408.148521 -0.532791 
2453409.862649 0.142743 
2453411.576777 0.571002 
2453413.290905 0.624121 
2453415.005032 0.007130 
2453416.719160 -0.881434 
2453418.433288 -0.475630 
2453420.147416 0.187908 
2453421.861544 0.591331 
2453423.575672 0.604835 
2453425.289800 -0.078020 
2453427.003928 -0.894531 
2453428.718056 -0.417881 
2453430.432184 0.231304 
2453432.146312 0.609297 
2453433.860440 0.581016 
2453435.574568 -0.166384 
2453437.288696 -0.896089 
2453439.002823 -0.360018 
2453440.716951 0.272894 
2453442.431079 0.624807 
2453444.145207 0.552405 
2453445.859335 -0.256691 
2453447.573463 -0.886904 
2453449.287591 -0.302431 
2453451.001719 0.312645 
2453452.715847 0.637756 
2453454.429975 0.518743 
2453456.144103 -0.347409 
2453457.858231 -0.867992 
2453459.572359 -0.245443 
2453461.286487 0.350525 
2453463.000614 0.648026 
2453464.714742 0.479781 
2453466.428870 -0.436778 
2453468.142998 -0.840508 
2453469.857126 -0.189316 
2453471.571254 0.386502 
2453473.285382 0.655486 
2453474.999510 0.435292 
2453476.713638 -0.522878 
2453478.427766 -0.805660 
2453480.141894 -0.134263 
2453481.856022 0.420540 
2453483.570150 0.659990 
2453485.284278 0.385086 
2453486.998405 -0.603728 
2453488.712533 -0.764650 
2453490.426661 -0.080453 
2453492.140789 0.452605 
2453493.854917 0.661377 
2453495.569045 0.329035 
2453497.283173 -0.677404 
2453498.997301 -0.718619 
2453500.711429 -0.028024 
2453502.425557 0.482654 
2453504.139685 0.659471 
2453505.853813 0.267090 
2453507.567941 -0.742167 
2453509.282069 -0.668621 
2453510.996196 0.022916 
2453512.710324 0.510642 
2453514.424452 0.654079 
2453516.138580 0.199320 
2453517.852708 -0.796580 
2453519.566836 -0.615602 
2453521.280964 0.072280 
2453522.995092 0.536514 
2453524.709220 0.644993 
2453526.423348 0.125937 
2453528.137476 -0.839606 
2453529.851604 -0.560396 
2453531.565732 0.119997 
2453533.279860 0.560212 
2453534.993987 0.631989 
2453536.708115 0.047338 
2453538.422243 -0.870656 
2453540.136371 -0.503723 
2453541.850499 0.166013 
2453543.564627 0.581667 
2453545.278755 0.614828 
2453546.992883 -0.035859 
2453548.707011 -0.889598 
2453550.421139 -0.446198 
2453552.135267 0.210280 
2453553.849395 0.600801 
2453555.563523 0.593261 
2453557.277651 -0.122791 
2453558.991778 -0.896724 
2453560.705906 -0.388337 
2453562.420034 0.252759 
2453564.134162 0.617526 
2453565.848290 0.567029 
2453567.562418 -0.212323 
2453569.276546 -0.892684 
2453570.990674 -0.330570 
2453572.704802 0.293414 
2453574.418930 0.631743 
2453576.133058 0.535872 
2453577.847186 -0.303046 
2453579.561314 -0.878396 
2453581.275442 -0.273253 
2453582.989569 0.332214 
2453584.703697 0.643340 
2453586.417825 0.499535 
2453588.131953 -0.393308 
2453589.846081 -0.854960 
2453591.560209 -0.216675 
2453593.274337 0.369127 
2453594.988465 0.652193 
2453596.702593 0.457778 
2453598.416721 -0.481255 
2453600.130849 -0.823566 
2453601.844977 -0.161072 
2453603.559105 0.404119 
2453605.273233 0.658163 
2453606.987360 0.410392 
2453608.701488 -0.564922 
2453610.415616 -0.785426 
2453612.129744 -0.106635 
2453613.843872 0.437155 
2453615.558000 0.661098 
2453617.272128 0.357214 
2453618.986256 -0.642343 
2453620.700384 -0.741715 
2453622.414512 -0.053514 
2453624.128640 0.468196 
2453625.842768 0.660827 
2453627.556896 0.298154 
2453629.271024 -0.711670 
2453630.985151 -0.693534 
2453632.699279 -0.001833 
2453634.413407 0.497199 
2453636.127535 0.657167 
2453637.841663 0.233220 
2453639.555791 -0.771307 
2453641.269919 -0.641883 
2453642.984047 0.048312 
2453644.698175 0.524114 
2453646.412303 0.649917 
2453648.126431 0.162547 
2453649.840559 -0.820011 
2453651.554687 -0.587651 
2453653.268815 0.096843 
2453654.982942 0.548885 
2453656.697070 0.638860 
2453658.411198 0.086440 
2453660.125326 -0.856969 
2453661.839454 -0.531613 
2453663.553582 0.143699 
2453665.267710 0.571448 
2453666.981838 0.623765 
2453668.695966 0.005402 
2453670.410094 -0.881827 
2453672.124222 -0.474435 
2453673.838350 0.188827 
2453675.552478 0.591728 
2453677.266606 0.604387 
2453678.980733 -0.079826 
2453680.694861 -0.894678 
2453682.408989 -0.416680 
2453684.123117 0.232186 
2453685.837245 0.609644 
2453687.551373 0.580472 
2453689.265501 -0.168244 
2453690.979629 -0.896005 
2453692.693757 -0.358818 
2453694.407885 0.273738 
2453696.122013 0.625102 
2453697.836141 0.551759 
2453699.550269 -0.258576 
2453701.264397 -0.886606 
2453702.978524 -0.301240 
2453704.692652 0.313451 
2453706.406780 0.637997 
2453708.120908 0.517989 
2453709.835036 -0.349285 
2453711.549164 -0.867504 
2453713.263292 -0.244268 
2453714.977420 0.351292 
2453716.691548 0.648210 
2453718.405676 0.478914 
2453720.119804 -0.438606 
2453721.833932 -0.839855 
2453723.548060 -0.188162 
2453725.262188 0.387228 
2453726.976315 0.655610 
2453728.690443 0.434308 
2453730.404571 -0.524617 
2453732.118699 -0.804867 
2453733.832827 -0.133132 
2453735.546955 0.421226 
2453737.261083 0.660051 
2453738.975211 0.383982 
2453740.689339 -0.605337 
2453742.403467 -0.763741 
2453744.117595 -0.079350 
2453745.831723 0.453250 
2453747.545851 0.661371 
2453749.259979 0.327808 
2453750.974106 -0.678845 
2453752.688234 -0.717618 
2453754.402362 -0.026951 
2453756.116490 0.483256 
2453757.830618 0.659395 
2453759.544746 0.265742 
2453761.258874 -0.743406 
2453762.973002 -0.667547 
2453764.687130 0.023957 
2453766.401258 0.511201 
2453768.115386 0.653929 
2453769.829514 0.197852 
2453771.543642 -0.797592 
2453773.257770 -0.614475 
2453774.971897 0.073287 
2453776.686025 0.537029 
2453778.400153 0.644764 
2453780.114281 0.124356 
2453781.828409 -0.840374 
2453783.542537 -0.559232 
2453785.256665 0.120970 
2453786.970793 0.560681 
2453788.684921 0.631676 
2453790.399049 0.045655 
2453792.113177 -0.871172 
2453793.827305 -0.502536 
2453795.541433 0.166950 
2453797.255561 0.582089 
2453798.969688 0.614426 
2453800.683816 -0.037630 
2453802.397944 -0.889864 
2453804.112072 -0.444998 
2453805.826200 0.211180 
2453807.540328 0.601173 
2453809.254456 0.592764 
2453810.968584 -0.124628 
2453812.682712 -0.896751 
2453814.396840 -0.387135 
2453816.110968 0.253621 
2453817.825096 0.617847 
2453819.539224 0.566433 
2453821.253352 -0.214199 
2453822.967479 -0.892488 
2453824.681607 -0.329374 
2453826.395735 0.294239 
2453828.109863 0.632011 
2453829.823991 0.535171 
2453831.538119 -0.304931 
2453833.252247 -0.877999 
2453834.966375 -0.272070 
2453836.680503 0.333000 
2453838.394631 0.643552 
2453840.108759 0.498724 
2453841.822887 -0.395164 
2453843.537015 -0.854385 
2453845.251143 -0.215510 
2453846.965270 0.369873 
2453848.679398 0.652347 
2453850.393526 0.456852 
2453852.107654 -0.483042 
2453853.821782 -0.822838 
2453855.535910 -0.159930 
2453857.250038 0.404825 
2453858.964166 0.658256 
2453860.678294 0.409347 
2453862.392422 -0.566600 
2453864.106550 -0.784571 
2453865.820678 -0.105518 
2453867.534806 0.437820 
2453869.248934 0.661125 
2453870.963061 0.356048 
2453872.677189 -0.643870 
2453874.391317 -0.740757 
2453876.105445 -0.052426 
2453877.819573 0.468819 
2453879.533701 0.660786 
2453881.247829 0.296866 
2453882.961957 -0.713012 
2453884.676085 -0.692494 
2453886.390213 -0.000776 
2453888.104341 0.497780 
2453889.818469 0.657054 
2453891.532597 0.231810 
2453893.246725 -0.772433 
2453894.960852 -0.640781 
2453896.674980 0.049336 
2453898.389108 0.524651 
2453900.103236 0.649727 
2453901.817364 0.161021 
2453903.531492 -0.820899 
2453905.245620 -0.586504 
2453906.959748 0.097833 
2453908.673876 0.549376 
2453910.388004 0.638589 
2453912.102132 0.084805 
2453913.816260 -0.857608 
2453915.530388 -0.530436 
2453917.244516 0.144653 
2453918.958643 0.571892 
2453920.672771 0.623407 
2453922.386899 0.003672 
2453924.101027 -0.882215 
2453925.815155 -0.473240 
2453927.529283 0.189745 
2453929.243411 0.592125 
2453930.957539 0.603938 
2453932.671667 -0.081634 
2453934.385795 -0.894820 
2453936.099923 -0.415478 
2453937.814051 0.233067 
2453939.528179 0.609991 
2453941.242307 0.579925 
2453942.956434 -0.170105 
2453944.670562 -0.895915 
2453946.384690 -0.357618 
2453948.098818 0.274582 
2453949.812946 0.625396 
2453951.527074 0.551110 
2453953.241202 -0.260461 
2453954.955330 -0.886304 
2453956.669458 -0.300050 
2453958.383586 0.314256 
2453960.097714 0.638237 
2453961.811842 0.517233 
2453963.525970 -0.351160 
2453965.240098 -0.867013 
2453966.954225 -0.243093 
2453968.668353 0.352057 
2453970.382481 0.648392 
2453972.096609 0.478045 
2453973.810737 -0.440432 
2453975.524865 -0.839199 
2453977.238993 -0.187007 
2453978.953121 0.387954 
2453980.667249 0.655732 
2453982.381377 0.433322 
2453984.095505 -0.526354 
2453985.809633 -0.804072 
2453987.523761 -0.132002 
2453989.237889 0.421912 
2453990.952016 0.660110 
2453992.666144 0.382876 
2453994.380272 -0.606943 
2453996.094400 -0.762831 
2453997.808528 -0.078248 
2453999.522656 0.453893 
2454001.236784 0.661364 
2454002.950912 0.326579 
2454004.665040 -0.680282 
2454006.379168 -0.716615 
2454008.093296 -0.025878 
2454009.807424 0.483858 
2454011.521552 0.659318 
2454013.235680 0.264391 
2454014.949807 -0.744641 
2454016.663935 -0.666473 
2454018.378063 0.024998 
2454020.092191 0.511759 
2454021.806319 0.653777 
2454023.520447 0.196382 
2454025.234575 -0.798599 
2454026.948703 -0.613348 
2454028.662831 0.074294 
2454030.376959 0.537542 
2454032.091087 0.644533 
2454033.805215 0.122773 
2454035.519343 -0.841136 
2454037.233471 -0.558067 
2454038.947598 0.121942 
2454040.661726 0.561149 
2454042.375854 0.631361 
2454044.089982 0.043970 
2454045.804110 -0.871683 
2454047.518238 -0.501348 
2454049.232366 0.167886 
2454050.946494 0.582509 
2454052.660622 0.614022 
2454054.374750 -0.039402 
2454056.088878 -0.890126 
2454057.803006 -0.443799 
2454059.517134 0.212080 
2454061.231262 0.601544 
2454062.945389 0.592266 
2454064.659517 -0.126466 
2454066.373645 -0.896773 
2454068.087773 -0.385933 
2454069.801901 0.254483 
2454071.516029 0.618167 
2454073.230157 0.565835 
2454074.944285 -0.216077 
2454076.658413 -0.892287 
2454078.372541 -0.328179 
2454080.086669 0.295063 
2454081.800797 0.632278 
2454083.514925 0.534468 
2454085.229053 -0.306816 
2454086.943180 -0.877597 
2454088.657308 -0.270887 
2454090.371436 0.333785 
2454092.085564 0.643763 
2454093.799692 0.497910 
2454095.513820 -0.397019 
2454097.227948 -0.853806 
2454098.942076 -0.214345 
2454100.656204 0.370618 
2454102.370332 0.652499 
2454104.084460 0.455924 
2454105.798588 -0.484828 
2454107.512716 -0.822108 
2454109.226844 -0.158787 
2454110.940971 0.405530 
2454112.655099 0.658347 
2454114.369227 0.408300 
2454116.083355 -0.568275 
2454117.797483 -0.783714 
2454119.511611 -0.104402 
2454121.225739 0.438484 
2454122.939867 0.661151 
2454124.653995 0.354879 
2454126.368123 -0.645395 
2454128.082251 -0.739796 
2454129.796379 -0.051339 
2454131.510507 0.469441 
2454133.224635 0.660744 
2454134.938762 0.295574 
2454136.652890 -0.714349 
2454138.367018 -0.691452 
2454140.081146 0.000280 
2454141.795274 0.498359 
2454143.509402 0.656939 
2454145.223530 0.230398 
2454146.937658 -0.773554 
2454148.651786 -0.639677 
2454150.365914 0.050360 
2454152.080042 0.525186 
2454153.794170 0.649536 
2454155.508298 0.159492 
2454157.222426 -0.821783 
2454158.936553 -0.585355 
2454160.650681 0.098823 
2454162.364809 0.549867 
2454164.078937 0.638316 
2454165.793065 0.083169 
2454167.507193 -0.858243 
2454169.221321 -0.529258 
2454170.935449 0.145607 
2454172.649577 0.572336 
2454174.363705 0.623047 
2454176.077833 0.001940 
2454177.791961 -0.882598 
2454179.506089 -0.472045 
2454181.220217 0.190663 
2454182.934344 0.592520 
2454184.648472 0.603486 
2454186.362600 -0.083442 
2454188.076728 -0.894958 
2454189.790856 -0.414276 
2454191.504984 0.233948 
2454193.219112 0.610336 
2454194.933240 0.579377 
2454196.647368 -0.171967 
2454198.361496 -0.895822 
2454200.075624 -0.356419 
2454201.789752 0.275424 
2454203.503880 0.625690 
2454205.218008 0.550459 
2454206.932135 -0.262347 
2454208.646263 -0.885998 
2454210.360391 -0.298861 
2454212.074519 0.315060 
2454213.788647 0.638475 
2454215.502775 0.516474 
2454217.216903 -0.353034 
2454218.931031 -0.866518 
2454220.645159 -0.241919 
2454222.359287 0.352822 
2454224.073415 0.648574 
2454225.787543 0.477174 
2454227.501671 -0.442257 
2454229.215799 -0.838539 
2454230.929926 -0.185854 
2454232.644054 0.388679 
2454234.358182 0.655854 
2454236.072310 0.432333 
2454237.786438 -0.528088 
2454239.500566 -0.803274 
2454241.214694 -0.130873 
2454242.928822 0.422596 
2454244.642950 0.660169 
2454246.357078 0.381766 
2454248.071206 -0.608546 
2454249.785334 -0.761918 
2454251.499462 -0.077146 
2454253.213590 0.454536 
